collection||Hisn al-Muslim
hadith|12|<text>Bismillāhi\n\nIn the Name of Allah\n\nReference:\n\nAbu Dawud, Ibn Majah, and Ahmad. See also Al-Albani, 'Irwa'ul-Ghain 1/122.</text>
chapter||Upon completing the ablution
hadith|13|<text>'Ash-hadu 'an lā 'ilāha 'illallāhu waḥdahu lā sharīka lahu wa 'ash-hadu 'anna Muḥammadan `abduhu wa Rasūluhu.\n\nI bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.\n\nReference:\n\nMuslim 1/209.</text>
hadith|14|<text>Allāhummaj`alnī minat-tawwābīna waj`alnī minal-mutaṭahhirīn.\n\nO Allah, make me among those who turn to You in repentance, and make me among those who are purified.\n\nReference:\n\nAt-Tirmidhi 1/78. See also Al-Albani, Sahih At- Tirmidhi 1/18</text>
hadith|15|<text>Subḥānaka Allāhumma wa biḥamdika, 'ash-hadu 'an lā 'ilāha 'illā 'Anta, 'astaghfiruka wa 'atūbu 'ilayk.\n\nGlory is to You, O Allah, and praise; I bear witness that there is none worthy of worship but You. I seek Your forgiveness and turn to You in repentance.\n\nReference:\n\nAn-Nasa'i, 'Amalul-Yawm wal-Laylah, p. 173. See also Al-Albani, 'Irwa'ul-Ghalil 1/135 and 2/94.</text>
chapter||Remembrance when leaving the home
hadith|16|<text>Bismillāhi, tawakkaltu `alallāhi, wa lā ḥawla wa lā quwwata illā billāh.\n\nIn the Name of Allah, I have placed my trust in Allah, there is no might and no power except by Allah.\n\nReference:\n\nAbu Dawud 4/325, At-Tirmidhi 5/490. See also Al-Albani, Sahih At-Tirmidhi 3/151</text>
hadith|17|<text>Allāhumma 'innī 'a`ūdhu bika 'an 'aḍilla, 'aw 'uḍalla, 'aw 'azilla, 'aw 'uzalla, 'aw 'aẓlima, 'aw 'uẓlama, 'aw 'ajhala 'aw yujhala `alayya.\n\nO Allah, I seek refuge in You lest I misguide others , or I am misguided by others , lest I cause others to err or I am caused to err , lest I abuse others or be abused, and lest I behave foolishly or meet with the foolishness of others.\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 3/152 and Sahih Ibn Majah 2/336</text>
chapter||Remembrance upon entering the home
hadith|18|<text>Bismillāhi walajnā, wa bismillāhi kharajnā, wa `ala Rabbinā tawakkalnā\n\nIn the Name of Allah we enter , in the Name of Allah we leave , and upon our Lord we depend [then say As-Salāmu `Alaykum to those present].\n\nReference:\n\nAbu Dawud 4/325. Muslim {Hadith no. 2018) says that one should mention the Name of Allah when entering the home and when beginning to eat; and that the devil, hearing this, says: "There is no shelter for us here tonight and no food."</text>
chapter||When going to the mosque
hadith|19|<text>Allāhummaj'al fī qalbī nūran, wa fī lisānī nūran, wa fī sam`ī nūran, wa fī baṣarī nūran, wa min fawqī nūran, wa min taḥtī nūran, wa `an yamīnī nūran, wa `an shimālī nūran, wa min 'amāmī nūran, wa min khalfī nūran, waj`al fī nafsī nūran, wa 'a`ẓim lī nūran, wa `ẓẓim lī nūran, waj`allī nūran, waj`alnī nūran, Allāhumma 'a`tinī nūran, waj'al fī `aṣabī nūran, wa fī laḥmī nūran, wa fī damī nūran, wa fī sha`rī nūran, wa fī basharī nūran. [Allāhummaj`allī nūran fī qabrī wa nūran fī `iẓāmī.] [Wa zidnī nūran, wa zidnī nūran, wa zidnī nūran.] [Wa hab lī nūran `alā nūr.]\n\nO Allah, place light in my heart, and on my tongue light, and in my ears light and in my sight light, and above me light, and below me light, and to my right light, and to my left light, and before me light and behind me light. Place in my soul light. Magnify for me light, and amplify for me light. Make for me light and make me a light. O Allah, grant me light, and place light in my nerves, and in my body light and in my blood light and in my hair light and in my skin light.1 [O Allah, make for me a light in my grave... and a light in my bones.] (At-Tirmidhi 5/483 (Hadith no. 3419).) [Increase me in light, increase me in light, increase me in light .] (Al-Bukhari in Al-'Adab Al-Mufrad (Hadith no. 695), p. 258. See also Al-Albani, Sahih Al-'Adab Al-Mufrad(no. 536).) [Grant me light upon light.] (Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/118.)\n\nReference:\n\n1 Up to this point was reported by Al-Bukhari 11 / 116 (Hadith no. 6316) and by Muslim 1/526, 529-530 (Hadithno. 763).</text>
chapter||Upon entering the mosque
hadith|20|<text>'A`ūdhu billāhi l-`aẓīm, wa bi-wajhihil-karīm, wa sultānihil-qadīm, min ash-shaytānir-rajīm. [Bismillāhi, wassalātu wassalāmu `alā rasūlillāhi.] Allāhummaftaḥ lī 'abwāba raḥmatik.\n\nI seek refuge in Almighty Allah, By His Noble Face, By His primordial power, From Satan the outcast.[1] [In the Name of Allah, and blessings [2] and peace be upon the Messenger of Allah.[3] O Allah, open before me the doors of Your mercy.[4]\n\nReference:\n\n1. Abu Dawud and Al-Albani, Sahihul-Jdmi' As-Saghir (Hadithno. 4591). 2. Ibn As-Sunni (Hadith no. 88), graded good by Al-Albani. 3. Abu Dawud 1/126, see also Al-Albani, Sahihul-Jami'As-Saghir 1/528. 4. Muslim 1/494. There is also a report in Sunan Ibn Majah on the authority of Fatimah (RA), : "O Allah, forgive me my sins and open for me the doors of Your mercy." It was graded authentic by Al-Albani due to supporting Ahadith. See Sahih Ibn Majah 1/128-9.</text>
chapter||Upon leaving the mosque
hadith|21|<text>Bismillāhi waṣṣalātu wassalāmu 'alā Rasūlillāhi, Allāhumma 'innī 'as'aluka min faḍlika, Allāhumma`ṣimnī min ash-shaytānir-rajīm.\n\nIn the Name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, I ask for Your favor, O Allah, protect me from Satan the outcast.\n\nReference:\n\nibid.</text>
chapter||Concerning the athan (the call to prayer)
hadith|22|<text>Repeat what the Mu'adh-dhin says, except for when he says: Hayya 'alas-Salāh (hasten to the prayer) and Hayya 'alal-Falāh (hasten to salvation). Here you should say: Lā ḥawla wa lā quwwata 'illā billāh.\n\nThere is no might and no power except by Allah.\n\nReference:\n\nAl-Bukhari 1/152, Muslim 1/288.</text>
hadith|23|<text>Wa 'anā 'ash-hadu 'an lā 'ilāha 'illallāhu waḥdahu lā sharīka lahu wa 'anna Muḥammadan 'abduhu wa rasūluhu, raḍītu billāhi rabban, wa bi Muḥammadin rasūlan wa bi 'l-islāmi dīnan.\n\nI bear witness that none has the right to be worshipped but Allah alone, Who has no partner, and that Muhammad is His slave and His Messenger. I am pleased with Allah as my Lord, with Muhammad as my Messenger and with Islam as my religion.[1] [To be recited in Arabic after the mu'adh-dhin's tashahhud or the words of affirmation of Faith] [2]\n\nReference:\n\n1. Muslim 1/290. 2. Ibn Khuzaymah 1/220.</text>
hadith|24|<text>After replying to the call of Mu'adh-dhin. you should recite in Arabic Allah's blessings on the Prophet (ﷺ).\n\nReference:\n\nMuslim 1/288</text>
hadith|25|<text>Allāhumma rabba hādhihi 'd-da'wati 't-tāmmah waṣ-ṣalāti 'l-qā'imah, 'āti Muhammadani 'l-wasīlata walfaḍīlata, wab 'ath-hu maqāma 'm-mahmūdani 'l-ladhī wa`adtahu, ['innaka lā tukhliful-mī'ād]\n\nO Allah , Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises].\n\nReference:\n\nAl-Bukhari 1/152, and the addition between brackets is from Al-Bayhaqi 1/410 with a good (Hasan) chain of narration. See 'Abdul-Azlz bin Baz's Tuhfatul-'Akhyar, pg. 38.</text>
hadith|26|<text>Between the call to prayer and the 'Iqamah, you should supplicate Allah for yourself. Invocation during this time is not rejected.\n\nReference:\n\nAt-Tirmidhi, Abu Dawud, Ahmed. See Irwaa Al-Ghalil 1/262</text>
chapter||At the start of the prayer (after takbeer)
hadith|27|<text>Allāhumma bā'id baynī wa bayna khatāyāya kamā bāa'adta bayn al-mashriqi wal-maghribi, Allāhumma naqqinī min khatāyāya kamā yunaqqa 'th-thawbu 'l-'abyaḍu min ad-danasi, Allāhumma 'ghsilnī min khatāyāya, bi 'th-thalji wal-mā'i wal-barad.\n\nO Allah, separate me from my sins as You have separated the East from the West. O Allah, cleanse me of my transgressions as the white garment is cleansed of stains. O Allah, wash away my sins with ice and water and frost.\n\nReference:\n\nAl-Bukhari 1/181, Muslim 1/419.</text>
hadith|28|<text>Subhānaka Allāhumma wa biḥamdika, wa tabāraka 'smuka, wa ta'ālā jadduka, wa lā 'ilāha ghayruk.\n\nGlory is to You O Allah, and praise. Blessed is Your Name and Exalted is Your Majesty. There is none worthy of worship but You\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi. See Al-Albani, Sahih At-Tirmidhi 1/77 and Sahih Ibn Majah 1/135.</text>
hadith|29|<text>Wajjahtu wajhiya li 'l-ladhî faṭara s-samāwāti wa 'l-arḍa, ḥanīfan wa mā ana min al-mushrikīna. Inna salāti wa nusukī, wa mahyāya wa mamātī lillāhi rabbi 'l-`ālamīna, lā sharīka lahu. Wa bi dhālika umirtu wa ana min al-muslimīna. Allāhumma anta 'l-maliku lā ilāha illā anta. Anta rabbī wa ana `abduka, ẓalamtu nafsī wa`taraftu bi dhanbī. Faghfir lī dhunūbī jamī`an, innahu lā yaghfiru 'dh-dhunūba illā anta. Wahdinī li-aḥsani 'l-akhlāqi, lā yahdī li aḥsanihā illā anta. Waṣrif `annī sayyi'ahā, lā yaṣrifu `annī sayyi'ahā illā anta. Labbayka wa sa`dayka, wa 'l-khayru kulluhu bi yadayka, wa 'sh-sharru laysa ilayka, ana bika wa ilayka, tabārakta wa ta`ālayta, astaghfiruka wa atūbu ilayka.\n\n"I have turned my face sincerely towards He who has brought forth the heavens and the Earth and I am not of those who associate (others with Allah). Indeed my prayer, my sacrifice, my life and my death are for Allah, Lord of the worlds, no partner has He, with this I am commanded and I am of the Muslims. O Allah, You are the Sovereign, none has the right to be worshipped except You. You are my Lord and I am Your servant, I have wronged my own soul and have acknowledged my sin, so forgive me all my sins for no one forgives sins except You. Guide me to the best of characters for none can guide to it other than You, and deliver me from the worst of characters for none can deliver me from it other than You. Here I am, in answer to Your call, happy to serve you. All good is within Your hands and evil does not stem from You. I exist by your will and will return to you. Blessed and High are You, I seek Your forgiveness and repent unto You."\n\nReference:\n\nMuslim 1/534</text>
hadith|30|<text>Allāhumma, rabba Jibrā'īla, wa Mīkā'īla, wa Isrāfīla Fāṭira 's-samāwāti wa 'l-arḍi, ` ālima 'l-ghaybi wa 'sh-shahādati, anta taḥkumu bayna `ibādika fīmā kānū fīhi yakhtalifūna. Ihdinī li makhtulifa fīhi min al-ḥaqqi bi idhnika. Innaka tahdī man tashā'u ilā ṣirāṭin mustaqīm.\n\nO Allah, Lord of Jibraīl, Mīkaīl and Israfīl (great angels), Creator of the heavens and the Earth, Knower of the seen and the unseen. You are the arbitrator between Your servants in that which they have disputed. Guide me to the truth by Your leave, in that which they have differed, for verily You guide whom You will to a straight path."\n\nReference:\n\nMuslim 1/534</text>
hadith|31|<text>Allāhu 'Akbar Kabīra, Allāhu 'Akbar Kabīra, Allāhu 'Akbar Kabīra, walḥamdu lillāhi kathīra, walḥamdu lillāhi kathīra, walḥamdu lillāhi kathīra, wa Subḥānallāhi bukratan wa'aṣīla.\n\n[Recite three times in Arabic.] 'A `ūdhu billāhi min ash-shayṭān min nafkhihi, wa nafthihi, wa hamzihi.\n\nAllah is the Greatest, Most Great. Allah is the Greatest, Most Great. Allah is the Greatest, Most Great. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Glory is to Allah, at the break of day and at its end. [Recite three times in Arabic.] I seek refuge in Allah from Satan. From his breath, and from his voice, and from his whisper.\n\nReference:\n\nAbu Dawud 1/203, Ibn Majah 1/265, ai Ahmad 4/85. Muslim recorded a similar Hadil 1/420.</text>
hadith|32|<text>Allāhumma lakal-ḥamdu 'Anta nūrussamāwāti wal'arḍhi wa man fīhinna, wa lakal-ḥamdu 'Anta qayyimus-samāwāti wal'arḍi wa man fīhinna, [wa lakal-ḥamdu 'Anta Rabbus-samāwāti wal'arḍi wa man fīhinna] [wa lakal-ḥamdu laka mulkus-samāwāti wal'arḍi wa man fīhinna] [wa lakal-ḥamdu 'Anta Malikus-samāwāti wal'arḍi] [wa lakal-ḥamdu] ['Antal-ḥaqq, wa wa`dukal-ḥaqq, wa qawlukal-ḥaqq, wa liqā'ukal-ḥaqq, waljannatu ḥaqq, wannāru ḥaqq, wannabiyyūna ḥaqq, wa Muḥammadun (sallallāhu 'alayhi wa sallam) ḥaqq, wassā`atu ḥaqq] [Allāhumma laka 'aslamtu, wa `alayka tawakkaltu, wa bika 'āmantu, wa 'ilayka 'anabtu, wa bika khāṣamtu, wa 'ilayka ḥākamtu. Faghfir lī maa qaddamtu, wa mā 'akhkhartu, wa mā 'asrartu, wa mā 'a`lantu ['Antal-Muqaddimu, wa 'Antal-Mu'akhkhiru laa 'ilāha 'illā 'Anta] ['Anta 'ilāhī lā 'ilāha 'illā 'Anta].\n\nO Allah, praise is to You. You are the Light of the heavens and the earth and all that they contain. Praise is to You, You are the Sustainer of the heavens and the earth and all they contain. [Praise is to You, You are the Lord of the heavens and the earth and all they contain.] [Praise is to You, Yours is dominion of the heavens and the earth and all they contain.] [Praise is to You, You are the King of the heavens and the earth.] [And praise is to You.] [You are the Truth, Your Promise is true, Your Word is true, Your audience is true, Paradise is true, Hell is true, the Prophets are true, and Muhammad (peace and blessings be upon him) is true, and the Hour of Judgment is true.] [O Allah, to You I have submitted, and upon You I depend. I have believed in You and to You I turn in repentance . For Your sake I dispute and by Your standard I judge. Forgive me what I have sent before me and what I have left behind me, what I have concealed and what I have declared.] [You are the One Who sends forth and You are the One Who delays, there is none who has the right to be worshipped but You.] [You are my God, there is none who has the right to be worshipped but You.]\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 3/3 , 11/ 116, 13/371, 423, 465. See also Muslim for a shorter account, 1/532.</text>
chapter||While bowing in prayer
hadith|33|<text>Subḥāna Rabbiyal-`Aẓīm.\n\n[three times] Glory to my Lord the Exalted (three times in Arabic)\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, and Ahmad. See Al-Albani's Sahih At-Tirmidhi 1/83.</text>
hadith|34|<text>Subḥānaka Allāhumma Rabbanā wa biḥamdika Allāhum-maghfir lī.\n\nGlory is to You , O Allah , our Lord , and praise is Yours . O Allah , forgive me.\n\nReference:\n\nAl-Bukhari 1/99, Muslim 1/350.</text>
hadith|35|<text>Subbūḥun, Quddūsun, Rabbul-malā'ikati warrūḥ.\n\nGlory (to You) , Most Holy (are You) , Lord of the angels and the Spirit.\n\nReference:\n\nMuslim 1/353, Abu Dawud 1/230.</text>
hadith|36|<text>Allāhumma laka raka`tu, wa bika 'āmantu, wa laka 'aslamtu khasha`a laka sam`ee wa baṣarī, wa mukhkhī, wa `aẓmī, wa `aṣabī, wa mastaqalla bihi qadamī.\n\nO Allah , to You I bow (in prayer) and in You I believe and to You I have submitted. Before You my hearing is humbled, and my sight, and my mind, my bones, my nerves and what my feet have mounted upon (for travel).\n\nReference:\n\nMuslim 1/534, Abu Dawud, An-Nasa'i and At- Tirmidhi.</text>
hadith|37|<text>Subḥāna dhil-jabarūti, walmalakūti, walkibriyā'i, wal`aẓamati.\n\nGlory is to You, Master of power, of dominion, of majesty and greatness.\n\nReference:\n\nAbu Dawud 1/230, An-Nasa'i and Ahmad. Its chain of narration is good (Hasan).</text>
chapter||Upon rising from the bowing position
hadith|38|<text>Sami`allāhu liman ḥamidah.\n\nAllah hears whoever praises Him.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/282.</text>
hadith|39|<text>Rabbanā wa lakal-ḥamd, ḥamdan kathīran ṭayyiban mubārakan fīh.\n\nOur Lord, praise is Yours, abundant, good and blessed praise.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/284.</text>
hadith|40|<text>Mil'a 's-samāwāti wa mil'a 'l-'arḍi wa mā baynahumā, wa mil'a mā shi'ta min shay'in ba`d. 'Ahla 'th-thanā'i wa 'l-majdi, 'aḥaqqu mā qāla 'l-`abdu, wa kullunā laka `abdun. Allāhumma lā māni`a limā 'a`ṭayta, wa lā mu`ṭiya limā mana`ta, wa lā yanfa`u dhal-jaddi minka 'l-jadd. .\n\n(A praise that) fills the heavens and the earth and what lies between them, and whatever else You please. (You Allah) are most worthy of praise and majesty, and what the slave has said - we are all Your slaves. O Allah, there is none who can withhold what You give, and none may give what You have withheld. And the might of the mighty person cannot benefit him against You.\n\nReference:\n\nMuslim 1/346.</text>
chapter||While prostrating
hadith|41|<text>Subḥāna Rabbiya ‘l-a`lā.\n\nGlory is to my Lord, the Most High. (This is said three times in Arabic.)\n\nReference:\n\nAbu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi, and Ahmad. See also Al-Albani, Sahih At-Tirmidhi 1/83.</text>
hadith|42|<text>Subḥānaka Allāhumma Rabbanā wa biḥamdika Allāhumma ‘ghfir lī.\n\nGlory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me.\n\nReference:\n\nAl-Bukhari and Muslim, see invocation no. 34 above.</text>
hadith|43|<text>Subbūḥun, Quddūsun, Rabbu ‘l-malā'ikati warrūḥ.\n\nGlory (to You), Most Holy (are You), Lord of the angels and the Spirit.\n\nReference:\n\nMuslim 1/533, see invocation no. 35 above.</text>
hadith|44|<text>Allāhumma laka sajadtu wa bika āmantu, wa laka aslamtu, sajada waj’hiya lilladhī khalaqahu, wa ṣawwarahu, wa shaqqa sam`ahu wa baṣarahu, tabārakallāhu 'aḥsanul-khāliqīn.\n\nO Allah, to You I prostrate myself and in You I believe. To You I have submitted. My face is prostrated to the One Who created it, fashioned it, and gave it hearing and sight. Blessed is Allah, the Best of creators\n\nReference:\n\nMuslim 1/534 and others.</text>
hadith|45|<text>Subḥāna dhi ’l-jabarūti, wa ’l-malakūti, wa ‘l-kibriyā'i, wa ‘l-aẓamati.\n\nGlory is to the master of power, sovereignty, of majesty and greatness.\n\nReference:\n\nAbu Dawud 1/230, An-Nasa'i, Ahmad. See also Al-Albani, Sahih Abu Dawud 1/166, see invocation no. 37 above.</text>
hadith|46|<text>Allāhumma’ghfir lī dhanbī kullahu, diqqahu wa jillahu, wa awwalahu wa ākhirahu wa `alāniyyatahu wa sirrahu.\n\nO Allah, forgive me all my sins, great and small, the first and the last, those that are apparent and those that are hidden.\n\nReference:\n\nMuslim 1/350.</text>
hadith|47|<text>Allāhumma innī a`ūdhu biriḍāka min sakhaṭika, wa bimu`āfātika min `uqūbatika wa a`ūdhu bika minka lā uḥṣī thanā'an `alayka anta kamā athnayta `alā nafsika.\n\nO Allah, I seek protection in Your pleasure from Your anger, and I seek protection in Your forgiveness from Your punishment. I seek protection in You from You. I cannot count Your praises. You are as You have praised Yourself.\n\nReference:\n\nMuslim 1/352.</text>
chapter||Between the two prostrations
hadith|48|<text>Rabbi’ghfir lī, Rabbi’ghfir lī.\n\nLord, forgive me. My Lord, forgive me.\n\nReference:\n\nAbu Dawud 1/231. See also Al-Albani, Sahihibn Mdjah 1/148.</text>
hadith|49|<text>Allāhumma’ghfir lī, war’ḥamnī, wahdinī, wajburnī, wa `āfinī, warzuqnī, warfa`nī.\n\nO Allah forgive me, have mercy on me, guide me, support me, protect me, provide for me, and elevate me.\n\nReference:\n\nAbu Dawud, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/90 and Sahih Ibn Majah 1/148.</text>
chapter||When prostrating due to recitation of the Quran
