collection||Sahih Muslim
chapter||What is Islam? Explaining its characteristics.
hadith|10|Bana Zuheyr b. Harb tahdis etti. Bize Cerir, Umare -b. el-Ka'ka'den tahdis etti. O Ebu Zur'a'dan, o Ebu Hureyre'den şöyle dediğini nakletti: Rasulullah (Sallallahu aleyhi ve Sellem): "Bana soru sorun" buyurdu. Ashab, heybetinin etkisi ile ona soru sormaktan çekindiler. Sonra bir adam gelip onun dizlerinin yanında oturuverdi. Ey Allah'ın Rasulü, İslam nedir, dedi. O: "Allah'a hiçbir şeyi ortak koşmaman, namazı dosdoğru kılman, zekatı vermen, ramazan orucunu tutmandır" buyurdu. Adam: Doğru söyledin, dedi. Adam: Ey Allah'ın Rasulü iman nedir? (1/40a) dedi. Allah Rasulü Sallallahu aleyhi ve Sellem: "Allah'a, meleklerine, kitabına, ona kavuşmaya, rasullerine iman etmen, ölümden sonra dirilişe iman etmen ve her şeyiyle kadere iman etmendir" buyurdu. Adam: Doğru söyledin dedi. Sonra: Ey Allah'ın Rasulü, ihsan nedir, dedi. Allah Rasulü Sallallahu aleyhi ve Sellem: ''Aziz ve celi! Allah'tan onu görüyormuşsun gibi korkmandır çünkü sen onu görmezsen dahi muhakkak o seni görür" buyurdu. Adam: Doğru söyledin dedi. Sonra: Ey Allah'ın Rasulü, kıyamet ne zaman kopacak, dedi. Allah Rasulü (Sallallahu aleyhi ve Sellem): "Hakkında kendisine soru sorulan sorandan daha bilgili değildir ama ben sana şartlarını söyleyeyim. Kadının efendisini doğurduğunu görürsen işte bu onun şartlarındandır. Çıplakların, yalınayaklı, sağır ve dilsiz kimselerin yeryüzünün hükümdarları olduğunu görecek olursan işte bu onun şartlarındandır. Dilsiz hayvanlara çobanlık edenlerin uzun bina dikmekte birbirleriyle yarıştıklarını görürsen işte bu onun şartlarındandır. (Kıyametin ne zaman kopacağı bilgisi ise) Allah'tan başka kendilerini kimsenin bilemediği gaybın beş hususu içerisindedir" buyurdu. Sonra da: "Saatin (kıyametin ne zaman kopacağının) ilmi muhakkak Allah'ın yanındadır. Yağmuru o indirir, rahimlerde olanı bilir. Hiçbir kimse yarın ne kazanacağını bilemez. Hiçbir nefis de hangi yerde öleceğini bilmez. Muhakkak Allah her şeyi bilendir, her şeyden haberdardır. " (Lakman, 34) ayetini okudu. (Ebu Hureyre) dedi ki: Sonra adam kalktı. Resulullah (Sallallahu aleyhi ve Sellem): "O adamı bana geri getirin" buyurdu. Adamı aradılar ama bulamadılar. Resulullah (Sallallahu aleyhi ve Sellem): "Bu Cebrai! idi. Siz soru sormayınca o da sizin (dininizi) öğrenmenizi istedi" buyurdu. Diğer tahric: Yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf, 14915 (AHMED DAVUDOĞLU) AÇIKLAMA : Resulullah (Sallallahu aleyhi ve Sellem)'in: «Bana sorun!» buyurması ashaba canı sıkıldığı içindi. Çünkü ashab bir çok sualler sormuşlardı. Hatta Peygamber (s.a.v.) bazılarının kendisini müşkül mevki'de bırakmak için sual sorduklarını hissederek gazaba gelmiş; yüzü kıpkırmızı olmuştu. İşte bu teessür ve iğbirar (kırgınlık) haleti içerisinde onlara:«Sorun bana, sorun! Vallahi şu yerimde bulunduğum müddetçe bana ne sorarsanız size ondan haber veririm...» buyurmuşlardı. Hadisin tamamı ileride gelecektir. Ashab bundan korktular. Sual hususuna dair bir de ayet nazil oldu. Artık kimse sual sormaz oldu. Allah'u Teala, Cibril (a.s.)'ı insanlara dinlerini öğretmek için o zaman göndermiştir
chapter||Explaining the prayers which are one of the pillars of Islam
hadith|11a|
hadith|11b|Bize Yahya b. Eyyub ve Kuteybe b. Said birlikte İsmail b. Cafer'den tahdis etti. O Ebu Suheyl'den, o babasından, o Talha b. Ubeyduııah'tan, o (1/41b) Nebi (Sallallahu aleyhi ve Sellem)'den bu hadisi Malik'in hadisine yakın olarak rivayet etti. Ancak o rivayetinde (farklı olarak) şunları söyledi: Resuluııah (Sallallahu aleyhi ve Sellem): "Eğer söylediğine sadakat gösterirse babası hakkı için felah bulur" yahut: "Eğer söylediğine sadakat gösterirse babası hakkı için cennete girer" buyurdu. NEVEVİ ŞERHİ: Allah Rasulünün: "Söylediğine sadakat gösterirse babası hakkı için iflah olur." Buradaki yemin onların bir alışkanlığıdır. Bununla birlikte Resulullah (Sallallahu aleyhi ve Sellem): "Kim yemin edecekse Allah adına yemin etsin" ve: "Şüphesiz Allah size babalarınız adına yemin etmeyi yasaklar" buyurmuşken nasıl böyle bir yemin etmiş olabilir. Bunun cevabı nedir? Bu soruya cevap şudur: Allah Rasulünün: "Babası hakkı için iflah olur" buyurması bir yemin değildir çünkü bu Arapların yeminin hakikatini kastetmeksizin sözleri arasına böyle bir ibareyi katmak görünegelmiş bir adetleri idi. Yasak ise ancak yeminin hakikatinin kastedilmesi halindedir çünkü yemin hakikati kastedilecek olursa adına yemin edilen kişinin ta'zim edilmesi ve onun yüce Aııah'a benzetilmesi sözkonusudur. Şüphesiz bu beğenilen kabul olunan bir cevaptır. Bunun yüce Allah'tan başkası adına yemin etmenin yasaklanmasından önce olma ihtimali de vardır diye de açıklanmıştır. Allah en iyi bilendir. AHMED DAVUDOĞLU AÇIKLAMASI İÇİN BURAYA TIKLAYIN
chapter||Asking about the pillars of Islam
hadith|12a|
hadith|12b|Bane Abdullah b. Haşim el-Abdi tahdis etti. (dediki:) Bize Behz rivayet etti. (Dedi ki); Bize Süleyman b. el-Muğire, Sabit,den naklen rivayet etti. Sabit dedi ki: Enes dedi ki: Kur'an-ı Kerim'de Resulullah (Sallallahu aleyhi ve Sellem)'e herhangi bir şey hakkında soru sormak bize yasaklanmıştı.... Sonra da hadisi aynen rivayet etti. Diğer tahric: Buhari, (ta'liken) 63; Tirmizi, 619; Nesai, 2090; Tuhfetu'l-Eşraf
chapter||Explaining the faith by means of which a person is admitted into paradise, and that the one who adheres to what is enjoined upon him will enter paradise
hadith|13a|
hadith|13b|Bana Muhammed b. Hatim ve Abdurrahman b. Bişr de tahdis edip dediler ki: Bize Behz tahdis edip dedi ki: Bize Şu'be tahdis edip dedi ki: Bize Muhammed b. Osman b. Abdullah b. Mevheb ve Ebu Osman'ın tahdis ettiğine göre her ikisi Musa b. Talha'yı Ebu Eyyub'dan tahdis ederken dinledi. O Nebi (Sallallahu aleyhi ve Sellem)' den deyip, bu hadisin aynısını nakletti. Diğer tahric: Buhari, 1396 ve 5982; Nesai, 467; Tuhfetu'l-Eşraf, 3491 NEVEVİ ŞERHİ 110’da Bu hadîsin bütün asıl nüshalarında birinci tarikinde senedinde Amr b. Osman; ikinci tarikinde Muhammed b. Osman zikredilmiştir. Halbuki râvi ikisinde de ayni zst olup ismi Amr b. Osman'' dır. Ona Şu'be yanlışlıkla bir defa Muhammed demiş ve bu ismi bir daha böyle bellemiştir. Ş u ' b e 'nin bu vehmini bir çok hadis uleması beyan etmişlerdir. Hadîsi Buharı imam Ahmed b. Hanbel ve Nesai dahi rivayet etmişlerdir
hadith|14a|
hadith|14b|Bana Ebu Bekr b. İshak da tahdis etti. (Dedi ki): Bize Affan rivayet etti. (Dedi ki): Bize Vuheyb rivayet etti. (Dedi ki): Bize Yahya b. Saîd, Ebu Zur'a'dan, o Ebu Hureyre'den rivayet ettiğine göre; Bir bedevi Rasulullah (Sallallahu aleyhi ve Sellem)'e gelerek: Ey Allah'ın Rasulü bana yerine getirdiğim takdirde cennete gireceğim bir amel göster, dedi. Allah Rasulü (sallallahu aleyhi ve sellem): ''Allah'a ona hiçbir şeyi ortak koşmamak şartıyla ibadet edersin yazılmış namazı dosdoğru kılarsın, farz olan zekatı eda edersin, ramazan orucunu tutarsın" buyurdu. Adam: Canım elinde olana yemin ederim ki, ebediyen bunlara bir şey katmayacağım ve bunlardan bir şey eksiltmeyeceğim, dedi. Arkasını dönüp gidince, Nebi (sallallahu aleyhi ve sellem): "Cennet ehlinden bir adamı görmekten memnun olacak bir kimse buna baksın" buyurdu. Diğer tahric: Buhari, 1397; Tuhfetu'l-Eşraf, 14930 A.DAVUDOĞLU
hadith|15a|
hadith|15b|Bana Haccac b. eş-Şair ve el-Kasım b. Zekeriya da tahdis edip dediler ki. .. A'meş'den, o Ebu Salih ve Ebu Süfyan'dan, ikisi Cabir'den şöyle dediğini nakletti: Numan b. Kavkal: Ey Allah'ın Rasulü, dedi ve hadisi aynen zikretti. Yalnız rivayetinde: "Buna hiçbir şey eklemem" dedi, şeklindedir. Bu Hadisi: Yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf, 2313 ve 2326 A.DAVUDOĞLU
hadith|15c|Bana Seleme b. Şebib de tahdis etti. Bize Hasan b. A'yen tahdis etti. Bize Ma'kil -ki o, İbn Ubeydullah'tır- Ebu'z-Zubeyr'den tahdis etti. O Cabir'den rivayet ettiğine göre; Bir adam Rasulullah (sallallahu aleyhi ve sellem)'e bir soru sorup: Bana yazılmış namazları kılsam, ramazanı tutsam, helali helal, haramı haram bilsem ve buna hiçbir şey eklemesem -ne dersin- cennete girer miyim, dedi. Allah Rasulü (sallallahu aleyhi ve sellem): "Elbette" buyurdu. Adam: Allah'a yemin ederim, bunlara hiçbir şey eklemem, dedi. Bunu Yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf, 2950 A.DAVUDOĞLU
chapter||Clarifying the pillars of Islam and its grand supports
hadith|16a|
hadith|16b|Bize Sehl b. Osman el-Askeri de tahdis etti. Bize Yahya b. Zekeriya -ki o İbn Bize Sa'd b. Tarık tahdis etti. Bana Sa'd b. Ubeyde es-Sülemİ, İbn Ömer'den tahdis etti. O Nebi (Sallallahu aleyhi ve sellem)'den şöyle buyurduğunu nakletti: "İslam beş esas üzerine bina edilmiştir: Allah'a ibadet olunup, onun dışındakilerin inkar edilmesi, namazın dosdoğru kılınması, zekatın verilmesi, Beytin haccedilmesi ve ramazan orucunun tutulması" Yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf, 7047 A.DAVUDOĞLU
hadith|16c|Bize Ubeydullah b. Muaz tahdis etti, bana babam tahdis etti. Bize Asım -ki o ibn Muhammed b. Zeyd b. Abdullah b. Ömer'dir- babasından şöyle dediğini tahdis etti: Abdullah dedi ki: Resulullah (sallallahu aleyhi ve sellem) şöyle buyurdu: "İslam beş temel üzerine bina edilmiştir: Allah'tan başka ilah olmadığına ve Muhammed'in onun kulu ve Rasulü olduğuna şahôdet etmek, namazı dosdoğru kılmak, zekatı vermek, Beyti haccetmek ve ramazan orucunu tutmak (üzerine). " Yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf
hadith|16d|Bize İbn Numeyr tahdis etti, bize babam tahdis etti, bize Hanzala tahdis edip dedi ki: İkrime b. Halid'i Tavus'a şunu tahdis ederken dinledim: Bir adam Abdullah b. Ömer'e: Gazaya çıkmayacak mısın, dedi. O şöyle dedi: Şüphesiz Rasulullah (sallallahu aleyhi ve sellem)'i şöyle buyururken dinledim: "İslam beş temel üzerine bina edilmiştir: Allah'tan başka hiçbir ilah olmadığına şahadet etmek, namazı dosdoğru kılmak, zekatı vermek, ramazan orucunu tutmak ve Beyti haccetmek (üzerine). " Diğer tahric: Buhari, 8; Tirmizi, 2609; Tuhfetu'l-Eşraf, 7344 111, 112, 113 ve 114 İÇİN:
chapter||The command to believe in Allah and His Messenger (ﷺ) and the laws of Islam, calling people to it, asking about it, memorizing it and conveying it to those who have not heard the message
hadith|17a|
hadith|17b|Bize Ebu Bekr b. Ebi Şeybe, Muhammed b. el-Müsenna ve Muhammed b. Beşşar -ki lafızları birbirine yakındır- tahdis etti. Ebu Bekr dedi ki: Bize Gunder, Şube'den tahdis etti. Diğer ikisi dedi ki: Bize Muhammed b. Cafer tahdis etti. Bize Şube, Ebu Cemre'den şöyle dediğini tahdis etti: İbn Abbas'ın huzurunda onunla insanlar arasında tercümanlık yapıyordum. Ona bir kadın gelerek testilerde yapılan nebiz (şıra) hakkında soru sordu, o şöyle dedi: - Abdulkayslılar heyeti Raslilullah (Sallallahu aleyhi ve Sellem)'e geldi. Raslilullah (Sallallahu aleyhi ve Sellem): "(Siz) kimin heyetisiniz yahut (siz) hangi kavimsiniz" buyurdu. Onlar: Rabia dediler. Allah Raslilü: "Bu gelen kavme -yahut heyete- merhaba! Utanıp, mahcup olmayasınız, pişman olmayasınız" buyurdu. (İbn Abbas) dedi ki: Heyettekiler: Ey Allah'ın Rasulü, biz sana çok uzak bir yoldan geliyoruz. Bizimle senin aranda da (1/47a) Mudar kafirlerinden olan şu kabile bulunuyor. Bizler de sana (bundan dolayı) ancak haram ayında gelebiliyoruz. Bize açık seçik bir emir ver de onu geride bıraktıklanmıza haber olarak götürelim ve onunla cennete girelim, dediler. (İbn Abbas) dedi ki: Onlara dört hususu emretti ve dört hususu da kendilerine yasakladı. (Devamla) dedi ki: Onlara bir ve tek olarak Allah'a iman etmeyi emretti ve: ''Allah'a iman ne demektir biliyor musunuz" buyurdu. Onlar: Allah ve Resulü en iyi bilir, dediler. O: ''Allah'tan başka hiçbir ilah olmadığına ve şüphesiz Muhammed'in Allah'ın ResuIü olduğuna şahadet etmek, namazı dosdoğru kılmak, zekatı vermek, ramazan orucunu tutmak ve ganimetierden beşte birini eksiksiz vermek" buyurdu. Sonra onlara dubba'yı, hantem'i ve müzeffet'i yasakladı. Şu'be dedi ki: (Ebu Cemre) belki nakir'i, belki de mukayyer'i, dedi. (Allah Resulü ayrıca): "Bunu iyice belleyin ve sizden geri kalanlara bunu haber verin" buyurdu. Ebu Bekr ise rivayetinde: "Sizden geri kalan kimselere" dedi, ama onun rivayetinde de mukayyer'den söz edilmemiştir. Tahric bilgisi yukarıdaki 115 ile aynı. 115, 116 İÇİN
hadith|17c|Bana Ubeydullah b. Muaz da tahdis etti. (1/47b) Bize babam tahdis etti. (H) Bize Nasr b. Ali el-Cahdam'i de tahdis edip dedi ki: Bana babam tahdis etti. İkisi birlikte dediler ki: Bize Kurra b. Halid, Ebu Cemre'den tahdis etti. O İbn Abbas'tan, o Nebi (Sallallahu aleyhi ve Sellem)'den bu hadisi Şube'nin hadisi rivayetine yakın olarak rivayet etti ve (onun rivayetine göre Allah Rasulü) şöyle buyurdu: "Sizlere dubba, nakfr, hantem ve müzeffet'te yapılan şıra/arı yasaklıyorum. " İbn Muaz, hadisi rivayetinde babasından ziyade olarak şunları söylemektedir: Rasulullah (Sallallahu aleyhi ve Sellem) ayrıea Eşec'e yani Abdulkayslıların Eşec'ine şunları söyledi: "Şüphesiz sende Allah'ın sevdiği iki haslet vardır: Vakar ve ağır başlılık (aceleci olmamak)" Bunun tahrici de 115 ile aynıdır. 117. NOLU HADİS İÇİN:
hadith|18a|
hadith|18b|Bize Muhammed b. el-Müsenna ve İbn Beşşar (l/49a) tahdis edip dediler ki: Bize İbn Ebi Adiyy, Said'den tahdis etti. O Katade'den şöyle dediğini nakletti: Bana o kafile ile karşılaşmış birden çok kişi tahdis etti. Sonra Ebu Nadra'nın Ebu Said el-Hudri'den rivayetini zikredip, Abdulkayslılar heyeti RasuluIlah (Sallallahu aleyhi ve Sellem)'in huzuruna gelince diyerek hadisi İbn Uleyye'nin rivayet ettiği gibi rivayet etti. Ancak onun rivayetinde içine küçük hurmalardan -yahut hurmadan- "ve su karıştırırsınız" buyurduğunu söyledi. Ayrıca: Said dedi ki: Yahut o "hurmadan" dedi, ibaresini zikretmedi. Bu hadisi yalnız Müslim rivayet etmiştir; Tuhfetu'l-Eşraf, 4375 NEVEVİ ŞERHİ: "Her ikisi de bize İbn Adiyy tahdis etti" ibaresinde geçen İbn Ebu Adiyy de Ebu Adiyy künyeli zatın kendisidir. "Bize Ebu Asım, İbn Cureye'den tahdis etti." Ebu Asım'ın adı ed-Oahhak b. Mahled en-Nebil'dir. İbn Cureye'in adı ise Abdulmelik b. Abdulaziz b. Cureye' dir
hadith|18c|Bana Muhammed b. Bekkar el-Basri rivayet etti. (Dedi ki:) Bize Ebu Asim, İbni Cüreyc'den rivayet etti. H. Bana Muhammed b. Bafi' dahi rivayet eyledi. Bu lafız onundur. (Dedi ki): Bize Abdürrezzak rivayet etti. (Dedi ki): Bize İbni Cüreyc haber verdi. Dedi ki: Bana Ebu Kazea kendisiyle Hasan'a Ebu Nadra'um haber verdiğini söyledi ikisine de Ebu Said-i Hudri'nin kendisine şunu haber verdiğini söylemiş: Abdulkayslılar heyeti Allah'ın Nebisine (Sallallahu aleyhi ve Sellem) gelince, ey Allah'ın Rasulü Allah için sana feda olalım. İçeceklerden neyi içmemiz uygun olur, dediler. O: "Nakirde içmeyin" buyurdu. Onlar: Ey Allah'ın Nebisi, Allah için sana feda olalım, nakirin ne olduğunu da biliyor musun, dediler. O: "Elbette, o ortası oyulan ağaç kütüğüdür. Dubba'da da, hanteme'de de içmeyin. Ağzı kapatılan kaplardan içmeye bakın" buyurdu. Yalnızca Müslim rivayet etmiştir; Tuhfetu'l-Eşraf
chapter||Calling people to the twin declaration of faith and the laws of Islam
hadith|19a|
hadith|19b|Bize İbn Ömer tahdis etti. Bize Bişr b. es-Serri tahdis etti. Bize Zekeriya b. İshak tahdis etti. (H) Bize Abd b. Humeyd de tahdis etti. Bize Ebu Asım, Zekeriya b. İshak'tan haber verdi. O Yahya b. Abdullah b. Sayfl'den, o Ebu Mabed'den, o İbn Abbas'tan rivayet ettiğine göre Nebi (Sallallahu aleyhi ve Sellem) Muaz'ı Yemen'e gönderdi. Ona: "Sen ... bir kavrnin yanına gideceksin" deyip, Veki"in hadisinin (121.had) aynısını nakletti. 121 numaralı hadisin Tahric bilgilerinin aynı. A.DAVUDOĞLU
hadith|19c|Bize Umeyye b. Bistam el-Ayşi de tahdis etti. Bize Yezid b. Zurey" tahdis etti. Bize Ravh -ki b. el-Kasım'dır-, İsmail b. Umeyye'den tahdis etti. O Yahya b. Abdullah b. Sayfi'den, o Ebu Mabed'den, o İbn Abbas'tan rivayet ettiğine göre; Resulullah (Sallallahu aleyhi ve Sellem) Muaz'ı Yemen'e gönderdiği zaman ona şöyle dedi: "Sen kitap ehli bir kavmin yanına gidiyorsun. Onları kendisine davet edeceğin ilk şey, aziz ve celil Allah'a ibadet etmek olsun. Allah'ı tanıyacak olurlarsa, kendilerine Allah'ın üzerlerine bir gün ve bir gecelerinde beş vakit namazı farz kılmış olduğunu haber ver. Bunu yapacak olurlarsa, kendilerine Allah'ın üzerlerine mallarından alınıp, fakirlerine geri verilecek bir zekatı farz kılmış olduğunu haber ver. Şayet onlar buna itaat ederlerse, sen de onlardan (zekdtı) al ve mallarının en değerlilerini almaktan uzak dur. " 121 numaralı hadisin Tahric bilgilerinin aynı. A.DAVUDOĞLU
chapter||The command to fight the people until they say "La ilaha illallah Muhammad Rasul-Allah", and establish Salat, and pay the Zakat, and believe in everything that the prophet (ﷺ) brought. Whoever does that, his life and his wealth are protected except by its right, and his secrets are entrusted to Allah, the most high. Fighting those who withhold Zakat or other than that is one of the duties of Islam and the Imam should be concerned with the Laws of Islam
hadith|20|Bize Kuteybetü'bnü Said rivayet etti, (Dedi ki): Bize Leys b. Sa'd, Ukayl'den, o da Zühri'den naklen rivayet etti. Zühri de-miş ki: Bana Ubeydullah b. Abdillâh b.Utbete'bni Mer'ud Ebu Hüreyre'den naklen haber verdi. Ebu Hüreyre şöyle demiş : Raslilullah (Sallallahu aleyhi ve Sellem) vefat edip ondan sonra Ebu Bekir halifelik makamına seçilip Araplardan küfre sapanlar da kafir olunca Ömer b. el-Hattab, Ebu Bekir'e: - İnsanlarla nasıl savaşırsın? Halbuki Raslilullah (Sallallahu aleyhi ve Sellem): "Ben insanlarla Ia ilahe illallah deyinceye kadar savaşmakla emrolundum. La ilahe illallah diyen bana karşı malını ve canını -onun hakkı ile olması dışında- korumuş olur, hesabını görmek de Allah'a aittir" buyurmuşken nasıl savaşırsın, dedi. Ebu Bekr: Allah'a yemin ederim ki namaz ile zekat arasında fark gören kimselerle savaşırım çünkü zekat malın hakkıdır. Allah'a yemin ederim ki eğer Raslilullah (Sallallahu aleyhi ve Sellem)'e O hayatta iken verdikleri bir yuları dahi bana vermeyecek olurlarsa onu bana vermemelerine karşılık andolsun onlarla savaşırım, dedi. Sonra Ömer b. el-Hattab şöyle dedi: Allah'a yemin ederim ki sonunda aziz ve celil Allah'ın, Ebu Bekr'in kalbine savaşmak için bir genişlik vermiş olduğunu gördüm ve onun (bu halinin) hak olduğunu bildim. Diğer tahric: Buhari, 1399, 1457,2946,6924,7284; Ebu Davud, 1556, 1557; Tirmizi, 2607; Nesai, 2442,3091-3093,3980,3981, 3983, 3985; Tuhfetu'l-Eşraf, 10666 AHMED DAVUDOĞLU AÇIKLAMASI İÇİN BURAYA TIKLAYIN
hadith|21a|
