collection||Sahih Muslim
chapter||What is Islam? Explaining its characteristics.
hadith|10|حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ رسول اللہ ﷺ نے فرمایا : ’’مجھ سے ( دین کے بارے میں ) پوچھ لو ۔ ‘ ‘ صحابہ کرام ‌رضی ‌اللہ ‌عنہ ‌ ‌ آپ ﷺ سے اتنے مرعوب ہوئے کہ سوال نہ کر سکے ، تب ایک آدمی آیا اور آپ ﷺ کے دونوں گھٹنوں کے قریب بیٹھ گیا ، پھر کہنے لگا : اے اللہ کے رسول ! اسلام کیا ؟ آپ نے فرمایا : ’’ تم اللہ تعالیٰ کے ساتھ کسی کو شریک نہ ٹھہراؤ ، نماز کا اہتمام کرو ، زکاۃ ادا کرو اور رمضان کے روزے رکھو ۔ ‘ ‘ اس نے کہا : آپ نے سچ فرمایا ۔ ( پھر ) پوچھا : اے اللہ کے رسول ! ایمان کیا ہے ؟ آپ نے فرمایا : ’’یہ کہ تم اللہ ، اس کے فرشتوں ، اس کی کتاب ، ( قیات کے روز ) اس سے ملاقات اور اس کے رسولوں پر ایمان لاؤ ، مرنے کے بعد اٹھنے پر ایمان لاؤ اور ہر ( امر کی ) تقدیر پر ایمان لاؤ ۔ ‘ ‘ اس نے کہا : آپ نے درست فرمایا ۔ ( پھر ) کہنے لگا : اے اللہ کے رسول ! احسان کیا ہے ؟ آپ نے فرمایا : ’’تم اللہ تعالیٰ سےاس طرح ڈرو گویا تم اسے دیکھ رہے ہو ، پھر اگر تم اسے نہیں رہے تو وہ یقینا ً تمہیں دیکھ رہا ہے ۔ ‘ ‘ اس نے کہا : آپ نے صحیح فرمایا : ( پھر ) پوچھا : اے اللہ کے رسول ! قیامت کب قائم ہو گی ؟ آپ نے جواب دیا : ’’جس سے قیامت کے بارے میں پوچھا جا رہا ہے ، وہ پوچھنے والے سے زیادہ نہیں جانتا ۔ میں تمہیں اس کی علامات بتائے دیتا ہوں : جب دیکھو کہ عورت اپنے آقا کو جنم دیتی ہے تو یہ اس کی نشانیوں میں سے ہے اور جب دیکھو کہ ننگے پاؤں اور ننگے بدن والے ، گونگے اور بہرے زمین کے بادشاہ ہیں تو یہ اس کی علامات میں سے ہے اور جب دیکھو کہ بھیڑ بکریوں کے چروا ہے اونچی سے اونچی عمارات بنانے میں باہم مقابلہ کر رہے ہیں تو یہ بھی اس کی نشانیوں میں سے ہے ۔ یہ ( قیامت کا وقوع ) غیب کی ان پانچ چیزوں میں سے ہے ۔ جن کو اللہ تعالیٰ کے سوا کوئی نہیں جانتا ۔ ‘ ‘ پھر آپ نے یہ آیت پڑھی : ’’بے شک اللہ تعالیٰ ہی کے پاس قیامت کا علم ہے ، وہی بارش برساتا ہے اور وہی جانتا ہے کہ ارحام ( ماؤں کے پیٹوں ) میں کیا ہےاور کوئی شخص نہیں جانتا کہ وہ آنے والے کل میں کیا کرے گا اور کوئی شخص نہیں جانتا کہ وہ ( کہاں ) کس زمین میں فوت ہو گا ...... ‘ ‘ سورت کے آخر تک ۔ حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا : پھر وہ آدمی کھڑا ہو گیا ( اور چلا گیا ) تو رسول اللہ ﷺ نے فرمایا : ’’اسے میرے پاس واپس لاؤ ۔ ‘ ‘ اسے تلاش کیا گیا تو وہ انہیں ( صحابہ کرام کو ) نہ ملا ۔ رسو ل اللہ ﷺ نے فرمایا : ’’ یہ جبریل تھے ، انہوں نے چاہا کہ تم نہیں پوچھ رہے تو تم ( دین ) سیکھ لو ( انہوں نے آکر تمہاری طرف سے سوال کیا)
chapter||Explaining the prayers which are one of the pillars of Islam
hadith|11a|
hadith|11b|اسماعیل بن جعفر نے ابو سہیل سے ، انہوں نے اپنے والد سے ، انہوں نےحضرت طلحہ بن عبید اللہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور انہوں نے نبی ﷺ سے ، مالک سے حدیث کی طرح روایت کی ، سوائے اس کے کہ کہا : رسول اللہ ﷺ نے فرمایا : ’’کامیاب ہوا ، اس کے باپ کی قسم ! اگر اس نے سچ کر دکھایا ِ ‘ ‘ یا ( فرمایا : ) ’’جنت میں داخل ہو گا ، اس کے باپ کی قسم ! اگر اس نے سچ کر دکھایا ۔ ‘ ‘
chapter||Asking about the pillars of Islam
hadith|12a|
hadith|12b|بہزنے کہا : ہمیں سلیمان بن مغیرہ نے ثابت سے حدیث سنائی اور انہوں نے حضرت انس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، انہون نےکہا : ہمیں قرآن مجید میں اس بات سے منع کر دیا گیا کہ ( بلاضرورت ) کسی چیز کے بارے میں آپ سے سوال کریں .... اس کے بعد ( بہزنے ) اسی کی مانند حدیث بیان کی ۔
chapter||Explaining the faith by means of which a person is admitted into paradise, and that the one who adheres to what is enjoined upon him will enter paradise
hadith|13a|
hadith|13b|محمد بن عثمان بن عبد اللہ بن موہب اور ان کے والد عثمان دونوں موسیٰ بن طلحہ سے سنا وہ حضرت ابو ایوب ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور وہ نبی کریم ﷺ سے سابقہ حدیث کی مانند بیان کرتے تھے ۔
hadith|14a|
hadith|14b|حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ ایک اعرابی رسول اللہ ﷺ کے پاس آیا اور کہا : اے اللہ کے رسول ! مجھے ایسا عمل بتائیے کہ جب میں اس پر عمل کروں تو جنت میں داخل ہو جاؤں ۔ آپ نے فرمایا : ’’تم اللہ کی بندگی کرو اس کے ساتھ کسی کو شریک نہ ٹھہراؤ ، نماز قائم کرو جو تم پر لکھ دی گئی ہے ، فرض زکاۃ ادا کرو او ررمضان کے روزے رکھو ۔ ‘ ‘ وہ کہنے لکا : اس ذات کی قسم جس کے ہاتھ میں میری جان ہے ! میں نہ کبھی اس پر کسی چیز کا اضافہ کروں گا اور نہ اس میں گمی کروں گا ۔ جب وہ واپس جانے لگا تو نبی اکریم ﷺ نے فرمایا : ’’جسے اس بات سے خوشی ہو کہ وہ ایک جنتی آدمی دیکھے تو وہ اسے دیکھ لے ۔ ‘ ‘
hadith|15a|
hadith|15b|شیبان نے اعمش سے ، انہوں نے ابو صالح اور ابو سفیان سے اور انہوں نے حضرت جابر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، انہوں نے کہا : نعمان بن قوقل ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے عرض کی : اے اللہ کےرسول !..... پھر اس سابقہ روایت کی طرح ہے اور اس میں یہ اضافہ کیا : اور اس پر کسی چیز کا اضافہ نہ کروں گا ۔
hadith|15c|سلمہ بن شبیب ‘ حسن بن اعین ‘ معقل یعنی عبد اللہ ‘ ابوالزبیر ‘ جابر سے روایت ہے کہ ایک شخص نے رسول اللہﷺکی خدمت میں حاضر ہو کر عرض کیا کہ اگر میں فرض نماز پڑھتا رہوں اور ‌رمضان ‌كے ‌روزے ‌ركھوں ‌اور حلال کو حلال سمجھوں ‌اور ‌حرام ‌كو ‌حرام ‌، ‌اس ‌سے ‌زیادہ ‌كچھ ‌نہ ‌كروں تو آپﷺ کی کیا رائے ہے کہ کیا میں جنت میں داخل ہو جاؤ نگا؟تو آپﷺ نے فرمایا ہاں!اس شخص نے عرض کیا اللہ کی قسم میں اس سے زیادہ کچھ نہیں کرونگا ۔
chapter||Clarifying the pillars of Islam and its grand supports
hadith|16a|
hadith|16b|یحییٰ بن زکریا نے ہمیں حدیث بیان کی ، کہا : مجھے سعد بن طارق ( ابو مالک اشجعی ) نے حدیث بیان کی ۔ وہ حضرت ابن عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے ، انہوں نے نبی ﷺ سے روایت کی کہ نبیﷺ نے فرمایا : ’’اسلام کی بنیاد پانچ چیزوں پر ہے : اس پر کہ اللہ کی عبادت کی جائے اور اس کے سوا ہر کسی کی عبادت سے انکار کیا جائے ، نماز قائم کرنے ، زکاۃ دینے ، بیت اللہ کاحج کرنے اور رمضان کے روزے رکھنے پر
hadith|16c|عاصم بن محمد بن زید عبد اللہ بن عمر نے اپنے والد سے حدیث بیان کی ، کہا : حضرت عبد اللہ بن عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا کہ رسول اللہ ﷺ نے فرمایا : ’’اسلام کی بنیاد پانچ ( رکنوں ) پر رکھی گئی ہے : اس حقیقت کی ( دل ، زبان اور بعد میں ذکر کیے گئے بنیادی اعمال کے ذریعے سے ) گواہی دینا کہ اللہ تعالیٰ کےسوا کوئی معبود نہیں اور حضرت محمد ﷺ اس کے بندے اور اس کے رسول ہیں ، نماز قائم کرنا ، زکاۃ ادا کرنا ، بیت اللہ کا حج کرنا اور رمضان کے روزے رکھنا ۔ ‘ ‘
hadith|16d|عکرمہ بن خالد ، طاؤس کو حدیث سنا رہے تھے کہ ایک آدمی نے حضرت عبد اللہ بن عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے کہا : کیا آپ جہاد میں حصہ نہیں لیتے ؟ انہوں نےجواب دیا : بلاشبہ میں نے رسول اللہ ﷺ سے سنا ، آپ فرما رہے تھے ، ’’اسلام کی بنیاد پانچ چیزوں پر رکھی گئی ہے : ( اس حقیقت کی ) گواہی دینے پر کہ اللہ کے سوا کوئی معبود نہیں ، نماز قائم کرنے ، زکاۃ ادا کرنے ، رمضان کے روزے رکھنے اور بیت اللہ کاحج کرنے پر ۔ ‘ ‘
chapter||The command to believe in Allah and His Messenger (ﷺ) and the laws of Islam, calling people to it, asking about it, memorizing it and conveying it to those who have not heard the message
hadith|17a|
hadith|17b|شعبہ نے ابو جمرہ سے حدیث بیان کی ، انہوں نے کہا : میں حضرت عبد اللہ بن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ اور ( دوسرے ) لوگوں کے درمیان ترجمان تھا ، ان کے پاس ایک عورت آئی ، وہ ان سے گھڑے کی نبیذ کے بارے میں سوال کر رہی تھی توحضرت ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے جواب دیا : رسول اللہ ﷺ کی خدمت میں عبد القیس کا وفد آیا ۔ رسول اللہ ﷺ نے پوچھا : ’’یہ کون سا وفد ہے ؟ ( یا فرمایا : یہ کو ن لوگ ہیں ؟ ) ‘ ‘ انہوں نے کہا : ربیعہ ( قبیلہ سے ہیں ۔ ) فرمایا : ’’ اس قوم ( یا وفد ) کو خوش آمدید جو رسوا ہوئے نہ نادم ۔ ‘ ‘ ( ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے ) کہا ، ان لوگوں نے عرض کی : اے اللہ کےرسول ! ہم لوگ آپ کے پاس بہت دور سے آتے ہیں ، ہمارے اور آپ کے درمیان مضر کے کافروں کا یہ قبیلہ ( حائل ) ہے ، ہم ( کسی ) حرمت والے مہینے کے سوا آپ کے پاس نہیں آ سکتے ، آپ ہمیں فیصلہ کن بات بتائیے جو ہم اپنے ( گھروں میں ) پیچھے لوگوں کو ( بھی ) بتائیں اور اس کے ذریعے سے ہم جنت میں داخل ہو جائیں ۔ ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے بتایا : آپ نے ان چار باتوں کا حکم دیا اور چار چیزیں سے روکا ۔ آپ نے ان کو اکیلے اللہ تعالیٰ پر ایمان لانا کا حکم دیا اور پوچھا : ’’جانتے ہو ، صرف اللہ پر ایمان لانا کیا ہے ؟ ‘ ‘ انہوں نے کہا : اللہ اور اس کے رسول ہی زیادہ جاننے والے ہیں ۔ آپ نے فرمایا : ’’اس حقیقت کی گواہی دینا کہ اللہ کے سوا کوئی الٰہ نہیں اور محمد ﷺ اللہ کے رسول ہیں ، نماز قائم کرنا ، زکاۃ دینا ، رمضان کے روزے رکھنا اور یہ کہ تم مال غنیمت میں سے اس کا پانچواں حصہ ادا کرو ۔ ‘ ‘ اور انہیں خشک کدو سے بنائے ہوئے برتن ، سبز مٹکے اور تارکول ملے ہوئے برتن ( استعمال کرنے ) سے منع کیا ( شعبہ نے کہا : ) ابو جمرہ نے شاید نقیر ( لکڑی میں کھدائی کر کے بنایا ہوا برتن کہا یا شاید مقیر ( تارکول ملا ہوا برتن ) کہا ۔ اور آپ نے فرمایا : ’’ان کو خوب یاد رکھو اور اپنے پیچھے ( والوں کو ) بتا دو ۔ ‘ ‘ ابو بکر بن ابی شیبہ کی روایت میں ( من ورائکم کے بجائے ) من وراءکم ( ان کو ( بتاؤ ) جو تمہارے پیچھے ہیں ) کے الفاظ ہیں اور ان کی روایت میں مقیر کا ذکر نہیں ( بلکہ نقیر کا ہے ۔)
hadith|17c|قرہ بن خالد نے ابوجمرہ سے حدیث بیان کی ، انہوں نے حضرت ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور انہوں نے نبی ﷺ سے شعبہ کی ( سابقہ روایت کی ) طرح حدیث بیان کی ( اس کے الفاظ ہیں : ) رسو ل اللہ ﷺ نے فرمایا : ’’میں تمہیں اس نبیذ سے منع کرتا ہوں جو خشک کدو کے برتن ، لکڑی سے تراشیدہ برتن ، سبز مٹکے اور تارکول ملے برتن میں تیار کی جائے ( اس میں زیادہ خمیر اٹھنے کا خدشہ ہے جس سے نبیذ شراب میں بدل جاتی ہے ۔ ) ‘ ‘ ابن معاذ نے اپنے والد کی روایت میں اضافہ کیا ہے کہ رسول اللہ ﷺ نے عبد القیس کے پیشانی پر زخم والے شخص ( اشج ) سے کہا : ’’تم میں دو خوبیاں ہیں جنہیں اللہ پسند فرماتا ہے : عقل اور تحمل ۔ ‘ ‘
hadith|18a|
hadith|18b|ابن ابی عدی نے سعید کےحوالے سے قتادہ سے روایت کی ، انہوں نے کہا کہ مجھے عبد القیس کے وفد سے ملاقات کرنےوالے ایک سے زائد افراد نے بتایا اور ان میں سے ابو نضرہ کانام لیا ( ابو نضرہ نے ) حضرت ابو سعیدخدری ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ جب عبدالقیس کا وفد رسول اللہﷺ کی خدمت میں حاضر ہوا .... ، پھر ابن علیہ کی حدیث کے مانند روایت بیان کی ، البتہ اس میں یہ الفاظ ہیں : ’’تم اس میں ملی جلی کھجوریں ، ( عام ) کھجوریں اور پانی ڈالتے ہو ۔ ‘ ‘ ( اور ابن ابی عدی نے اپنی روایت میں ) یہ الفاظ ذکر نہیں کیے کہ سعید نے کہا ، یا آپﷺ نے فرمایا : ’’کچھ کھجوریں ڈالتے ہو ۔ ‘ ‘
hadith|18c|محمد بن بکار بصری ‘ عاصم بن جریج ‘ محمد بن رافع ‘ عبد الرزاق ‘ ابن جریج ‘ ابو قرعہ ‘ ابو نضرہ ‘ ابو سعید حدری ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ جب قبیلہ عبد قیس کا وفدرسول اللہﷺ کی خمت میں حاضر ہوا تو انہوں نے عرض کیا اے اللہ کے بنیﷺہم آپﷺپر قربان کون سے برتن میں پینا حلال ہے؟آپﷺنے فرمایا لکڑی کے برتن میں نہ پیا کرولوگوں نے کہا یا رسول اللہ ﷺلکڑی کا کھٹلا کیا ہوتا ہے؟آپﷺ نے فر مایا لکڑی کو اندر سے کھود کر برتن بنانے کو کھٹلا کہتے ہیں اور لکڑی کے تونبے میں بھی نہ پیا کرواور سبز کھڑی میں بھی نہ پیا کرومگر چمڑے کے برتن میں پی لیا کرو جس کا منہ ڈوری سے باندھ دیا ۃ جاتا ہو
chapter||Calling people to the twin declaration of faith and the laws of Islam
hadith|19a|
hadith|19b|بشر بن سری اور ابو عاصم نے زکریا بن اسحاق سے خبر دی کہ یحییٰ بن عبداللہ بن صیفی نے ابو معبد سے اور انہوں نے حضرت ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ نبی ﷺ نے جنا ب معاذ ‌رضی ‌اللہ ‌عنہ ‌ ‌ کو یمن کی طرف بھیجا تو فرمایا : ’’تم کچھ لوگوں کے پاس پہنچو گے ..... ‘ ‘ آگے وکیع کی حدیث کی طرح ہے ۔
hadith|19c|اسماعیل بن امیہ نے یحییٰ بن عبداللہ بن صیفی سے ، انہوں نے ابو معبد سے ا ور انہوں نے حضرت ابن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ جب رسول اللہ ﷺ نے معاذ ‌رضی ‌اللہ ‌عنہ ‌ ‌ کو یمن بھیجا تو فرمایا : ’’تم ایک قوم کے پاس جاؤ گے ( جو ) اہل کتاب ہیں ۔ تو سب سے پہلی بات جس کی طرف تمہیں ان کو دعوت دینی ہے ، اللہ تعالیٰ کی عبادت ہے ۔ جب وہ وہ اللہ کو پہچان لیں تو انہیں بتانا کہ اللہ تعالیٰ نے ان کے دن اور رات میں ان پر پانچ نمازیں فرض کی ہیں ۔ جب وہ اس پر عمل پیرا ہو جائیں تو انہیں بتانا کہ اللہ تعالیٰ نے ان پر زکاۃ فرض کی ہے جو ان کے ( مالداروں کے ) اموال سے لے کر ان کے فقراء کودی جائے گی ۔ جب وہ اس کو مان لیں تو ان سے ( زکاۃ ) لینا اور ان کے زیادہ قیمتی اموال سے احتراز کرنا ۔ ‘ ‘
chapter||The command to fight the people until they say "La ilaha illallah Muhammad Rasul-Allah", and establish Salat, and pay the Zakat, and believe in everything that the prophet (ﷺ) brought. Whoever does that, his life and his wealth are protected except by its right, and his secrets are entrusted to Allah, the most high. Fighting those who withhold Zakat or other than that is one of the duties of Islam and the Imam should be concerned with the Laws of Islam
hadith|20|جناب عبید اللہ بن عبد اللہ بن عتبہ بن مسعود نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ جب رسول ا للہﷺ نے وفات پائی اور آپ کے بعد حضرت ابو بکر ‌رضی ‌اللہ ‌عنہ ‌ ‌ خلیفہ بنائے گئے تو عربوں میں سے کافر ہونے والے کافر ہو گئے ( اور ابوبکر ‌رضی ‌اللہ ‌عنہ ‌ ‌ نےمانعین زکاۃ سے جنگ کا ارادہ کیا ) تو حضرت عمر بن خطاب ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے حضرت ابو بکر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے کہا : آپ ان لوگوں سے کیسے جنگ کریں گے جبکہ رسول ا للہ ﷺ فرما چکے ہیں : ’’ مجھے حکم دیا گیا ہے کہ میں لوگوں سے لڑائی کروں یہاں تک کہ وہ لا اله الاالله کا اقرار کر لیں ، پس جو کوئی لا اله الا الله کا قائل ہو گیا ، اس نے میری طرف سے اپنی جان اور اپنا مال محفوظ کر لیا ، الا یہ کہ اس ( لا اله الا الله ) کا حق ہو ، اور اس کا حساب اللہ تعالیٰ پر ہے ؟ ‘ ‘ اس پر ابوبکر ‌رضی ‌اللہ ‌عنہ ‌ ‌ نےجواب دیا : اللہ کی قسم ! میں ان لوگوں سے جنگ کروں گا جو نماز او رزکاۃ میں فرق کریں گے ، کیونکہ زکاۃ مال ( میں اللہ ) کا حق ہے ۔ اللہ کی قسم ! اگر یہ لوگ ( اونٹ کا ) پاؤں باندھنے کی ایک رسی بھی روکیں گے ، جو وہ رسول اللہ ﷺ کو دیا کرتے تھے تو میں اس کے روکنے پر بھی ان سے جنگ کروں گا ۔ اس پر حضرت عمر ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا تھا : اللہ کی قسم ! اصل بات اس کےسوا اور کچھ نہیں کہ میں نے دیکھا اللہ تعالیٰ نےحضرت ابوبکر ‌رضی ‌اللہ ‌عنہ ‌ ‌ کا سینہ جنگ کے لیے کھول دیا ، تو میں جان گیا کہ حق یہی ہے ۔
hadith|21a|
hadith|21b|عبدالرحمٰن بن یعقوب نے حضرت ابوہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ رسو ل اللہ ﷺ نے فرمایا : ’’مجھے حکم دیا گیا ہے کہ میں لوگوں سے جنگ کروں یہاں تک کہ وہ لا اله الا الله کی شہادت دیں اور مجھ پر اور جو ( دین ) میں لے کر آیا ہوں اس پر ایمان لے آئیں ، چنانچہ جب وہ ایسا کر لیں تو انہوں نےمیری طرف سے اپنی جان و مال کو محفوظ کر لیا ، الا یہ کہ اس ( شہادت ) کاحق ہو اور ان کاحساب اللہ کے سپرد ہے ۔ ‘ ‘
hadith|21c|اعمش نے ابو سفیان سے ، انہوں نے حضرت جابر ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے ، نیز اعمش ہی نے ابو صالح سے اور انہوں نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، ( جابر اور ابوہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ ) دونوں نے کہا کہ رسول اللہ ﷺ نے فرمایا : ’’مجھے لوگوں سے جنگ کرنے کا حکم ملا ہے ..... ‘ ‘ سعید بن مسیب کی حدیث کی طرح جو انہوں نےحضرت ابوہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سےروایت کی ہے ۔
hadith|22|ابو غسان مسمعی ‘ مالک بن عبد الواحد ‘ عبد الملک بن الصباح ‘ شعبہ ‘ واقد بن محمدزید بن عبد اللہ ‘ ابن عمر سے روایت ہے کہ رسول اللہ ﷺ نے فرمایا کہ مجھے لوگوں سے اس وقت تک لڑنے کا حکم ہے جب تک وہ لا الہ الاّ اللہ محمد رسول اللہ ( ﷺ ) کی گواہی نہ دینے لگ جائیں اور نماز قائم نہ کر لیں اور زکوٰۃ ادر نہ کرنے شروع کر لیں اگر وہ ایسا کر یں گے تو انہوں نے مجھ سےاپنا جان وما ل بچا لیا مگر حق پر ان کا جان اور مال تعرض نہیں کیا جائے گا ان کے دل کا معاملہ اللہ تعالیٰ کے ذمے ہے ۔
hadith|23a|
