collection||Virtues of the Qur'an's Chapters and Verses
hadith|4|<qbl>Abdullāh b. Abbās reported that while Angel Jibreel was sitting with the Messenger of Allah ﷺ, he heard a sound above him. He lifted his head, and said, “This is a gate which has been opened in heaven today. It was never opened before.” Then an Angel descended through it, he said, “This is an Angel who has come down to earth He never came down before.” He sent greetings and said, “Rejoice with two lights given to you. Such lights were not given to any Prophet (ﷺ) before you. These (lights) are:</qbl><text>Fātiḥatul-Kitāb (Sūrah al-Fātiḥah), and the concluding (Āyāt) of Sūrah Al-Baqarah. You will never recite a word from them without being granted (your du’ā).” Reference: Sahih Muslim 806</text>
chapter||No Ṣalāh (prayer) is valid without reciting Sūrah al-Fātiḥah
hadith|5|<qbl>The Prophet (ﷺ) is reported to have said, “The prayer is not valid for the one who does not recite the Fātiḥah (opening chapter) of the Book.” Reference:</qbl><text>Sahih Muslim 394</text>
hadith|6|<qbl>Abu Hurayrah reported:</qbl><text>The Messenger of Allah (ﷺ) said: If anyone observes prayer in which he does not recite Umm al-Qur’an (i.e., Al-Fātiḥah), it is deficient [he said this three times] and incomplete. It was said to Abu Hurayraa: At times we are behind the Imam. He said: Recite it inwardly, for he had heard the Messenger of Allah (ﷺ) declare that Allah the Exalted had said: I have divided the prayer into two halves between Me and My servant, and My servant will receive what he asks. When the servant says: Praise be to Allah, the Lord of the universe, Allah the Most High says: My servant has praised Me. And when he (the servant) says: The Most Compassionate, the Merciful, Allah the Most High says: My servant has lauded Me. And when he (the servant) says: Master of the Day of judgment, He remarks: My servant has glorified Me. And sometimes He would say: My servant entrusted (his affairs) to Me. And when he (the worshipper) says: You do we worship and of You do we ask help, He (Allah) says: This is between Me and My servant, and My servant will receive what he asks for. Then, when he (the worshipper) says: Guide us along the straight path, the path of those to whom You have been Gracious, not of those who have incurred Your displeasure, nor of those who have gone astray, He (Allah) says: This is for My servant, and My servant will receive what he asks for. Reference: Sahih Muslim 395</text>
chapter||Sūrah al-Fātiḥah is a cure and treatment for illnesses
hadith|7|<qbl>Abu Sa’īd al-Khudrī said, “Some of the Companions of the Prophet (ﷺ) ﷺ went on a journey. They alighted with a certain clan of the Arabs. Someone of them said, “Our chief has been stung by a scorpion or bitten by a snake. Has any of you something which gives relief to our chief?” A man of the people said, “Yes, I swear by Allah. I can recite an incantation, but we asked you for hospitality and you denied it to us. I shall not recite the incantation until you give me some payment.” So, they promised to give some sheep to him. He came to him and recited Sūrah al-Fātiḥah over him and blew (upon him) till he was cured, and he seemed as if he were set free from a bond. So, they gave him the payment that was agreed between them. They said, “Distribute it.” The man who applied the treatment said, “Do not do it until we approach the Messenger of Allah ﷺ.” And He ﷺ said, “From where did you learn that it was a treatment? You have done right. Apportion them, and give me a share along with you.” Reference:</qbl><text>Sahih al-Bukhari 5007</text>
chapter||Sūrat al-Baqarah
chapter_intro||Sūrat al-Baqarah is the longest chapter of the Qur’an, and its recitation and implementation are linked with numerous blessings of great proportions. The one who takes this sūrah as a companion will find increased barakah (blessings) in life, protection from evil, a pathway to paradise, abundant good deeds, a healing and a cure, increased acceptance of one’s du’ā, tranquility and peace, and a source of protection and intercession in the afterlife. Sūrat al-Baqarah, which was revealed in Madīnah, contains the greatest and most powerful āyah to be revealed, the final verse to be revealed, the longest āyah of the Qur’an, two verses that were revealed from beneath the Throne during al-Isrā wal-Mi’rāj (the night journey and ascension to heaven),4 references to Allah ﷻ in over one-hundred āyāt, numerous historical incidents and stories of the prophets, explicit references to five of the six pillars of Īmān, and Islamic laws (aḥkām) utilized in everyday life on an individual, family, and societal level.
chapter||Protection and blessings in this life and the next
hadith|8|<qbl>Abu Umāmah said he heard Allah’s Messenger ﷺ say, “Recite the Qur’an, for on the Day of Resurrection it will come as an intercessor for those who recite it. Recite the two bright ones, al-Baqarah and Sūrah ale-Imran, for on the Day of Resurrection they will come as two clouds or two shades, or two flocks of birds in ranks, pleading for those who recite them. Recite Sūrah al-Baqarah, for to take recourse to it is a blessing and to give it up is a cause of grief, and the magicians cannot confront it.” Reference:</qbl><text>Sahih Muslim 804a</text>
hadith|9|<qbl>Al-Nawwās Ibn Sam’ān reported that the Messenger of Allah ﷺ said “The Qur’an will be brought on the Day of Resurrection, along with its companions who used to act by it, at the front being Sūrah al-Baqarah and Al ‘Imran. He (the Messenger ﷺ) likened them (the two suwar) to three things which I did not forget. He said they will be like two clouds, or two black canopies with light between them, or like two flocks of birds in ranks pleading for one who recited them. Reference:</qbl><text>Sahih Muslim 805</text>
hadith|10|<qbl>Abu Hurayrah reported that the Prophet (ﷺ) ﷺ said, “Do not turn your households into graveyards. Indeed, the devils flee from a household that has Sūrah al-Baqarah recited in it.” Reference:</qbl><text>Sahih Muslim 780</text>
chapter||Āyat al-Kursī (The Verse of the Footstool)
hadith|11|<qbl>Ubayy b. Ka’b said:</qbl><text>Allah's Messenger (ﷺ) said: O Abu' al-Mundhir, do you know the verse from the Book of Allah which, according to you, is the greatest? I said: Allah and His Messenger (ﷺ) know best. He again said: Abu'l-Mundhir, do you know the verse from the Book of Allah which, according to you, is the greatest? I said: Allah, there is no god but He, the Living, the Eternal. Thereupon he touched me on my chest and said: May knowledge be pleasant for you, O Abu'l-Mundhir!” Reference: Sahih Muslim 810</text>
chapter||Protection from the devils
hadith|12|<qbl>Abu Hurayrah (RA) reported:</qbl><text>Allah’s Messenger ﷺ ordered me to guard the Zakat revenue of Ramaḍān. Then somebody came to me and started stealing from the provisions. I caught him and said, "I will take you to Allah’s Messenger!" Then Abu Hurayrah described the whole incident and said: That person said (to me), "Please don’t take me to Allah’s Messenger and I will tell you a few words by which Allah will benefit you. When you go to your bed, recite Āyat al-Kursī, for then there will be (with you) a guardian from Allah who will protect you all night long, and Satan will not be able to come near you till dawn." When the Prophet (ﷺ) ﷺ heard about the incident he said (to me), "He (who came to you at night) told you the truth although he is a liar; it was a devil." Reference: Sahih al-Bukhari 5010</text>
chapter||A guarantee of paradise
hadith|13|<qbl>The Messenger of Allah ﷺ said:</qbl><text>“Whoever reads Āyatul Kursī at the end of (after) each mandatory prayer, nothing prevents him from entering paradise except death.” Reference: Sunan an-Nasāʾī al-Kubrā, no. 9848, and al-Ṭabarānī, no. 7532.</text>
chapter||The last two verses of Sūrat al-Baqarah guarantee sufficiency
hadith|14|<qbl>Abdullah b. Masʿūd (RA) reported that the Prophet (ﷺ) ﷺ said:</qbl><text>“Whoever reads the last two verses from Sūrat al-Baqarah at night, they will be sufficient for him.” Reference: Sahih al-Bukhari 5009\n\n<i>Regarding the word ‘sufficient’ in the hadith, Imam al-Nawawi (RA) says: It was said (by scholars) that it means it will suffice him from the night prayer, and others said it means as a protection against the devils, and yet others said it means protection against harmful animals, and it is likely encompassing of all these things (and more).”\n\nIbn Ḥajar states: “[It] was explicitly reported by ʿĀsim from ʿAlqamah from Ibn Masʿūd, “Whoever recites (the two verses at) the end of Sūrat al-Baqarah, it will be sufficient for him instead of standing in prayer for one night.”</i></text>
chapter||A Gift During the Night Journey
hadith|15|<qbl>It is narrated on the authority of Abdullaah (b. Umar) that when the Messenger of Allah (ﷺ) was taken for the Night (mi’rāj) journey, he was taken to Sidrat al-Muntaha, which is situated on the sixth heaven, where terminates everything that ascends from the earth and is held there, and where terminates everything that descends from above it and is held there. (It is with reference to this that) Allah said (in the meaning of), “while the Lote Tree was overwhelmed with ˹heavenly˺ splendours” (53:16). The narrator said:</qbl><text>(It was) gold moths. He also said: The Messenger of Allah (ﷺ) was given three things: “He was given the five daily prayers, he was given the concluding verses of Sūrah al-Baqarah (i.e., 285-286), and forgiveness of serious sins for those among his Ummah who do not associate partners with Allah.” Reference: Sahih Muslim 173</text>
chapter||2000 years before the creation of the heavens and the earth
hadith|16|<qbl>An-Nu’mān bin Basheer reported that the Prophet (ﷺ) ﷺ said:</qbl><text>“Allah inscribed a book two thousand years before He created the heavens and the earth, from which the last two verses of Sūrat al-Baqarah were revealed. If they are recited for three nights in a home, no devil will come near it.” Reference: Jami` at-Tirmidhi 2882</text>
hadith|17|<qbl>It was narrated that ʿAlī said, “I did not think that any reasonable person could sleep without reciting the last verses of Sūrat al-Baqarah, and they are indeed treasures from beneath the Throne.” Reference:</qbl><text>Sunan al-Dārimī 3289</text>
chapter||The Greatest Name of Allah
hadith|18|<qbl>Abu Umāmah reported that the Prophet (ﷺ) ﷺ said, “Allah’s Most Magnificent name, which when used to implore Him, He responds, is found in three suwar:</qbl><text>Al-Baqarah, Āl-Imran, and Tāha (meaning Al-Hayy al-Qayyoom).” Reference: Sunan ibn Majah 3856. Al-Tabarāni 7925, Al-Silsilah al-Ṣaḥīḥah 746.</text>
chapter||The sanām (peak) of the Qur’an
hadith|19|<qbl>Abdullāh b. Masʿūd said, “Everything has a peak (i.e., pinnacle) and the peak of the Qur’an is al-Baqarah.” Reference:</qbl><text>Sunan ad-Darimi 2179. Al-Silsilah al-Ṣaḥīḥah, 135/2.</text>
chapter||The verse to be recited after ṭawāf (circuits around the kaʿbah)
hadith|20|<qbl>It was narrated from Jābir that the Messenger of Allah performed Tawaf, walking rapidly (raml) for three circuits, and walking at a normal pace for four. Then he recited:</qbl><text>"And take you the Maqam (place) of Ibrahim as a place of prayer." And prayed two rakʿahs with the Maqam between him and the kaʿbah. Then he touched the Corner, then he went out and said: 'As-Safa and Al-Marwah are two of the symbols of Allah. We will start with that with which Allah started.'" Reference: Sunan an-Nasa'i 2962</text>
hadith|21|<qbl>Jābir reported:</qbl><text>“The Messenger of Allah ﷺ went out to aṣ-Ṣafā and said. We will start with that with which Allah started. Then he recited the verse: 'Verily, (the hills of) aṣ-Ṣafā and Al-Marwah are of the symbols of Allah… (Al-Baqarah, 2:158)'" Reference: Sunan an-Nasa'i 2970</text>
chapter||Tranquility descends upon its recitation
hadith|22|<qbl>Usayd bin Hudayr reported:</qbl><text>While he was reciting Sūrat Al-Baqarah at night, and his horse was tied beside him, the horse was suddenly startled and troubled. When he stopped reciting, the horse became quiet, and when he started reciting again, the horse was startled again. Then he stopped reciting and the horse became quiet too. He started reciting again and the horse was startled and troubled once again. Then he stopped reciting and his son, Yahya was beside the horse (in potential danger from the horse). He was afraid that the horse might trample on him. When he took the boy away and looked towards the sky, he could not see it. The next morning, he informed the Prophet (ﷺ) who said, "Recite, O Ibn Hudayr! Recite, O Ibn Hudayr!" Ibn Hudayr replied, "O Allah's Messenger (ﷺ)! My son, Yahya was near the horse and I was afraid that it might trample on him, so I looked towards the sky, and went to him. When I looked at the sky, I saw something like a cloud containing what looked like lamps, so I went out in order not to see it." The Prophet (ﷺ) said, "Do you know what that was?" Ibn Hudayr replied, "No." The Prophet (ﷺ) said, "Those were Angels who came near to you for your voice and if you had kept on reciting till dawn, it would have remained there till morning when people would have seen it as it would not have disappeared. Reference: Sahih al-Bukhari 5018</text>
chapter||Sūrat Āl-‘Imrān
chapter||Intercession and shade on the Day of Judgment
hadith|23|<qbl>Abu Umāmah said he heard Allah’s Messenger ﷺ say, “Recite the Qur’an, for on the Day of Resurrection it will come as an intercessor for those who recite it. Recite the two bright ones, al-Baqarah and Sūrah ale-Imran, for on the Day of Resurrection they will come as two clouds or two shades, or two flocks of birds in ranks, pleading for those who recite them. Recite Sūrah al-Baqarah, for to take recourse to it is a blessing and to give it up is a cause of grief, and the magicians cannot confront it.” Reference:</qbl><text>Sahih Muslim 804</text>
hadith|24|<qbl>Al-Nawwās Ibn Sam’ān reported that the Messenger of Allah ﷺ said “The Qur’an will be brought on the Day of Resurrection, along with its companions who used to act by it, at the front being Sūrah al-Baqarah and Al ‘Imran. He (the Messenger ﷺ) likened them (the two suwar) to three things which I did not forget. He said they will be like two clouds, or two black canopies with light between them, or like two flocks of birds in ranks pleading for one who recited them. Reference:</qbl><text>Sahih Muslim 805</text>
chapter||The Greatest Name of Allah
hadith|25|<qbl>Abu Umāmah reported that the Prophet (ﷺ) ﷺ said, “Allah’s Most Magnificent name, which when used to implore Him, He responds, is found in three suwar:</qbl><text>Al-Baqarah, Āl-Imran, and Tāha (meaning Al-Hayy al-Qayyoom).” Reference: Sunan Ibn Majah 3856; At-Tabarani 7925; As-Silsilah as-Sahihah 746.</text>
chapter||A Special Āyah to Reflect Upon
hadith|26|<qbl>“…Ibn Umayr said (to Aishah):</qbl><text>Tell us about the most interesting (or “amazing”) thing you have seen from the Messenger of Allah ﷺ. He said, she remained silent and then said: “On one night, the Messenger (ﷺ) said to me: “O Aishah, excuse me to worship my Lord on this night. I (Aishah) said: “By Allah, I love your companionship and I love what makes you happy. She said, he (the messenger ﷺ) stood and purified himself, then stood in prayer. She said, he began crying until his cheeks became wet, and (she said) he cried after that until his beard was wet, and (she said) he continued crying until the tears started to fall to the ground. At that moment, Bilāl (RA) came to the Messenger of Allah ﷺ to announce the Fajr prayer and he saw him crying. He said, “O Messenger of Allah, why are you crying? Indeed, Allah has forgiven your previous and future sins.” The Messenger replied, “Shall I not be a grateful servant? A verse has been revealed to me on this night, woe to the one who reads it and does not reflect upon it. He then read: “Verily! In the creation of the heavens and the earth, and in the alternation of night and day, there are indeed signs for men of understanding” (3:190).” Reference: Sahih Ibn Hibban 620</text>
chapter||Sūrat Al-Nisā
chapter||The āyāt the Prophet (ﷺ) ﷺ recited as reminders for a great need
hadith|27|<qbl>Mundhir b. Jareer reported on the authority of his father:</qbl><text>While we were in the company of the Messenger of Allah (ﷺ) in the early hours of the morning, some people came there (who) were barefooted, naked, wearing striped woolen clothes, or cloaks, with their swords hung (around their necks). Most of them, nay, all of them, belonged to the tribe of Mudar. The color of the face of the Messenger of Allah (ﷺ) underwent a change when he saw them in poverty. He then entered (his house) and came out and commanded Bilal (to pronounce Adhan). He pronounced Adhān and Iqāma, and he (the Prophet) observed prayer (along with his Companion) and then addressed (them reciting verses of the Qur'an): “O people, fear your Lord, Who created you from a single being” to the end of the verse, “Allah is ever a Watcher over you” (4:1). (He then recited) a verse of Sura Hashr: “Fear Allah, and let every soul consider that which it sends forth for the afterlife, and fear Allah …” (18). (Then the audience began to vie with one another in giving charity.) Some donated a dinar, others a dirham, still others clothes, some donated a sā' of wheat, some a sā' of dates; till he (the Prophet) said: (Bring) even if it is half a date. Then a person from among the Ansar came there with a money bag which his hands could scarcely lift; in fact, they could not (lift). Then the people followed continuously, till I saw two heaps of eatables and clothes, and I saw the face of the Messenger (ﷺ) glistening, like gold (on account of joy). The Messenger of Allah (ﷺ) said: He who sets a good precedent in Islam, there is a reward for him for this (act of goodness) and reward of that also who acted according to it subsequently, without any deduction from their rewards; and he who sets in Islam an evil precedent, there is upon him the burden of that, and the burden of him also who acted upon it subsequently, without any deduction from their burden. Reference: Sahih Muslim 1017</text>
chapter||Sūrat Al-An’ām
chapter||Accompanied by 70,000 angels upon revelation
hadith|28|<qbl>Ibn ‘Abbās said, “The entirety of Sūrah al-An’ām was revealed in Makkah at night, accompanied by seventy thousand angels, raising their voices around it in glorification of Allah.” Reference:</qbl><text>At-Tabarani 12/215. <i>There are many other variations of this hadith from different companions, including Abdullah b. Masʿūd, Abdullah b. Umar, Asmā’, Ali, Ubayy, but most of their chains contain weaknesses.</i></text>
hadith|29|<qbl>Jābir reported that the Prophet (ﷺ) ﷺ glorified Allah when Sūrat al-An’ām was revealed, and said, ‘So many Angels accompanied its revelation that the horizon was covered with them.’” Reference:</qbl><text><i>Although it is reported by al-Hākim 2/314 and Bayhaqī 1/365, the report is classified by some scholars as weak. Shaykh Muhammad b. Rizq b. Tarhooni analyzes the arguments against the authenticity of the hadith and asserts that in fact it is ḥasan (sound). See: Muhammad Rizq Tarhooni, mawsū’at fadhā’il suwar wa āyāt al-Qur’an, vol. 1, p. 255.</i></text>
chapter||Sūrat Al-Isrā
chapter||The Messenger of Allah ﷺ recited it before he slept
hadith|30|<qbl>Aishah (RA) reported, “The Messenger of Allah ﷺ did not sleep until he recited (Sūrat) az-Zumar and Banī Isrā-īl (i.e., Al-Isrā).” Reference:</qbl><text>Jami` at-Tirmidhi 3405</text>
chapter||Sūrat Al-Kahf
chapter||Tranquility descends
hadith|31|<qbl>Al-Barā' reported:</qbl><text>A man was reciting Sūrat Al-Kahf and his horse was tied with two ropes beside him. A cloud came down and spread over that man, and it kept on coming closer and closer to him till his horse started jumping (as if afraid of something). When it was morning, the man came to the Prophet, and told him of that experience. The Prophet (ﷺ) said, "That was tranquility which descended because of (the recitation of) the Qur'an." Reference: Sahih al-Bukhari 5011</text>
chapter||Protection from ad-Dajjāl
hadith|32|<qbl>Abu al-Dardā’ reported that the Messenger of Allah ﷺ said:</qbl><text>“Whoever memorizes the first ten verses from Sūrat al-Kahf (The Cave) will be protected from the Dajjāl.” Reference: Sahih Muslim 809</text>
hadith|33|<qbl>Abu Dāwūd mentioned that it was reported with a variation through Qatādah, “…whoever memorizes the concluding verses of Sūrat al-Kahf,” and from Shu’bah via Qatādah, “from the end of Al-Kahf…” Reference:</qbl><text>Sunan ad-Darimi 4323</text>
hadith|34|<qbl>It was also reported via Khalid b. Ma’dān:</qbl><text>“Whoever recites ten verses from Sūrat al-Kahf, will not fear Al-Dajjāl.” Reference: Sunan ad-Darimi 3310</text>
hadith|35|<qbl>The Messenger of Allah ﷺ mentioned the Dajjal (Antichrist) saying, “If he comes forth while I am among you I shall be the one who will dispute with him on your behalf, but if he comes forth when I am not among you, a man must dispute on his own behalf, and Allah will take my place in looking after every Muslim. Those of you who live up to his time should recite over him the opening verses of Sūrah al-Kahf, for they are your protection from his trial.” We asked, “How long will he remain on the earth?” He replied, “Forty days, one like a year, one like a month, one like a week, and rest of his days like yours.” We asked, “Messenger of Allah ﷺ, will one day’s prayer suffice us in this day which will be like a year?” He replied, “No, you must make an estimate of its extent. Then Jesus son of Mary will descend at the white minaret to the east of Damascus. He will then catch him up at the gate of Ludd and kill him.” Reference:</qbl><text>Sunan ad-Darimi 4321; A more detailed narration is found in Sahih Muslim 2937</text>
chapter||A light between two Fridays
hadith|36|<qbl>It was reported that the Messenger of Allah ﷺ said, “Whoever reads Sūrat al-Kahf on the day of Jumu’ah, a light will shine for him between the two Fridays.” Reference:</qbl><text>Mustadrak al-Hakim; Sahih at-Targhib wa at-Tarhib 736</text>
hadith|37|<qbl>It was reported that the Messenger of Allah ﷺ said, “Whoever reads Sūrat al-Kahf on the night of Jumu’ah, a light will shine for him which extends from him to the Ancient House (i.e., the Kaʿbah).” Reference:</qbl><text>Sunan al-Darimi 3312; Sunan Al-Bayhaqi 5856; Sahīh al-Targhīb wa at-Tarhīb 736. <i>Note: Jumu’ah is not equivalent to Friday, rather it begins at Maghrib/sunset of Thursday and ends as the maghrib/sunset time comes in on Friday.</i></text>
hadith|38|<qbl>Abu Sa’īd al-Khudrī reported that the Messenger of Allah ﷺ said:</qbl><text>“Whoever recites Sūrat al-Kahf as it was revealed will have a light on the Day of Resurrection, from his position to Makkah, and whoever recites the final ten verses of it (Al-Kahf) and then encounters Al-Dajjal, will not be harmed (by him). And whoever makes wudu’ and then says: “SubhānakAllahumma wa behamdika lā ilāha illā anta, astaghfiruka wa atoobu elayk” (Glory and praise be to You, O Allah, there is no deity worthy of worship except for You, I seek Your forgiveness and I repent to You),1 it will be written a scroll (of deeds), and then placed in a seal which will not be broken until the Day of Resurrection.” Reference: As-Silsilah as-Sahihah 2651.</text>
chapter||Sūrat Tāha
chapter||The Greatest Name of Allah
hadith|39|<qbl>Abu Umāmah reported that the Prophet (ﷺ) ﷺ said, “Allah’s Most Magnificent name, which when used to implore Him, He responds, is found in three suwar:</qbl><text>Al-Baqarah, Āl-Imran, and Tāha (meaning Al-Hayy al-Qayyoom).” Reference: Sunan Ibn Majah 3856; Al-Tabarāni 7925; Al-Silsilah al-Ṣaḥīḥah 746.</text>
chapter||Sūrat As-Sajdah
chapter||The Messenger of Allah ﷺ would recite this sūrah in the fajr prayer of Jumu’ah
hadith|40|<qbl>Abu Hurayrah reported that the Messenger of Allah ﷺ would recite, in the morning prayer of Jumu’ah (Friday), Sūrat as-Sajdah (32) in the first rakʿah, and Sūrat al-Insān (76) in the second rakʿah. Reference:</qbl><text>Sahih Muslim 880</text>
chapter||The Messenger of Allah ﷺ would not sleep until he recited this sūrah
hadith|41|<qbl>Jābir ibn Abdullāh reports that the Messenger of Allah ﷺ would not sleep until He had recited Sūrah as-Sajdah (32) and Sūrah al-Mulk (67). Reference:</qbl><text>Jami` at-Tirmidhi 2892; ; Al-Adab al-Mufrad 1209; Sunan ad-Dārimī 3316.</text>
chapter||Sūrat Yāsīn
chapter||Recitation upon the dying believer
hadith|42|<qbl>Aḥmad said:</qbl><text>“Abū Al-Mughīrah narrated to us, that Ṣafwān narrated to us, that the seniors (possibly referring to the senior tābi‘īn) told me that they were present with Ghuḍayf bin Al-Ḥārith Al-Thumāliyy (a companion) when his death throes became intense. He said: ‘Is there anyone amongst you who can recite Yāsīn?’ He said: So Ṣāliḥ bin Shurayḥ Al-Sakūniyy recited it, and when he reached the fortieth verse, he passed away. He said: The seniors used to say: ‘If it is recited in the presence of the dying person, he finds relief thereby.’ Ṣafwān said: ‘‘And ‘Īsā bin Al-Mu‘tamir recited it in the presence of Ibn Ma‘bad.” Reference: Ahmad 4/105; Ibn Sa`d 7/443.</text>
hadith|43|<qbl>Muḥammad bin Isḥāq said:</qbl><text>“Yazīd bin Ziyād narrated to me, from Muḥammad bin Ka‘b Al-Quraẓiyy who said: ‘When they gathered together (at his house to lay siege to it and murder him), and amongst them was Abū Jahl bin Hishām, he said when they were at his door: ‘Muḥammad claims that if you follow him regarding his matter that you will be the kings of the Arabs and the non-Arabs, and then you all will be resurrected after your deaths and you will be granted gardens like the gardens of Jordan. And if you don’t, amongst you will be those who are slaughtered (referring to those who insisted on attacking Islam and the Muslims), and then you all will be resurrected after your deaths, and a fire will be placed for you in which you will be burnt.’ He (the narrator) said: ‘And the Messenger came out to them and took a handful of dirt and then said, ‘I do say that, and you are one of them (those who would be killed and enter the fire).’ Allah veiled their sight so they were unable to see him, and he began to sprinkle that dirt on their heads while reciting the verses from Yāsīn: “(1) Yā Sīn (2) By the wise Quran, (3) you [Muḥammad] are truly one of the messengers sent (4) on a straight path” until (he reached) “blocking their vision: they cannot see.” By the time he finished reciting those verses there was no one except that he had put dirt on his head. Then he left in the direction he wanted to go…” Reference: Ibn Mundhir and Ibn Abi Hatim in Ad-Durr 5/258; al-Bayhaqi in Ad-Dala'il 2/470.</text>
hadith|44|<qbl>Abū ‘Umar Al-Dūrī said:</qbl><text>“‘Affān bin Muslim narrated to me, that Ḥammād bin Zayd narrated to us, from Ayyūb, from ʿIkrimah: that a group of polytheists gathered together and said: ‘If we see Muḥammad (ﷺ) we will assassinate him.’ He (the narrator) said: ‘So the Messenger of Allah (ﷺ) came to them while they were grouped together, and took a handful of dirt, and started sprinkling it on their heads and then recited: “(1) Yā Sīn (2) By the wise Quran” until he reached the verse “ (9) and set barriers before and behind them, blocking their vision: they cannot see.” Then he left…” Reference: Abu ‘Umar Al-Dūrī in Qirā’āt al-Nabi 61/a, ‘Abd bin Ḥamīd and Ibn Mundhir in Al-Durr, 5/259.</text>
chapter||Sūrat Az-Zumar
chapter||The Messenger of Allah ﷺ did not sleep until he recited this sūrah
hadith|45|<qbl>Aslam reported:</qbl><text>Allah's Messenger (ﷺ) was traveling on one of his journeys, and `Umar bin Al-Khattab was traveling along with him at night. `Umar asked him about something, but Allah's Messenger (ﷺ) did not answer him. He asked again, but he did not answer. He asked for the third time, but he did not answer. On that, `Umar said to himself, "May your mother lose you! You have asked Allah's Messenger (ﷺ) three times, but he did not answer at all!" `Umar said, "So I made my camel go fast till I was ahead of the people, and I was afraid that something might be revealed about me. After a little while I heard a call maker calling me, I said, 'I was afraid that some Qur'anic Verse might be revealed about me.' So I went to Allah's Messenger (ﷺ)  and greeted him. He said, 'Tonight there has been revealed to me a Sūrah which is dearer to me than that on which the sun shines (i.e., the world).' Then he recited: 'Verily! We have given you (O Muhammad), a manifest victory.' " (Sūrat al-Fatḥ). Reference: Sahih al-Bukhari 5012</text>
hadith|46|<qbl>Narrated `Abdullāh bin Mughaffal:</qbl><text>I saw Allah's Messenger (ﷺ) reciting Sūrat-al-Fatḥ on his she-camel on the day of the Conquest of Mecca. Reference: Sahih al-Bukhari 5034 In a similar report, Abdullah bin Mughaffal said: I saw the Prophet (ﷺ) reciting (Qur'an) while he was riding on his she camel or camel which was moving, carrying him. He was reciting Sūrat Fatḥ or part of Sūrat Fatḥ very softly and in an attractive, moving tone. Reference: Sahih al-Bukhari 5047</text>
chapter||Sūrat Al-Fatḥ
chapter||Dearer to the Messenger ﷺ than this world
hadith|47|<qbl>‘Aishah (RA) reported, “The Messenger of Allah ﷺ did not sleep until he recited (Sūrat) az-Zumar and Banī Isrā-īl (i.e., Al-Isrā).” Reference:</qbl><text>Jami` at-Tirmidhi 3405</text>
chapter||Sūrat Qāf
chapter||The Messenger of Allah ﷺ used to recite it in Eid prayers.
