collection||المستدرك على الصحيحين
hadith|9|أخبرنا عبد الله بن الحسين القاضي بمرو ثنا الحارث بن أبي أسامة حدثنا يونس بن محمد حدثنا الليث بن سعد حدثني عامر بن يحيى عن أبي عبد الرحمن المعافري الحبلى قال سمعت عبد الله بن عمرو بن العاص قال قال رسول الله صلى الله عليه وسلم * إن الله يستخلص رجلا من أمتي على رؤوس الخلائق يوم القيامة فينشر عليه تسعة وتسعين سجلا كل سجل مثل هذا ثم يقول أتنكر من هذا شيئا أظلمك كتبتي الحافظون فيقول لا يا رب فيقول أفلك عذر فيقول لا يا رب فيقول بلى إن لك عندنا حسنة وإنه لا ظلم عليك اليوم فيخرج بطاقة فيها أشهد أن لا إله إلا الله وأشهد أن محمدا عبده ورسوله فيقول يا رب ما هذه البطاقة مع هذه السجلات فقال إنك لا تظلم قال فتوضع السجلات في كفة والبطاقة في كفة فطاشت السجلات وثقلت البطاقة ولا يثقل مع اسم الله شيء هذا حديث صحيح لم يخرج في الصحيحين وهو صحيح على شرط مسلم فقد احتج بأبي عبد الرحمن الحلبي عن عبد الله بن عمرو بن العاص وعامر بن يحيى مصري ثقة والليث بن سعد إمام ويونس المؤدب ثقة متفق على إخراجه في الصحيحين
hadith|10|أخبرنا أبو العباس قاسم بن القاسم السياري بمرو ثنا أبو الموجه حدثنا أبو عمار ثنا الفضل بن موسى عن محمد بن عمرو عن أبي سلمة عن أبي هريرة أن رسول الله صلى الله عليه وسلم قال * افترقت اليهود على إحدى وسبعين فرقة أو اثنتين وسبعين فرقة والنصارى مثل ذلك وتفترق أمتي على ثلاث وسبعين فرقة هذا حديث كثر في الأصول وقد روي عن سعد بن أبي وقاص وعبد الله بن عمرو وعوف بن مالك عن رسول الله صلى الله عليه وسلم مثله وقد احتج مسلم بمحمد بن عمرو عن أبي سلمة عن أبي هريرة واتفقا جميعا على الاحتجاج بالفضل بن موسى وهو ثقة
hadith|11|حدثنا أبو العباس القاسم بن القاسم السياري بمرو ثنا إبراهيم بن هلال ثنا علي بن الحسن بن شقيق ثنا الحسين بن واقد وحدثنا محمد بن صالح بن هانئ ثنا أبو سعيد محمد بن شاذان حدثنا أبو عمار حدثنا الفضل بن موسى عن الحسين بن واقد عن عبد الله بن بريدة عن أبيه قال قال رسول الله صلى الله عليه وسلم * العهد الذي بيننا وبينهم الصلاة فمن تركها فقد كفر هذا حديث صحيح الإسناد لا تعرف له علة بوجه من الوجوه فقد احتجا جميعا بعبد الله بن بريدة عن أبيه واحتج مسلم بالحسين بن واقد ولم يخرجاه بهذا اللفظ ولهذا الحديث شاهد صحيح على شرطهما جميعا
hadith|12|أخبرنا أحمد بن سهل الفقيه ببخارى حدثنا قيس بن أنيف حدثنا قتيبة بن سعيد حدثنا بشر بن المفضل عن الجريري عن عبد الله بن شقيق عن أبي هريرة قال كان أصحاب رسول الله صلى الله عليه وسلم * لا يرون شيئا من الأعمال تركه كفرا غير الصلاة
hadith|13|حدثنا أبو العباس محمد بن يعقوب حدثنا محمد بن إسحاق الصغاني حدثنا حجاج بن محمد حدثنا يونس بن أبي إسحاق عن أبيه عن أبي جحيفة عن علي بن أبي طالب قال قال رسول الله صلى الله عليه وسلم * من أصاب حدا فعجل الله له عقوبته في الدنيا فالله أعدل من أن يثني على عبده العقوبة في الآخرة ومن أصاب حدا فستره الله عليه وعفا عنه فالله أكرم من أن يعود في شيء قد عفا عنه هذا حديث صحيح الإسناد ولم يخرجاه وقد احتجا جميعا بأبي جحيفة عن علي واتفقا على أبي إسحاق واحتجا جميعا بالحجاج بن محمد واحتج مسلم بيونس بن أبي إسحاق
hadith|14|أخبرني أبو الحسن محمد بن عبد الله الجوهري حدثنا محمد بن إسحاق حدثنا أحمد بن يوسف حدثنا النضر بن محمد حدثنا عكرمة بن عمار حدثنا إياس بن سلمة حدثني أبي أنه * كان مع رسول الله صلى الله عليه وسلم إذ جاءه رجل بفرس له يقودها عقوق ومعها مهرة لها يتبعها فقال من أنت فقال أنا نبي قال ما نبي قال رسول الله قال متى تقوم الساعة فقال رسول الله صلى الله عليه وسلم غيب ولا يعلم الغيب إلا الله قال أرني سيفك فأعطاه النبي صلى الله عليه وسلم سيفه فهزه الرجل ثم رده عليه فقال رسول الله صلى الله عليه وسلم أما إنك لم تكن تستطيع الذي أردت قال وقد كان قال اذهب إليه فسله عن هذه الخصال هذا حديث صحيح ولم يخرجاه وقد اتفقا جميعا على الحجة بإياس بن سلمة عن أبيه واحتج مسلم بهذا الإسناد بعينه فحدث عن أحمد بن يوسف بغير حديث
hadith|15|أخبرنا أبو عبد الله محمد بن عبد الله الصفار ثنا أحمد بن مهران الأصبهاني حدثنا عبيد الله بن موسى حدثنا عوف بن أبي جميلة وأخبرنا عبد الله بن الحسين القاضي بمرو حدثنا الحارث بن أبي أسامة حدثنا روح بن عبادة حدثنا عوف عن خلاس ومحمد عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم * من أتى عرافا أو كاهنا فصدقه فيما يقول فقد كفر بما أنزل على محمد صلى الله عليه وسلم هذا حديث صحيح على شرطهما جميعا من حديث بن سيرين ولم يخرجاه وحدث البخاري عن إسحاق عن روح عن عوف عن خلاس ومحمد عن أبي هريرة قصة موسى أنه آدر
hadith|16|حدثنا أبو عبد الله محمد بن يعقوب الحافظ إملاء ثنا إبراهيم بن عبد الله السعدي ثنا قريش بن أنس ثنا حبيب بن الشهيد وأخبرنا أحمد بن جعفر القطيعي ثنا عبد الله بن أحمد بن حنبل حدثني أبي ثنا بن أبي عدي عن حبيب بن الشهيد ثنا حميد بن هلال ثنا هصان بن كاهل وفي حديث بن أبي عدي كاهن قال جلست مجلسا فيه عبد الرحمن بن سمرة ولا أعرفه فقال حدثنا معاذ بن جبل قال قال رسول الله صلى الله عليه وسلم * ما على الأرض نفس تموت لا تشرك بالله شيئا تشهد أني رسول الله يرجع ذلك إلى قلب موقن إلا غفر الله لها قال فقلت أأنت سمعت من معاذ فعنفني القوم فقال دعوه فإنه لم يسيء القول نعم أنا سمعته من معاذ بن جبل وزعم معاذ أنه سمعه من رسول الله صلى الله عليه وسلم هذا حديث صحيح وقد تداوله الثقات ولم يخرجاه جميعا بهذا اللفظ والذي عندي والله أعلم أنهما أهملاه لهصان بن كاهل ويقال بن كاهن فإن المعروف بالرواية عنه حميد بن هلال العدوي فقط وقد ذكر بن أبي حاتم أنه روى عنه قرة بن خالد أيضا وقد أخرجا جميعا عن جماعة من الثقات لا راوي لهم إلا واحد فيلزمهما بذلك إخراج مثله والله أعلم
hadith|17|حدثنا أبو العباس محمد بن يعقوب ثنا أبو جعفر محمد بن عبيد الله بن أبي داود المنادي ثنا يزيد بن هارون أنبأنا أبو غسان محمد بن مطرف عن حسان بن عطية عن أبي أمامة الباهلي قال قال رسول الله صلى الله عليه وسلم * الحياء والعي شعبتان من الإيمان والبذاء والبيان شعبتان من النفاق هذا حديث صحيح على شرط الشيخين ولم يخرجاه وقد احتجا برواته عن آخرهم
hadith|18|أخبرنا أحمد بن جعفر القطيعي ثنا عبد الله بن أحمد بن حنبل حدثني أبي ثنا عبد الرحمن وهو بن مهدي ثنا زهير بن محمد عن صالح بن أبي صالح عن عبد الله بن أبي أمامة عن أبيه قال قال رسول الله صلى الله عليه وسلم * البذاذة من الإيمان البذاذة من الإيمان قد احتج مسلم بصالح بن أبي صالح السمان
hadith|19|حدثنا أبو العباس محمد بن يعقوب ثنا محمد بن إسحاق الصغاني ثنا سعيد بن أبي مريم عن معاوية بن صالح عن أبي يحيى سليم بن عامر قال سمعت أبا أمامة الباهلي يقول سمعت رسول الله صلى الله عليه وسلم يقول يوم حجة الوداع * اعبدوا ربكم وصلوا خمسكم وصوموا شهركم وأدوا زكاة أموالكم وأطيعوا ذا أمركم تدخلوا جنة ربكم هذا حديث صحيح على شرط مسلم ولا نعرف له علة ولم يخرجاه وقد احتج البخاري ومسلم بأحاديث سليم بن عامر وسائر رواته متفق عليهم
hadith|20|حدثنا أبو العباس محمد بن يعقوب حدثنا إبراهيم بن مرزوق حدثنا وهب بن جرير حدثنا شعبة وأخبرنا أبو القاسم عبد الرحمن بن الحسن الأسدي بهمدان حدثنا إبراهيم بن الحسين حدثنا آدم بن أبي إياس حدثنا شعبة وأخبرنا أحمد بن جعفر القطيعي حدثنا عبد الله بن أحمد بن حنبل حدثني أبي ثنا محمد بن جعفر ثنا شعبة عن عمرو بن مرة قال سمعت عبد الله بن سلمة يحدث عن صفوان بن عسال المرادي قال * قال يهودي لصاحبه اذهب بنا إلى هذا النبي صلى الله عليه وسلم نسأله عن هذه الآية ولقد آتينا موسى تسع آيات بينات فقال لا تقولوا له نبي فإنه لو سمعك لصارت له أربعة أعين قال فسألاه فقال لا تشركوا بالله شيئا ولا تسرقوا ولا تزنوا ولا تقتلوا النفس التي حرم الله إلا بالحق ولا تسحروا ولا تأكلوا الربا ولا تمشوا ببريء إلى ذي سلطان ليقتله ولا تقذفوا محصنة وأنتم يا يهود عليكم خاصة ألا تعدوا في السبت فقبلا يده ورجله وقالا نشهد أنك نبي فقال ما منعكما أن تسلما قالا إن داود عليه السلام دعا أن لا يزال من ذريته نبي وإنا نخشى أن يقتلنا يهود هذا حديث صحيح لا نعرف له علة بوجه من الوجوه ولم يخرجاه ولا ذكر الصفوان بن عسال حديثا واحدا سمعت أبا عبد الله محمد بن يعقوب الحافظ ويسأله محمد بن عبيد الله فقال لم تركا حديث صفوان بن عسال أصلا فقال لفساد الطريق إليه قال الحاكم إنما أراد أبو عبد الله بهذا حديث عاصم عن زر فإنهما تركا عاصم بن بهدلة فأما عبد الله بن سلمة المرادي ويقال الهمداني وكنيته أبو العالية فإنه من كبار أصحاب علي وعبد الله وقد روي عن سعد بن أبي وقاص وجابر بن عبد الله وغيرهما من الصحابة وقد روى عنه أبو الزبير المكي وجماعة من التابعين
hadith|21|حدثنا أبو العباس محمد بن يعقوب ثنا بحر بن نصر الخولاني أنبأنا بن وهب أخبرني بن أبي ذئب وحدثني أبو بكر بن إسحاق أنبأ الحسن بن علي بن زياد ثنا إسماعيل بن أبي أويس أخبرني بن أبي ذئب عن سعيد بن أبي سعيد المقبري عن أبي هريرة أن رسول الله صلى الله عليه وسلم قال * والله لا يؤمن والله لا يؤمن والله لا يؤمن قالوا وما ذاك يا رسول الله قال جار لا يأمن جاره بوائقه قالوا وما بوائقه قال شره هذا حديث صحيح على شرط الشيخين ولم يخرجاه هكذا إنما أخرجا حديث أبي الزناد عن الأعرج عن أبي هريرة عن النبي صلى الله عليه وسلم قال لا يدخل الجنة من لا يأمن جاره بوائقه
hadith|22|حدثنا أبو بكر بن إسحاق وأبو بكر بن سلمان الفقيهان قالا ثنا عبيد بن شريك ثنا يحيى بن بكير ثنا الليث حدثني محمد بن عجلان عن القعقاع بن حكيم عن أبي صالح عن أبي هريرة أن رسول الله صلى الله عليه وسلم قال * المسلم من سلم المسلمون من لسانه ويده والمؤمنون من أمنه الناس على دمائهم وأموالهم قد اتفقا على إخراج طرف حديث المسلم من سلم المسلمون من لسانه ويده ولم يخرجا هذه الزيادة وهي صحيحة على شرط مسلم وفي هذا الحديث زيادة أخرى على شرطه مما لم يخرجاها
hadith|23|حدثنا أبو العباس محمد بن يعقوب حدثنا أبو الحسن محمد بن سنان القزاز حدثنا أبو عاصم أنبأنا بن جريج أخبرني أبو الزبير سمع جابرا يقول قال رسول الله صلى الله عليه وسلم * أكمل المؤمنين من سلم المسلمون من لسانه ويده وزيادة أخرى صحيحة على شرطهما ولم يخرجاها
hadith|24|حدثنا عبد الرحمن بن الحسن بن أحمد القاضي حدثنا إبراهيم بن الحسين حدثنا سعيد بن أبي مريم وعبد الله بن صالح قالا حدثنا الليث حدثني أبو هانئ الخولاني عن عمرو بن مالك الليثي عن فضالة بن عبيد قال قال رسول الله صلى الله عليه وسلم في حجة الوداع * ألا أخبركم بالمؤمن من أمنه الناس على أنفسهم وأموالهم والمسلم من سلم المسلمون من لسانه ويده والمجاهد من جاهد نفسه في طاعة والمهاجر من هجر الخطايا والذنوب وزيادة أخرى على شرط مسلم ولم يخرجاها
hadith|25|حدثنا أبو العباس محمد بن يعقوب ثنا محمد بن إسحاق الصغاني ثنا الحسن بن موسى الأشيب ثنا حماد عن يونس بن عبيد وحميد عن أنس بن مالك قال قال رسول الله صلى الله عليه وسلم * المؤمن من أمنه الناس والمسلم من سلم المسلمون من لسانه ويده والمهاجر من هجر السوء والذي نفسي بيده لا يدخل الجنة عبد لا يأمن جاره بوائقه وزيادة أخرى صحيحة سليمة من رواية المجروحين في متن هذا الحديث ولم يخرجاها
hadith|26|حدثنا علي بن حمشاذ العدل ثنا إسماعيل بن إسحاق القاضي ثنا سليم بن حرب ثنا شعبة وأخبرني أبو عمر ومحمد بن جعفر العدل ثنا يحيى بن محمد ثنا عبيد الله بن معاذ ثنا أبي ثنا شعبة عن عمرو بن مرة قال حدثني عبد الله بن الحارث وأثنى عليه خيرا عن أبي كثير عن عبد الله بن عمرو قال خطبنا رسول الله صلى الله عليه وسلم فقال * إياكم والظلم فإن الظلم ظلمات يوم القيامة وإياكم الفحش والتفحش وإياكم والشح فإنما هلك من كان قبلكم بالشح أمرهم بالقطيعة فقطعوا وبالبخل فبخلوا وبالفجور ففجروا فقام رجل فقال يا رسول الله أي الإسلام أفضل قال أن يسلم المسلمون من لسانك ويدك فقال ذلك الرجل أو غيره يا رسول الله أي الهجرة أفضل قال أن تهجر ما كره ربك قال والهجرة هجرتان هجرة الحاضر وهجرة البادي فهجرة البادي أن يجيب إذا دعي ويطيع إذا أمر وهجرة الحاضر أعظمهما بلية وأفضلهما أجرا قد خرجا جميعا حديث الشعبي عن عبد الله بن عمرو مختصرا ولم يخرجا هذا الحديث وقد اتفقا على عمرو بن مرة وعبد الله بن الحارث النجراني فأما أبو كثير زهير بن الأقمر الزبيدي فإنه سمع عليا وعبد الله فمن بعدهما من الصحابة وهذا الحديث بعينه عند الأعمش عن عمرو بن مرة
hadith|27|حدثناه علي بن عيسى ثنا الحسين بن محمد بن زياد ثنا عبد الله بن عمر بن أبان ثنا حسين بن علي عن الفضيل بن عياض عن الأعمش عن عمرو بن مرة عن عبد الله بن الحارث عن زهير بن الأقمر عن عبد الله بن عمرو قال قال رسول الله صلى الله عليه وسلم * اتقوا الظلم فذكر الحديث بطوله ولهذه الزيادات التي ذكرناها عن عبد الله بن عمرو شاهد صحيح على شرط مسلم من رواية أبي هريرة
hadith|28|أخبرناه أبو الحسين محمد بن أحمد القنطري ثنا أبو قلابة ثنا أبو عاصم عن بن عجلان وحدثنا أبو بكر بن إسحاق واللفظ له أخبرنا أحمد بن إبراهيم بن ملحان ثنا بن بكير حدثني الليث عن محمد بن عجلان عن سعيد بن أبي سعيد المقبري عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم * إياكم والفحش والتفحش فإن الله لا يحب الفاحش المتفحش وإياكم والظلم فإنه هو الظلمات يوم القيامة وإياكم والشح فإنه دعا من قبلكم فسفكوا دماءهم ودعا من قبلكم فقطعوا أرحامهم ودعا من قبلكم فاستحلوا حرماتهم
hadith|29|حدثنا أبو بكر أحمد بن إسحاق بن أيوب الفقيه ثنا محمد بن غالب ثنا محمد بن سابق ثنا إسرائيل عن الأعمش عن إبراهيم عن علقمة عن عبد الله عن النبي صلى الله عليه وسلم قال * ليس المؤمن بالطعان ولا اللعان ولا الفاحش ولا البذيء هذا حديث صحيح على شرط الشيخين فقد احتجا بهؤلاء الرواة عن آخرهم ثم لم يخرجاه وأكثر ما يمكن أن يقال فيه أنه لا يوجد عند أصحاب الأعمش وإسرائيل بن يونس السبيعي كبيرهم وسيدهم وقد شارك الأعمش في جماعة من شيوخه فلا ينكر له التفرد عنه بهذا الحديث وللحديث شاهد آخر على شرطهما
hadith|30|حدثناه أبو بكر بن إسحاق أنبأنا محمد بن أيوب ثنا أحمد بن يونس ثنا أبو بكر بن عياش عن الحسن بن عمرو الفقيمي عن محمد بن عبد الرحمن بن يزيد عن أبيه عن عبد الله قال قال رسول الله صلى الله عليه وسلم * ليس المؤمن بالطعان ولا اللعان ولا الفاحش ولا البذيء وللحديث شاهد ثان عن إبراهيم النخعي لا بد من ذكره وإن لم يكن إسناده على شرط الشيخين
hadith|31|أخبرناه أبو الحسين علي بن عبد الرحمن بن ماتي بالكوفة ثنا الحسين بن الحاكم الحيري ثنا إسماعيل بن أبان ثنا صباح بن يحيى عن بن أبي ليلى عن الحكم عن إبراهيم عن علقمة عن عبد الله أن النبي صلى الله عليه وسلم قال * المؤمن ليس بالطعان ولا الفاحش ولا البذيء محمد بن عبد الرحمن بن أبي ليلى وإن كان ينسب إلى سوء الحفظ فإنه أحد فقهاء الإسلام وفضلتهم ومن أكابر أولاد الصحابة والتابعين من الأنصار رحمة الله تعالى عليهم
hadith|32|حدثنا أبو محمد دعلج بن أحمد السجزي ببغداد ثنا محمد بن علي بن يزيد الصايغ ثنا سعيد بن منصور ثنا يعقوب بن عبد الرحمن وعبد العزيز بن محمد عن عمرو مولى المطلب عن المطلب عن أبي موسى الأشعري أن رسول الله صلى الله عليه وسلم قال * من عمل سيئة فكرهها حين يعمل وعمل حسنة فسر بها فهو مؤمن قد احتجا برواة هذا الحديث عن آخرهم وهو صحيح على شرطهما ولم يخرجا إنما خرجا في خطبة عمر بن الخطاب ومن سرته حسنته وساءته سيئته فهو مؤمن وله شاهد بهذا اللفظ
hadith|33|أخبرناه أبو عبد الله محمد بن عبد الله الصفار ثنا أحمد بن محمد بن عيسى القاضي ثنا مسلم بن إبراهيم ثنا هشام بن أبي عبد الله عن يحيى بن أبي كثير عن زيد بن سلام عن جده ممطور عن أبي أمامة * أن رسول الله صلى الله عليه وسلم سأله رجل فقال يا رسول الله ما الإيمان قال إذا سرتك حسنتك وساءتك سيئتك فأنت مؤمن فقال يا رسول الله ما الإثم قال إذا حاك في صدرك شيء فدعه وهكذا رواه علي بن المبارك ومعمر بن راشد عن يحيى بن أبي كثير أما حديث علي بن المبارك
hadith|34|فحدثناه مكرم بن أحمد القاضي ثنا أبو قلابة ثنا يحيى بن كثير العنبري ثنا علي بن المبارك حدثني يحيى بن أبي كثير عن زيد بن سلام عن جده أبي سلام قال سمعت أبا أمامة يقول * سأل رجل رسول الله صلى الله عليه وسلم ما الإيمان قال إذا سرتك حسنتك وساءتك سيئتك فإنك مؤمن وأما حديث معمر
hadith|35|فأخبرناه أبو عبد الله محمد بن على بن عبد الحميد الصنعاني ثنا إسحاق بن إبراهيم ثنا عبد الرزاق أنبأنا معمر عن يحيى بن أبي كثير عن زيد بن سلام عن أبي سلام عن أبي أمامة * أن رسول الله صلى الله عليه وسلم سئل ما الإيمان فقال من سرته حسنته وساءته سيئته فهو مؤمن هذه الأحاديث كلها صحيحة متصلة على شرط الشيخين
