collection||Sahih al Bukhari
chapter||باب
hadith|5|Нам рассказал Муса ибн Исма‘ил, сказавший: Нам рассказал Абу ‘Аваана, сказавший: Нам рассказал Муса ибн ‘Аиша, сказавший: Нам рассказал Са‘ид ибн Джубайр от Ибн ‘Аббаса, толкуя слова Всевышнего: «Не шевели языком своим, (повторяя его.) чтобы ускорить это...», сказал: «Посланник Аллаха ﷺ всегда испытывал напряжение во время ниспослания (откровений), что заставляло его шевелить губами». Ибн ‘Аббас сказал: «И я пошевелю губами так же, как делал это Посланник Аллаха ﷺ».(Ибн ‘Аббас сказал): «И Аллах Всевышний ниспослал (аяты, в которых говорилось): “Не шевели языком своим, (повторяя его.) чтобы ускорить это! Поистине, это Нам надлежит собрать и прочесть его”».Ибн ‘Аббас сказал: «(Это значит:) собрать его для тебя в твоём сердце так, чтобы ты смог читать его».(Что же касается слов) Аллаха Всевышнего «А когда Мы прочитаем его, следуй его чтению», то Ибн ‘Аббас сказал: «(Это значит:) слушай его внимательно».Аллах Всевышний сказал: «Далее, поистине, надлежит Нам разъяснить его».(Ибн ‘Аббас сказал: «Это значит:) далее, надлежит Нам сделать так, чтобы ты читал его. И после этого Посланник Аллаха ﷺ всегда выслушивал Джибриля, когда тот являлся к нему, а после того как Джибрил уходил, Пророк ﷺ читал (аяты Корана) так же, как читал их он»
chapter||باب
hadith|6|Сообщается от ‘Убейдуллаха ибн ‘Абдуллаха, что Ибн ‘Аббаса сказал:\n— Посланник Аллаха ﷺ был щедрейшим из людей, а наибольшую щедрость проявлял он в рамадане, когда с ним встречался Джибрил, и он встречался с ним каждую ночь рамадана, обучая его Корану, и, поистине, по этой причине Посланник Аллаха ﷺ был более щедрым на всё благое, чем вольный ветер
chapter||باب
hadith|7|Нам рассказал Абу аль-Ямаан Аль-Хакам ибн Нафи‘, сказавший: Нам сообщил Шу‘айб, от Аз-Зухри, сказавший: Мне сообщил ‘Убейдуллах ибн ‘Абдуллах ибн ‘Утба ибн Мас‘уд, о том, что ‘Абдуллах бин ‘Аббас, рассказывал ему о том, что Абу Суфйан бин Харб, сообщил ему о том, что Ираклий послал за ним, когда он сопровождал караван курайшитов. Они занимались торговыми делами в Шаме, и это было в то время, когда Посланник Аллаха ﷺ заключил перемирие с Абу Суфйаном и (другими) неверными курайшитами. (Абу Суфйан вместе со своими товарищами) прибыл к императору в Илийу, где Ираклий, находившийся в окружении знатных людей Рума, призвал их ко двору. Подозвав к себе их и своего толмача, он спросил: «Кто из вас приходится самым близким родственником человеку, утверждающему, что он — пророк?»\nАбу Cуфйан сказал:\n— Я ответил: «Самым близким из них к нему являюсь я». Тогда он сказал: «Подведите его поближе ко мне, а его товарищей поставьте у него за спиной», и велел своему толмачу: «Скажи им, что я буду спрашивать его о том человеке, и, если он солжёт мне, пусть они уличат его во лжи». И, клянусь Аллахом, если бы я не стыдился того, что потом они станут рассказывать о моей лжи, то обязательно сказал бы о нём неправду! Затем (Ираклий) задал мне о нём первый вопрос: «Каково его происхождение (и место) среди вас?» Я ответил: «Он благородного происхождения». Он спросил: «Заявлял ли кто-нибудь из вас нечто подобное раньше?» Я ответил: «Нет». Он спросил: «Был ли кто-нибудь из его предков правителем?» Я ответил: «Нет». Он спросил: «А кто следует за ним, знатные люди или простые?» Я ответил: «Скорее простые». Он спросил: «Число их увеличивается или уменьшается?» Я ответил: «Увеличивается». Он спросил: «А отступает ли кто-нибудь из принявших его религию из-за недовольства ею?» Я ответил: «Нет». Он спросил: «Приходилось ли вам обвинять его во лжи до того, как он заявил об этом?» Я ответил: «Нет». Он спросил: «Не свойственно ли ему вероломство?» Я ответил: «Нет, но у нас с ним сейчас перемирие, и мы не знаем, что он будет делать», и больше ничего не смог добавить к сказанному. Он спросил: «Приходилось ли вам сражаться с ним?» Я ответил: «Да». Он спросил: «И чем же заканчивались ваши сражения?» Я ответил: «Война между нами шла с переменным успехом: он побеждал нас и мы побеждали его». Он спросил: «Что он велит вам делать?» Я ответил: «Он говорит: “Поклоняйтесь одному лишь Аллаху, не поклоняйтесь больше никому наряду с Ним и отрекитесь от того, что говорили ваши предки”, и ещё он велит нам молиться, говорить правду, быть добродетельными и поддерживать связи с родственниками». Тогда он велел толмачу сказать мне: «Я спросил тебя о его происхождении, и ты ответил, что он принадлежит к знатному роду, но и все (прежние) посланники принадлежали к знатным родам своих народов. И я спросил тебя, не говорил ли кто-нибудь из вас подобного до него, ты же ответил, что нет, и я подумал, что если бы кто-нибудь уже заявлял об этом до него, то я решил бы, что этот человек просто повторяет сказанное до него кем-то. Ещё я спросил тебя, был ли кто-нибудь из его предков правителем. Ты ответил, что нет, и я подумал, что если бы он являлся потомком владык, то я решил бы, что этот человек стремится вернуть себе свои родовые владения. Ещё я спросил тебя, не приходилось ли вам обвинять его во лжи, прежде чем он стал говорить то, что говорит, а ты ответил, что нет, и мне стало ясно, что если он не клеветал на людей, то не станет возводить ложь и на Аллаха. Ещё я спросил тебя, знатные люди последовали за ним или простые, и ты сказал, что простые, но именно они и становятся последователями посланников. Ещё я спросил тебя, увеличивается их число или уменьшается, и ты сказал, что увеличивается, но именно таким и должно быть положение веры, пока оно не достигнет совершенства. Ещё я спросил тебя, отступается ли от его религии кто-нибудь из принявших её из-за недовольства ею, и ты ответил, что нет, но (так и бывает), когда (истинная) вера проникает в сердца. Ещё я спросил тебя, не свойственно ли ему вероломство, и ты ответил, что нет, но и посланники никогда не поступают вероломно. Ещё я спросил тебя о том, что он велит вам делать, и ты ответил, что он велит вам поклоняться Аллаху и не поклоняться никому больше наряду с Ним, и запрещает вам поклоняться идолам, и велит вам молиться, говорить правду и быть добродетельными, и если ты говоришь правду, это значит, что он обязательно овладеет тем, что ныне принадлежит мне. Я знал, что он должен появиться, но не предполагал, что он окажется одним из вас. Если бы я был уверен, что сумею добраться до него, то обязательно постарался бы встретиться с ним, а если бы встретился, то непременно омыл бы ему ноги!»\nА потом он потребовал подать себе послание Посланника Аллаха ﷺ с которым Дихйа был направлен к наместнику Бусры, и тот подал его Ираклию, который прочитал там следующее:\n— C именем Аллаха Милостивого, Милосердного.\nОт Мухаммада, раба Аллаха и Его посланника, Ираклию, владыке Рума.\nМир тому, кто следует правильным путём.\nА затем, поистине, я призываю тебя к Исламу! Прими Ислам, и ты спасёшься, а Аллах удвоит твою награду; если же ты откажешься, тогда на тебя будет возложено бремя греха (твоих) крестьян! И (я скажу тебе то, что сказал Аллах): «Скажи: “О обладатели Писания! Давайте признаем слово, одинаковое для нас и для вас, что не должны мы поклоняться никому, кроме Аллаха, и что ничего не должны мы придавать Ему в сотоварищи, и что никто из нас не будет считать другого Господом наряду с Аллахом”. А если они откажутся, то скажите: “Засвидетельствуйте, что мы — предавшиеся”».\nАбу Суфйан сказал: «Когда (Ираклий) закончил читать это послание, сказав то, что сказал, в его собрании стало шумно и поднялся крик, а нас вывели (оттуда), после чего я сказал своим товарищам: “Ибн Абу Кабша стал столь важным человеком, что его боится даже владыка бану-ль-асфар!” С тех пор я был уверен, что он одержит верх, а в конечном итоге Аллах привёл меня к Исламу».\n(Передатчик этого хадиса сказал):\n«Ибн ан-Натур был наместником Илийи, а Ираклий являлся епископом христиан Шама. (Ибн ан-Натур) сообщает, что однажды, прибыв в Илийу, Ираклий проснулся утром в столь дурном расположении духа, что некоторые из его патрикиев даже сказали ему: “Нам не нравится твой вид!”»\nИбн ан-Натур сказал:\n«Ираклий же был прорицателем и астрологом и сказал им в ответ на их вопросы (о причине его дурного настроения): «Наблюдая за звёздами этой ночью, я увидел, что владыка (совершающих) обрезание одержал победу, (и я хочу знать.) кто из людей делает обрезание?» Ему ответили: «Никто, кроме иудеев, но они не должны беспокоить тебя. Направь послания в разные города твоего царства, чтобы там перебили всех иудеев!» Между тем к Ираклию привели человека, которого послал к нему правитель из числа гассанидов, чтобы передать с ним известия о посланнике Аллаха ﷺ. Расспросив гонца, Ираклий велел (своим слугам): «Пойдите и проверьте, обрезан он или нет». Они осмотрели (гонца) и доложили Ираклию, что тот обрезан, и тогда Ираклий стал расспрашивать его об арабах. (Гонец) сказал: «Они (тоже) делают обрезание». (Выслушав его,) Ираклий сказал: «(Теперь) выяснилось, что владычество будет принадлежать им!» А затем Ираклий написал письмо в Румийу своему другу, который обладал такими же познаниями, как и он сам, после чего отправился в Химс и не покидал этого города до тех пор, пока не получил от своего друга ответное послание, в котором тот писал, что разделяет мнение Ираклия о появлении Пророка ﷺ и о том, что (он действительно является) пророком. После этого Ираклий призвал знатных людей Рума явиться в его дворец в Химсе, когда же они собрались, велел запереть ворота. Затем он вышел (к ним) и сказал: «О византийцы! Если вы хотите преуспеть и встать на путь истинный и желаете, чтобы ваше царство устояло, присягните этому пророку!» (Услышав эти слова,) они, подобно диким ослам, бросились к воротам, но обнаружили, что ворота заперты. Поняв, что им ненавистны (его слова) и потеряв надежду на то, что они уверуют, (Ираклий) велел: «Приведите их ко мне!» — (а когда те вернулись), он сказал: «Поистине, я говорил это только для того, чтобы проверить силу вашей приверженности к вашей религии, а теперь я убедился в (этом)!» И тогда они склонились перед (Ираклием) до земли, ибо остались довольны им, и это было последним, что связывало Ираклия (с Исламской религией)»
book||Belief
chapter||The statement of the Prophet (ﷺ) "Islam is based on five principles
chapter_intro||وَهُوَ قَوْلٌ وَفِعْلٌ، وَيَزِيدُ وَيَنْقُصُ. قَالَ اللَّهُ تَعَالَى: {لِيَزْدَادُوا إِيمَانًا مَعَ إِيمَانِهِمْ}، {وَزِدْنَاهُمْ هُدًى}، {وَيَزِيدُ اللَّهُ الَّذِينَ اهْتَدَوْا هُدًى}، {وَالَّذِينَ اهْتَدَوْا زَادَهُمْ هُدًى وَآتَاهُمْ تَقْوَاهُمْ}، {وَيَزْدَادَ الَّذِينَ آمَنُوا إِيمَانًا}، وَقَوْلُهُ: {أَيُّكُمْ زَادَتْهُ هَذِهِ إِيمَانًا فَأَمَّا الَّذِينَ آمَنُوا فَزَادَتْهُمْ إِيمَانًا}. وَقَوْلُهُ جَلَّ ذِكْرُهُ: {فَاخْشَوْهُمْ فَزَادَهُمْ إِيمَانًا}. وَقَوْلُهُ تَعَالَى: {وَمَا زَادَهُمْ إِلاَّ إِيمَانًا وَتَسْلِيمًا}. وَالْحُبُّ فِي اللَّهِ وَالْبُغْضُ فِي اللَّهِ مِنَ الإِيمَانِ. وَكَتَبَ عُمَرُ بْنُ عَبْدِ الْعَزِيزِ إِلَى عَدِيِّ بْنِ عَدِيٍّ إِنَّ لِلإِيمَانِ فَرَائِضَ وَشَرَائِعَ وَحُدُودًا وَسُنَنًا، فَمَنِ اسْتَكْمَلَهَا اسْتَكْمَلَ الإِيمَانَ، وَمَنْ لَمْ يَسْتَكْمِلْهَا لَمْ يَسْتَكْمِلِ الإِيمَانَ، فَإِنْ أَعِشْ فَسَأُبَيِّنُهَا لَكُمْ حَتَّى تَعْمَلُوا بِهَا، وَإِنْ أَمُتْ فَمَا أَنَا عَلَى صُحْبَتِكُمْ بِحَرِيصٍ. وَقَالَ إِبْرَاهِيمُ: {وَلَكِنْ لِيَطْمَئِنَّ قَلْبِي}. وَقَالَ مُعَاذٌ: اجْلِسْ بِنَا نُؤْمِنْ سَاعَةً. وَقَالَ ابْنُ مَسْعُودٍ: الْيَقِينُ الإِيمَانُ كُلُّهُ. وَقَالَ ابْنُ عُمَرَ: لاَ يَبْلُغُ الْعَبْدُ حَقِيقَةَ التَّقْوَى حَتَّى يَدَعَ مَا حَاكَ فِي الصَّدْرِ. وَقَالَ مُجَاهِدٌ: {شَرَعَ لَكُمْ} أَوْصَيْنَاكَ يَا مُحَمَّدُ وَإِيَّاهُ دِينًا وَاحِدًا. وَقَالَ ابْنُ عَبَّاسٍ: {شِرْعَةً وَمِنْهَاجًا} سَبِيلاً وَسُنَّةً.
chapter||Your invocation means your faith
hadith|8|Нам рассказал ‘Убейдулла ибн Муса, сказавший: Нам сообщил Ханзала ибн Абу Суфйан, от ‘Икримы ибн Халида от Ибн ‘Умара, да будет доволен Аллах ими обоими, сказавшего: сказал: «Посланник Аллаха ﷺ сказал: “Ислам основывается на пяти (столпах): свидетельстве о том, что нет божества, достойного поклонения, кроме Аллаха, и что Мухаммад — Посланник Аллаха, совершении молитвы, выплате закята, совершении хаджа и соблюдении поста в рамадане”»
chapter||(What is said) regarding the deeds of faith
chapter_intro||وَقَوْلِ اللَّهِ تَعَالَى: {لَيْسَ الْبِرَّ أَنْ تُوَلُّوا وُجُوهَكُمْ قِبَلَ الْمَشْرِقِ وَالْمَغْرِبِ وَلَكِنَّ الْبِرَّ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الآخِرِ وَالْمَلاَئِكَةِ وَالْكِتَابِ وَالنَّبِيِّينَ وَآتَى الْمَالَ عَلَى حُبِّهِ ذَوِي الْقُرْبَى وَالْيَتَامَى وَالْمَسَاكِينَ وَابْنَ السَّبِيلِ وَالسَّائِلِينَ وَفِي الرِّقَابِ وَأَقَامَ الصَّلاَةَ وَآتَى الزَّكَاةَ وَالْمُوفُونَ بِعَهْدِهِمْ إِذَا عَاهَدُوا وَالصَّابِرِينَ فِي الْبَأْسَاءِ وَالضَّرَّاءِ وَحِينَ الْبَأْسِ أُولَئِكَ الَّذِينَ صَدَقُوا وَأُولَئِكَ هُمُ الْمُتَّقُونَ}. وَقَوْلِهِ: {قَدْ أَفْلَحَ الْمُؤْمِنُونَ} الآيَةَ.
hadith|9|Нам рассказал ‘Абдулла ибн Мухаммад аль-Джу‘фий, сказавший: Нам рассказал Абу ‘Аамир аль-‘Акадий, сказавший: Нам рассказал Сулейман ибн Биляль от ‘Абдуллаха ибн Динара, от Абу Салиха, от Абу Хурайры, да будет доволен им Аллах, о том, что Пророк ﷺ сказал:\n«Вера (включает в себя) более шестидесяти ответвлений, а стыдливость — (одно из) ответвлений веры»
chapter||A Muslim is the one who avoids harming Muslims with his tongue and hands
hadith|10|Нам рассказал Адам ибн Абу Ияас, сказавший: Нам рассказал Шу‘ба, от ‘Абдуллаха ибн Абу ас-Сафара и Исма‘иля ибн Абу Халида от Аш-Ша‘би, от ‘Абдуллаха ибн ‘Амра, да будет доволен Аллах ими обоими, что Пророк ﷺ сказал: «Мусульманин — это тот, кто не причиняет (другим) мусульманам вреда своим языком и своими руками, мухаджиром же является тот, кто прекратил (совершать) запрещённое Аллахом»
chapter||Whose Islam is the best (Who is the best Muslim)?
hadith|11|Нам рассказал Са‘ид ибн Яхья ибн Са‘ид аль-Кураший, сказавший: Нам рассказал мой отец, сказавший: Нам рассказал Абу Бурда ибн ‘Абдулла ибн Абу Бурда от Абу Бурды, от Абу Мусы, да будет доволен им Аллах, что он сказал: «(Однажды люди) спросили: “О Посланник Аллаха, чей Ислам является наилучшим?” Он ответил: “(Ислам) того, кто не причиняет (другим) мусульманам вреда своим языком и своими руками”»
chapter||To feed (others) is a part of Islam
hadith|12|Нам рассказал ‘Амр ибн Халид, сказавший: Нам рассказал Аль-Лейс, от Язида, от Абу аль-Хайра от ‘Абдуллаха ибн ‘Амра, да будет доволен Аллах ими обоими, о том что: «Один человек спросил Пророка ﷺ: “Какое проявление Ислама является наилучшим?” Он ответил: “(Лучшее состоит в том, чтобы) ты кормил (людей) и приветствовал тех, кого знаешь и кого не знаешь”»
chapter||To like for one's (Muslim's) brother what one likes for himself is a part of faith
hadith|13|Нам рассказал Мусаддад, сказавший: Нам рассказал Яхья, от Шу‘бы, от Катады, от Анаса, да будет доволен им Аллах, от Пророка ﷺ о том что он сказал: «Не уверует никто из вас до тех пор, пока не станет желать своему брату (в Исламе) того же, чего желает самому себе»
chapter||To love the Messenger (Muhammad ﷺ) is a part of faith
hadith|14|Передают со слов Абу Хурайры, да будет доволен им Аллах, что Посланник Аллаха ﷺ сказал: «Клянусь Тем, в Чьей длани душа моя, не уверует никто из вас, пока не станет любить меня больше, чем любит своего отца и своих детей»
hadith|15|Сообщается, что Анас, да будет доволен им Аллах, сказал: «Пророк ﷺ сказал: “Не уверует никто из вас, пока не станет любить меня больше, чем любит своего отца, и своих детей, и всех людей вообще”»
chapter||Sweetness (delight) of faith
hadith|16|Передают со слов Анаса, да будет доволен им Аллах, что Пророк ﷺ сказал: «Сладость веры ощутит тот, кто отличается тремя (качествами): любит Аллаха и посланника Его больше, чем всё остальное, любит (того или иного) человека только ради Аллаха и не желает возвращаться к неверию так же, как не желает быть ввергнутым в огонь»
chapter||To love the Ansar is a sign of faith
hadith|17|Передают со слов Анаса, да будет доволен им Аллах, что Пророк ﷺ сказал: «Признаком веры является любовь к ансарам, а признаком лицемерия — ненависть (по отношению к ним)»
chapter||باب
hadith|18|Сообщается, что аз-Зухри сказал:\n— Мне сообщил Абу Идрис ‘АизуЛлах ибн ‘Абдуллах о том, что ‘Убада ибн ас-Самит, да будет доволен им Аллах, который участвовал в битве при Бадре и являвшегося одним из старшин в ночь ‘Акъабы, сказал:\n«Однажды, когда вокруг Посланника Аллаха ﷺ собралась группа его сподвижников, он сказал им: “Поклянитесь мне в том, что не станете поклоняться наряду с Аллахом ничему, не станете воровать, прелюбодействовать, убивать своих детей, распространять ложь, измышленную вашими сердцами, и отказываться от повиновения(, когда вам будут приказывать совершать) одобряемое (шариатом). Аллах наградит тех из вас, кто будет верен этой клятве, а для того, кто совершит какой-либо из этих (грехов) и будет наказан в мире этом, наказание послужит искуплением. Если же кто-то совершит какой-либо из этих (грехов), а Аллах покроет его (грех), то Аллах и будет решать, и если пожелает, то простит его, а если пожелает, накажет его”».(‘Убада сказал): «И мы поклялись ему в этом»
chapter||To flee (run away) from Al-Fitn (afflictions and trials), is a part of religion
hadith|19|Сообщается, что Абу Са‘ид аль-Худри, да будет доволен им Аллах, сказал:\n«Посланник Аллаха ﷺ сказал: “Скоро наступит время, когда лучшим имуществом мусульманина окажутся овцы, с которыми он будет скитаться по горным вершинам и тем местам, где выпадают дожди, убегая от искушений со своей религией”»
chapter||The statement of the Prophet (ﷺ): "I know Allah Ta'ala better, than all of you do."
chapter_intro||وَأَنَّ الْمَعْرِفَةَ فِعْلُ الْقَلْبِ لِقَوْلِ اللَّهِ تَعَالَى: {وَلَكِنْ يُؤَاخِذُكُمْ بِمَا كَسَبَتْ قُلُوبُكُمْ}
hadith|20|Сообщается, что ‘Аиша, да будет доволен ею Аллах, сказала: «Повелевая им что-либо, Посланник Аллаха ﷺ всегда приказывал делать лишь то, что было (людям) по силам. (Однажды) они сказали: “О Посланник Аллаха, поистине, мы не такие, как ты, ведь Аллах уже простил тебе и прошлые и будущие грехи!” (Услышав это,) он разгневался так, что это стало заметно по его лицу, и воскликнул: “Поистине, я (просто) больше любого из вас боюсь Аллаха и больше любого из вас знаю о Нём!”»
chapter||Whoever hates to revert to Kufr
hadith|21|Передают со слов Анаса, да будет доволен им Аллах, что Пророк ﷺ сказал: «Сладость веры ощутит тот, кто отличается тремя (качествами): кто любит Аллаха и посланника Его больше, чем всё остальное; кто любит раба (Аллаха) только ради Аллаха; и тот, кто не желает возвращаться к неверию после того, как Аллах спас его, как не желает быть ввергнутым в огонь»
chapter||The grades in superiority of the believers will be according to their good deeds
hadith|22|Передают со слов Абу Са‘ида аль-Худри, да будет доволен им Аллах, что Пророк ﷺ сказал: «(После того как) обитатели Рая войдут в Рай, а обитатели Огня отправятся в Огонь, Аллах Всевышний скажет: “Выведите тех, у кого в сердце было веры хоть на вес горчичного зерна”, и их выведут оттуда почерневшими, а потом бросят в реку(, которая образуется из-за) дождя (или: в реку жизни; это место внушало сомнения Малику), и они станут расти подобно тому, как прорастает семя, оказавшееся близ берега потока. Разве не видел ты, как появляются (из-под земли) жёлтые и искривленные (ростки)?»
hadith|23|Передают со слов Абу Умамы ибн Сахля о том, что он слышал, как Абу Са‘ид аль-Худри, да будет доволен им Аллах, говорил: «(Однажды) Посланник Аллаха ﷺ сказал: “Мне были показаны во сне люди, одетые в рубахи. Некоторые из них доходили (только) до сосков, а иные были ещё короче. И был мне показан ‘Умар ибн аль-Хаттаб, на котором рубаха была (такой) длинной, что волочилась за ним (по земле)”. Люди спросили: “И как же ты истолковал это, о Посланник Аллаха?” Он ответил: “(Это − ) религия”»
chapter||Al-Haya (self-respect, modesty bashfulness, honour etc.) is a part of faith
hadith|24|Передают со слов Салима ибн ‘Абдуллаха, передавшего со слов своего отца (Ибн ‘Умара, да будет доволен Аллах ими обоими.) о том, что (как-то раз), проходя мимо одного из ансаров, который давал своему брату наставления относительно стыдливости, Посланник Аллаха ﷺ сказал ему: «Оставь его, ибо, поистине, стыдливость — от веры!»
chapter||(The Statement of Allah Jalla Jalalahu) "But if they repent [by rejecting Shirk (polytheism) and accept Islamic Monotheism] and perform As-Salat (Iqamat-as-Salat) and give Zakat then leave their way free."
hadith|25|Передают со слов Ибн ‘Умара, да будет доволен Аллах ими обоими, что Посланник Аллаха ﷺ сказал: «Мне было велено сражаться с (этими) людьми до тех пор, пока они не засвидетельствуют, что нет бога достойного поклонения, кроме Аллаха, и что Мухаммад — Посланник Аллаха, и не станут совершать молитвы и выплачивать закят, а если они будут делать всё это, то защитят от меня свою кровь и своё имущество (, которых впредь их могут лишить не иначе как) по праву Ислама, и (тогда) отчёта с них (вправе будет требовать только) Аллах»
