collection||Sahih al Bukhari
chapter||باب
hadith|5|Telah menceritakan kepada kami [Musa bin Isma'il] dia berkata, Telah menceritakan kepada kami [Abu 'Awanah] berkata, bahwa Telah menceritakan kepada kami [Musa bin Abu Aisyah] berkata, Telah menceritakan kepada kami [Sa'id bin Jubair] dari [Ibnu 'Abbas] tentang firman Allah Ta'ala: (Janganlah kamu gerakkan lidahmu untuk (membaca) Al Quran karena hendak cepat-cepat ingin (menguasainya)." Berkata Ibnu 'Abbas: "Rasulullah shallallahu 'alaihi wasallam sangat kuat keinginannya untuk menghafalkan apa yang diturunkan (Al Qur'an) dan menggerak-gerakkan kedua bibir Beliau." Berkata Ibnu 'Abbas: "aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana Rasulullah shallallahu 'alaihi wasallam melakukannya kepadaku". Berkata Sa'id: "Dan aku akan menggerakkan kedua bibirku (untuk membacakannya) kepada kalian sebagaimana aku melihat Ibnu 'Abbas melakukannya. Maka Nabi shallallahu 'alaihi wasallam menggerakkan kedua bibirnya, Kemudian turunlah firman Allah Ta'ala: Janganlah kamu gerakkan lidahmu untuk (membaca) Al Quran karena hendak cepat-cepat (menguasai) nya. Sesungguhnya atas tanggungan Kamilah mengumpulkannya (di dadamu) dan (membuatmu pandai) membacanya". Maksudnya Allah mengumpulkannya di dalam dadamu (untuk dihafalkan) dan kemudian kamu membacanya: "Apabila Kami telah selesai membacakannya, maka ikutilah bacaannya itu". Maksudnya: "Dengarkanlah dan diamlah". Kemudian Allah Ta'ala berfirman: "Kemudian, sesungguhnya atas tanggungan Kamilah penjelasannya. Maksudnya: "Dan Kewajiban Kamilah untuk membacakannya" Dan Rasulullah shallallahu 'alaihi wasallam sejak saat itu bila Jibril 'Alaihis Salam datang kepadanya, Beliau mendengarkannya. Dan bila Jibril 'Alaihis Salam sudah pergi, maka Nabi shallallahu 'alaihi wasallam membacakannya (kepada para sahabat) sebagaimana Jibril 'Alaihis Salam membacakannya kepada Beliau shallallahu 'alaihi wasallam
chapter||باب
hadith|6|Telah menceritakan kepada kami [Abdan] dia berkata, telah mengabarkan kepada kami [Abdullah] telah mengabarkan kepada kami [Yunus] dari [Az Zuhri] dan dengan riwayat yang sama, telah menceritakan pula kepada kami [Bisyir bin Muhammad] berkata, telah mengabarkan kepada kami [Abdullah] berkata, telah mengabarkan kepada kami [Yunus] dan [Ma'mar] dari [Az Zuhri] seperti lainnya berkata, telah mengabarkan kepada kami [Ubaidullah bin Abdullah] dari [Ibnu 'Abbas] berkata, bahwa Rasulullah shallallahu 'alaihi wasallam adalah manusia yang paling lembut terutama pada bulan Ramadlan ketika malaikat Jibril 'Alaihis Salam menemuinya, dan adalah Jibril 'Alaihis Salam mendatanginya setiap malam di bulan Ramadlan, dimana Jibril 'Alaihis Salam mengajarkan Al Qur'an. Sungguh Rasulullah shallallahu 'alaihi wasallam jauh lebih lembut daripada angin yang berhembus
chapter||باب
hadith|7|Telah menceritakan kepada kami [Abu Al Yaman Al Hakam bin Nafi'] dia berkata, telah mengabarkan kepada kami [Syu'aib] dari [Az Zuhri] telah mengabarkan kepadaku [Ubaidullah bin Abdullah bin 'Utbah bin Mas'ud] bahwa [Abdullah bin 'Abbas] telah mengabarkan kepadanya bahwa [Abu Sufyan bin Harb] telah mengabarkan kepadanya; bahwa Heraclius menerima rombongan dagang Quraisy, yang sedang mengadakan ekspedisi dagang ke Negeri Syam pada saat berlakunya perjanjian antara Nabi shallallahu 'alaihi wasallam dengan Abu Sufyan dan orang-orang kafir Quraisy. Saat singgah di Iliya' mereka menemui Heraclius atas undangan Heraclius untuk di diajak dialog di majelisnya, yang saat itu Heraclius bersama dengan para pembesar-pembesar Negeri Romawi. Heraclius berbicara dengan mereka melalui penerjemah. Heraclius berkata; "Siapa diantara kalian yang paling dekat hubungan keluarganya dengan orang yang mengaku sebagai Nabi itu?." Abu Sufyan berkata; maka aku menjawab; "Akulah yang paling dekat hubungan kekeluargaannya dengan dia". Heraclius berkata; "Dekatkanlah dia denganku dan juga sahabat-sahabatnya." Maka mereka meletakkan orang-orang Quraisy berada di belakang Abu Sufyan. Lalu Heraclius berkata melalui penerjemahnya: "Katakan kepadanya, bahwa aku bertanya kepadanya tentang lelaki yang mengaku sebagai Nabi. Jika ia berdusta kepadaku maka kalian harus mendustakannya."Demi Allah, kalau bukan rasa malu akibat tudingan pendusta yang akan mereka lontarkan kepadaku niscaya aku berdusta kepadanya." Abu Sufyan berkata; Maka yang pertama ditanyakannya kepadaku tentangnya (Nabi shallallahu 'alaihi wasallam) adalah: "bagaimana kedudukan nasabnya ditengah-tengah kalian?" Aku jawab: "Dia adalah dari keturunan baik-baik (bangsawan) ". Tanyanya lagi: "Apakah ada orang lain yang pernah mengatakannya sebelum dia?" Aku jawab: "Tidak ada". Tanyanya lagi: "Apakah bapaknya seorang raja?" Jawabku: "Bukan". Apakah yang mengikuti dia orang-orang yang terpandang atau orang-orang yang rendah?" Jawabku: "Bahkan yang mengikutinya adalah orang-orang yang rendah". Dia bertanya lagi: "Apakah bertambah pengikutnya atau berkurang?" Aku jawab: "Bertambah". Dia bertanya lagi: "Apakah ada yang murtad disebabkan dongkol terhadap agamanya?" Aku jawab: "Tidak ada". Dia bertanya lagi: "Apakah kalian pernah mendapatkannya dia berdusta sebelum dia menyampaikan apa yang dikatakannya itu?" Aku jawab: "Tidak pernah". Dia bertanya lagi: "Apakah dia pernah berlaku curang?" Aku jawab: "Tidak pernah. Ketika kami bergaul dengannya, dia tidak pernah melakukan itu". Berkata Abu Sufyan: "Aku tidak mungkin menyampaikan selain ucapan seperti ini". Dia bertanya lagi: "Apakah kalian memeranginya?" Aku jawab: "Iya". Dia bertanya lagi: "Bagaimana kesudahan perang tersebut?" Aku jawab: "Perang antara kami dan dia sangat banyak. Terkadang dia mengalahkan kami terkadang kami yang mengalahkan dia". Dia bertanya lagi: "Apa yang diperintahkannya kepada kalian?" Aku jawab: "Dia menyuruh kami; 'Sembahlah Allah dengan tidak menyekutukannya dengan sesuatu apapun, dan tinggalkan apa yang dikatakan oleh nenek moyang kalian. ' Dia juga memerintahkan kami untuk menegakkan shalat, menunaikan zakat, berkata jujur, saling memaafkan dan menyambung silaturrahim". Maka Heraclius berkata kepada penerjemahnya: "Katakan kepadanya, bahwa aku telah bertanya kepadamu tentang keturunan orang itu, kamu ceritakan bahwa orang itu dari keturunan bangsawan. Begitu juga laki-laki itu dibangkitkan di tengah keturunan kaumnya. Dan aku tanya kepadamu apakah pernah ada orang sebelumnya yang mengatakan seperti yang dikatakannya, kamu jawab tidak. Seandainya dikatakan ada orang sebelumnya yang mengatakannya tentu kuanggap orang ini meniru orang sebelumnya yang pernah mengatakan hal serupa. Aku tanyakan juga kepadamu apakah bapaknya ada yang dari keturunan raja, maka kamu jawab tidak. Aku katakan seandainya bapaknya dari keturunan raja, tentu orang ini sedang menuntut kerajaan bapaknya. Dan aku tanyakan juga kepadamu apakah kalian pernah mendapatkan dia berdusta sebelum dia menyampaikan apa yang dikatakannya, kamu menjawabnya tidak. Sungguh aku memahami, kalau kepada manusia saja dia tidak berani berdusta apalagi berdusta kepada Allah. Dan aku juga telah bertanya kepadamu, apakah yang mengikuti dia orang-orang yang terpandang atau orang-orang yang rendah?" Kamu menjawab orang-orang yang rendah yang mengikutinya. Memang mereka itulah yang menjadi para pengikut Rasul. Aku juga sudah bertanya kepadamu apakah bertambah pengikutnya atau berkurang, kamu menjawabnya bertambah. Dan memang begitulah perkara iman hingga menjadi sempurna. Aku juga sudah bertanya kepadamu apakah ada yang murtad disebabkan marah terhadap agamanya. Kamu menjawab tidak ada. Dan memang begitulah iman bila telah masuk tumbuh bersemi di dalam hati. Aku juga sudah bertanya kepadamu apakah dia pernah berlaku curang, kamu jawab tidak pernah. Dan memang begitulah para Rasul tidak mungkin curang. Dan aku juga sudah bertanya kepadamu apa yang diperintahkannya kepada kalian, kamu jawab dia memerintahkan kalian untuk menyembah Allah dengan tidak menyekutukannya dengan sesuatu apapun, dan melarang kalian menyembah berhala, dia juga memerintahkan kalian untuk menegakkan shalat, menunaikan zakat, berkata jujur, saling memaafkan dan menyambung silaturrahim. Seandainya semua apa yang kamu katakan ini benar, pasti dia akan menguasai kerajaan yang ada di bawah kakiku ini. Sungguh aku telah menduga bahwa dia tidak ada diantara kalian sekarang ini, seandainya aku tahu jalan untuk bisa menemuinya, tentu aku akan berusaha keras menemuinya hingga bila aku sudah berada di sisinya pasti aku akan basuh kedua kakinya. Kemudian Heraclius meminta surat Rasulullah shallallahu 'alaihi wasallam yang dibawa oleh Dihyah untuk para Penguasa Negeri Bashrah, Maka diberikannya surat itu kepada Heraclius, maka dibacanya dan isinya berbunyi: "Bismillahir rahmanir rahim. Dari Muhammad, hamba Allah dan Rasul-Nya untuk Heraclius. Penguasa Romawi, Keselamatan bagi siapa yang mengikuti petunjuk. Kemudian daripada itu, aku mengajakmu dengan seruan Islam; masuk Islamlah kamu, maka kamu akan selamat, Allah akan memberi pahala kepadamu dua kali. Namun jika kamu berpaling, maka kamu menanggung dosa rakyat kamu, dan: Hai ahli kitab, marilah (berpegang) kepada suatu kalimat (ketetapan) yang tidak ada perselisihan antara kami dan kamu, bahwa tidak kita sembah kecuali Allah dan tidak kita persekutukan dia dengan sesuatupun dan tidak (pula) sebagian kita menjadikan sebagian yang lain sebagai Rabb selain Allah". Jika mereka berpaling, maka katakanlah kepada mereka: "Saksikanlah, bahwa kami adalah orang-orang yang berserah diri (kepada Allah)." Abu Sufyan menuturkan: "Setelah Heraclius menyampaikan apa yang dikatakannya dan selesai membaca surat tersebut, terjadilah hiruk pikuk dan suara-suara ribut, sehingga mengusir kami. Aku berkata kepada teman-temanku setelah kami diusir keluar; "sungguh dia telah diajak kepada urusan Anak Abu Kabsyah. Heraclius mengkhawatirkan kerajaan Romawi."Pada masa itupun aku juga khawatir bahwa Muhammad akan berjaya, sampai akhirnya (perasaan itu hilang setelah) Allah memasukkan aku ke dalam Islam. Dan adalah Ibnu An Nazhur, seorang Pembesar Iliya' dan Heraclius adalah seorang uskup agama Nashrani, dia menceritakan bahwa pada suatu hari ketika Heraclius mengunjungi Iliya' dia sangat gelisah, berkata sebagian komandan perangnya: "Sungguh kami mengingkari keadaanmu. Selanjutnya kata Ibnu Nazhhur, "Heraclius adalah seorang ahli nujum yang selalu memperhatikan perjalanan bintang-bintang. Dia pernah menjawab pertanyaan para pendeta yang bertanya kepadanya; "Pada suatu malam ketika saya mengamati perjalanan bintang-bintang, saya melihat raja Khitan telah lahir, siapakah di antara ummat ini yang di khitan?" Jawab para pendeta; "Yang berkhitan hanyalah orang-orang Yahudi, janganlah anda risau karena orang-orang Yahudi itu. Perintahkan saja keseluruh negeri dalam kerajaan anda, supaya orang-orang Yahudi di negeri tersebut di bunuh." Ketika itu di hadapakan kepada Heraclius seorang utusan raja Bani Ghasssan untuk menceritakan perihal Rasulullah shallallahu 'alaihi wasallam, setelah orang itu selesai bercerita, lalu Heraclius memerintahkan agar dia diperiksa, apakah dia berkhitan ataukah tidak. Seusai di periksa, ternyata memang dia berkhitam. Lalu di beritahukan orang kepada Heraclius. Heraclius bertanya kepada orang tersebut tentang orang-orang Arab yang lainnya, di khitankah mereka ataukah tidak?" Dia menjawab; "Orang Arab itu di khitan semuanya." Heraclius berkata; 'inilah raja ummat, sesungguhnya dia telah terlahir." Kemudian heraclisu berkirim surat kepada seorang sahabatnya di Roma yang ilmunya setarf dengan Heraclisu (untuk menceritakan perihal kelahiran Nabi Muhammad shallallahu 'alaihi wasallam). Sementara itu, ia meneruskan perjalanannya ke negeri Himsha, tetapi sebelum tiba di Himsha, balasan surat dari sahabatnya itu telah tiba terlebih dahulu. Sahabatnya itu menyetujui pendapat Heraclius bahwa Muhammad telah lahir dan bahwa beliau memang seorang Nabi. Heraclius lalu mengundang para pembesar Roma supaya datang ke tempatnya di Himsha, setelah semuanya hadir dalam majlisnya, Heraclius memerintahkan supaya mengunci semua pintu. Kemudian dia berkata; 'Wahai bangsa rum, maukah anda semua beroleh kemenangan dan kemajuan yang gilang gemilang, sedangkan kerajaan tetap utuh di tangan kita? Kalau mau, akuilah Muhammad sebagai Nabi!." Mendengar ucapan itu, mereka lari bagaikan keledai liar, padahal semua pintu telah terkunci. Melihat keadaan yang demikian, Heraclius jadi putus harapan yang mereka akan beriman (percaya kepada kenabian Muhammad). Lalu di perintahkannya semuanya untuk kembali ke tempatnya masing-masing seraya berkata; "Sesungguhnya saya mengucapkan perkataan saya tadi hanyalah sekedar menguji keteguhan hati anda semua. Kini saya telah melihat keteguhan itu." Lalu mereka sujud di hadapan Heraclius dan mereka senang kepadanya. Demikianlah akhir kisah Heraclius. Telah di riwayatkan oleh [Shalih bin Kaisan] dan [Yunus] dan [Ma'mar] dari [Az Zuhri]
book||Belief
chapter||The statement of the Prophet (ﷺ) "Islam is based on five principles
chapter_intro||وَهُوَ قَوْلٌ وَفِعْلٌ، وَيَزِيدُ وَيَنْقُصُ. قَالَ اللَّهُ تَعَالَى: {لِيَزْدَادُوا إِيمَانًا مَعَ إِيمَانِهِمْ}، {وَزِدْنَاهُمْ هُدًى}، {وَيَزِيدُ اللَّهُ الَّذِينَ اهْتَدَوْا هُدًى}، {وَالَّذِينَ اهْتَدَوْا زَادَهُمْ هُدًى وَآتَاهُمْ تَقْوَاهُمْ}، {وَيَزْدَادَ الَّذِينَ آمَنُوا إِيمَانًا}، وَقَوْلُهُ: {أَيُّكُمْ زَادَتْهُ هَذِهِ إِيمَانًا فَأَمَّا الَّذِينَ آمَنُوا فَزَادَتْهُمْ إِيمَانًا}. وَقَوْلُهُ جَلَّ ذِكْرُهُ: {فَاخْشَوْهُمْ فَزَادَهُمْ إِيمَانًا}. وَقَوْلُهُ تَعَالَى: {وَمَا زَادَهُمْ إِلاَّ إِيمَانًا وَتَسْلِيمًا}. وَالْحُبُّ فِي اللَّهِ وَالْبُغْضُ فِي اللَّهِ مِنَ الإِيمَانِ. وَكَتَبَ عُمَرُ بْنُ عَبْدِ الْعَزِيزِ إِلَى عَدِيِّ بْنِ عَدِيٍّ إِنَّ لِلإِيمَانِ فَرَائِضَ وَشَرَائِعَ وَحُدُودًا وَسُنَنًا، فَمَنِ اسْتَكْمَلَهَا اسْتَكْمَلَ الإِيمَانَ، وَمَنْ لَمْ يَسْتَكْمِلْهَا لَمْ يَسْتَكْمِلِ الإِيمَانَ، فَإِنْ أَعِشْ فَسَأُبَيِّنُهَا لَكُمْ حَتَّى تَعْمَلُوا بِهَا، وَإِنْ أَمُتْ فَمَا أَنَا عَلَى صُحْبَتِكُمْ بِحَرِيصٍ. وَقَالَ إِبْرَاهِيمُ: {وَلَكِنْ لِيَطْمَئِنَّ قَلْبِي}. وَقَالَ مُعَاذٌ: اجْلِسْ بِنَا نُؤْمِنْ سَاعَةً. وَقَالَ ابْنُ مَسْعُودٍ: الْيَقِينُ الإِيمَانُ كُلُّهُ. وَقَالَ ابْنُ عُمَرَ: لاَ يَبْلُغُ الْعَبْدُ حَقِيقَةَ التَّقْوَى حَتَّى يَدَعَ مَا حَاكَ فِي الصَّدْرِ. وَقَالَ مُجَاهِدٌ: {شَرَعَ لَكُمْ} أَوْصَيْنَاكَ يَا مُحَمَّدُ وَإِيَّاهُ دِينًا وَاحِدًا. وَقَالَ ابْنُ عَبَّاسٍ: {شِرْعَةً وَمِنْهَاجًا} سَبِيلاً وَسُنَّةً.
chapter||Your invocation means your faith
hadith|8|Telah menceritakan kepada kami [Abdullah bin Musa] dia berkata, telah mengabarkan kepada kami [Hanzhalah bin Abu Sufyan] dari ['Ikrimah bin Khalid] dari [Ibnu Umar] berkata: Rasulullah shallallahu 'alaihi wasallam bersabda: "Islam dibangun diatas lima (landasan); persaksian tidak ada ilah selain Allah dan sesungguhnya Muhammad utusan Allah, mendirikan shalat, menunaikan zakat, haji dan puasa Ramadlan
chapter||(What is said) regarding the deeds of faith
chapter_intro||وَقَوْلِ اللَّهِ تَعَالَى: {لَيْسَ الْبِرَّ أَنْ تُوَلُّوا وُجُوهَكُمْ قِبَلَ الْمَشْرِقِ وَالْمَغْرِبِ وَلَكِنَّ الْبِرَّ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الآخِرِ وَالْمَلاَئِكَةِ وَالْكِتَابِ وَالنَّبِيِّينَ وَآتَى الْمَالَ عَلَى حُبِّهِ ذَوِي الْقُرْبَى وَالْيَتَامَى وَالْمَسَاكِينَ وَابْنَ السَّبِيلِ وَالسَّائِلِينَ وَفِي الرِّقَابِ وَأَقَامَ الصَّلاَةَ وَآتَى الزَّكَاةَ وَالْمُوفُونَ بِعَهْدِهِمْ إِذَا عَاهَدُوا وَالصَّابِرِينَ فِي الْبَأْسَاءِ وَالضَّرَّاءِ وَحِينَ الْبَأْسِ أُولَئِكَ الَّذِينَ صَدَقُوا وَأُولَئِكَ هُمُ الْمُتَّقُونَ}. وَقَوْلِهِ: {قَدْ أَفْلَحَ الْمُؤْمِنُونَ} الآيَةَ.
hadith|9|Telah menceritakan kepada kami [Abdullah bin Muhammad Al Ju'fi] dia berkata, Telah menceritakan kepada kami [Abu 'Amir Al 'Aqadi] yang berkata, bahwa Telah menceritakan kepada kami [Sulaiman bin Bilal] dari [Abdullah bin Dinar] dari [Abu Shalih] dari [Abu Hurairah] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: "Iman memiliki lebih dari enam puluh cabang, dan malu adalah bagian dari iman
chapter||A Muslim is the one who avoids harming Muslims with his tongue and hands
hadith|10|Telah menceritakan kepada kami [Adam bin Abu Iyas] berkata, Telah menceritakan kepada kami [Syu'bah] dari [Abdullah bin Abu As Safar] dan [Isma'il bin Abu Khalid] dari [Asy Sya'bi] dari [Abdullah bin 'Amru] dari Nabi shallallahu 'alaihi wasallam, bersabda: "Seorang muslim adalah orang yang Kaum Muslimin selamat dari lisan dan tangannya, dan seorang Muhajir adalah orang yang meninggalkan apa yang dilarang oleh Allah " Abu Abdullah berkata; dan [Abu Mu'awiyyah] berkata; Telah menceritakan kepada kami [Daud], dia adalah anak Ibnu Hind, dari ['Amir] berkata; aku mendengar [Abdullah], maksudnya ibnu 'Amru, dari Nabi shallallahu 'alaihi wasallam Dan berkata [Abdul A'laa] dari [Daud] dari ['Amir] dari [Abdullah] dari Nabi shallallahu 'alaihi wasallam
chapter||Whose Islam is the best (Who is the best Muslim)?
hadith|11|Telah menceritakan kepada kami [Sa'id bin Yahya bin Sa'id Al Qurasyi] dia berkata, Telah menceritakan kepada kami [bapakku] berkata, bahwa Telah menceritakan kepada kami [Abu Burdah bin Abdullah bin Abu Burdah] dari [Abu Burdah] dari [Abu Musa] berkata: 'Wahai Rasulullah, Islam manakah yang paling utama?" Rasulullah shallallahu 'alaihi wasallam menjawab: "Siapa yang Kaum Muslimin selamat dari lisan dan tangannya
chapter||To feed (others) is a part of Islam
hadith|12|Telah menceritakan kepada kami ['Amru bin Khalid] berkata, Telah menceritakan kepada kami [Al Laits] dari [Yazid] dari [Abu Al Khair] dari [Abdullah bin 'Amru]; Ada seseorang yang bertanya kepada Nabi shallallahu 'alaihi wasallam; "Islam manakah yang paling baik?" Nabi shallallahu 'alaihi wasallam menjawab: "Kamu memberi makan, mengucapkan salam kepada orang yang kamu kenal dan yang tidak kamu kenal
chapter||To like for one's (Muslim's) brother what one likes for himself is a part of faith
hadith|13|Telah menceritakan kepada kami [Musaddad] berkata, telah menceritakan kepada kami [Yahya] dari [Syu'bah] dari [Qotadah] dari [Anas] dari Nabi shallallahu 'alaihi wasallam Dan dari [Husain Al Mu'alim] berkata, telah menceritakan kepada kami [Qotadah] dari [Anas] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: "Tidaklah beriman seseorang dari kalian sehingga dia mencintai untuk saudaranya sebagaimana dia mencintai untuk dirinya sendiri
chapter||To love the Messenger (Muhammad ﷺ) is a part of faith
hadith|14|Telah menceritakan kepada kami [Abu Al Yaman] berkata, telah mengabarkan kepada kami [Syu'aib] berkata, telah menceritakan kepada kami [Abu Az Zanad] dari [Al A'raj] dari [Abu Hurairah], bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: "Maka demi Zat yang jiwaku di tangan-Nya, tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya dan anaknya
hadith|15|Telah menceritakan kepada kami [Ya'qub bin Ibrahim] berkata, telah menceritakan kepada kami [Ibnu 'Ulayyah] dari [Abdul 'Aziz bin Shuhaib] dari [Anas] dari Nabi shallallahu 'alaihi wasallam Dan telah menceritakan pula kepada kami [Adam] berkata, telah menceritakan kepada kami [Syu'bah] dari [Qotadah] dari [Anas] berkata, Nabi shallallahu 'alaihi wasallam bersabda: "Tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya, anaknya dan dari manusia seluruhnya
chapter||Sweetness (delight) of faith
hadith|16|Telah menceritakan kepada kami [Muhammad bin Al Mutsanna] berkata, telah menceritakan kepada kami [Abdul Wahhab Ats Tsaqafi] berkata, telah menceritakan kepada kami [Ayyub] dari [Abu Qilabah] dari [Anas bin Malik] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: "Tiga perkara yang apabila ada pada diri seseorang, ia akan mendapatkan manisnya iman: Dijadikannya Allah dan Rasul-Nya lebih dicintainya dari selain keduanya. Jika ia mencintai seseorang, dia tidak mencintainya kecuali karena Allah. Dan dia benci kembali kepada kekufuran seperti dia benci bila dilempar ke neraka
chapter||To love the Ansar is a sign of faith
