collection||Sahih al Bukhari
hadith|2389|ہم سے احمد بن شبیب بن سعید نے بیان کیا، کہا کہ ہم سے ہمارے والد نے بیان کیا، ان سے یونس نے کہ ابن شہاب نے بیان کیا، ان سے عبیداللہ بن عبداللہ بن عتبہ نے بیان کیا، اور ان سے ابوہریرہ رضی اللہ عنہ نے بیان کیا کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا، اگر میرے پاس احد پہاڑ کے برابر بھی سونا ہو تب بھی مجھے یہ پسند نہیں کہ تین دن گزر جائیں اور اس ( سونے ) کا کوئی حصہ میرے پاس رہ جائے۔ سوا اس کے جو میں کسی قرض کے دینے کے لیے رکھ چھوڑوں۔ اس کی روایت صالح اور عقیل نے زہری سے کی ہے۔
chapter||To buy camels on credit
hadith|2390|ہم سے ابوالولید نے بیان کیا، کہا کہ ہم سے شعبہ نے بیان کیا، انہیں سلمہ بن کہیل نے خبر دی، کہا کہ میں نے ابوسلمہ سے سنا، وہ ہمارے گھر میں ابوہریرہ رضی اللہ عنہ سے حدیث بیان کر رہے تھے کہ ایک شخص نے رسول اللہ صلی اللہ علیہ وسلم سے اپنے قرض کا تقاضا کیا اور سخت سست کہا۔ صحابہ رضی اللہ عنہم نے اس کو سزا دینی چاہی تو آپ صلی اللہ علیہ وسلم نے فرمایا کہ اسے کہنے دو۔ صاحب حق کے لیے کہنے کا حق ہوتا ہے اور اسے ایک اونٹ خرید کر دے دو۔ لوگوں نے عرض کیا کہ اس کے اونٹ سے ( جو اس نے آپ کو قرض دیا تھا ) اچھی عمر ہی کا اونٹ مل رہا ہے۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ وہی خرید کے اسے دے دو۔ کیونکہ تم میں اچھا وہی ہے جو قرض ادا کرنے میں سب سے اچھا ہو۔ ( حدیث اور باب کی مطابقت ظاہر ہے)
chapter||Demanding debts handsomely
hadith|2391|ہم سے مسلم نے بیان کیا، کہا کہ ہم سے شعبہ نے بیان کیا، ان سے عبدالملک نے، ان سے ربعی بن حراش نے اور ان سے حذیفہ رضی اللہ عنہ نے بیان کیا کہ میں نے نبی کریم صلی اللہ علیہ وسلم سے سنا، آپ صلی اللہ علیہ وسلم نے فرمایا کہ ایک شخص کا انتقال ہوا ( قبر میں ) اس سے سوال ہوا، تمہارے پاس کوئی نیکی ہے؟ اس نے کہا کہ میں لوگوں سے خرید و فروخت کرتا تھا۔ ( اور جب کسی پر میرا قرض ہوتا ) تو میں مالداروں کو مہلت دیا کرتا تھا اور تنگ دستوں کے قرض کو معاف کر دیا کرتا تھا اس پر اس کی بخشش ہو گئی۔ ابومسعود رضی اللہ عنہ نے بیان کیا کہ میں نے یہی نبی کریم صلی اللہ علیہ وسلم سے سنا ہے۔
chapter||Can one give an older (camel) than that he owes?
hadith|2392|ہم سے مسدد نے بیان کیا، ان سے یحییٰ قطان نے، ان سے سفیان ثوری نے کہ مجھ سے سلمہ بن کہیل نے بیان کیا، ان سے ابوسلمہ نے اور ان سے ابوہریرہ رضی اللہ عنہ نے کہ ایک شخص نبی کریم صلی اللہ علیہ وسلم سے اپنا قرض کا اونٹ مانگنے آیا۔ تو آپ صلی اللہ علیہ وسلم نے صحابہ سے فرمایا کہ اسے اس کا اونٹ دے دو۔ صحابہ نے عرض کیا کہ قرض خواہ کے اونٹ سے اچھی عمر کا ہی اونٹ مل رہا ہے۔ اس پر اس شخص ( قرض خواہ ) نے کہا مجھے تم نے میرا پورا حق دیا۔ تمہیں اللہ تمہارا حق پورا پورا دے! رسول اللہ صلی اللہ علیہ وسلم نے فرمایا کہ اسے وہی اونٹ دے دو کیونکہ بہترین شخص وہ ہے جو سب سے زیادہ بہتر طریقہ پر اپنا قرض ادا کرتا ہو۔
chapter||Repaying debts handsomely
hadith|2393|ہم سے ابونعیم نے بیان کیا، ان سے سفیان بن عیینہ نے بیان کیا، ان سے ابوسلمہ نے اور ان سے ابوہریرہ رضی اللہ عنہ نے بیان کیا کہ نبی کریم صلی اللہ علیہ وسلم پر ایک شخص کا ایک خاص عمر کا اونٹ قرض تھا۔ وہ شخص آپ صلی اللہ علیہ وسلم سے تقاضا کرنے آیا تو آپ صلی اللہ علیہ وسلم نے فرمایا کہ اسے اونٹ دے دو۔ صحابہ نے تلاش کیا لیکن ایسا ہی اونٹ مل سکا جو قرض خواہ کے اونٹ سے اچھی عمر کا تھا۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ وہی دے دو۔ اس پر اس شخص نے کہا کہ آپ نے مجھے میرا حق پوری طرح دیا اللہ آپ کو بھی اس کا بدلہ پورا پورا دے۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ تم میں بہتر آدمی وہ ہے جو قرض ادا کرنے میں بھی سب سے بہتر ہو۔
hadith|2394|ہم سے خلاد نے بیان کیا، ان سے مسعر نے بیان کیا، ان سے محارب بن دثار نے بیان کیا، اور ان سے جابر بن عبداللہ رضی اللہ عنہما نے بیان کیا کہ میں نبی کریم صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوا تو آپ صلی اللہ علیہ وسلم مسجد نبوی میں تشریف رکھتے تھے۔ مسعر نے بیان کیا کہ میرا خیال ہے کہ انہوں نے چاشت کے وقت کا ذکر کیا۔ ( کہ اس وقت خدمت نبوی میں حاضر ہوا ) پھر آپ صلی اللہ علیہ وسلم نے فرمایا کہ دو رکعت نماز پڑھ لو۔ میرا آپ صلی اللہ علیہ وسلم پر قرض تھا۔ آپ صلی اللہ علیہ وسلم نے اسے ادا کیا، بلکہ زیادہ بھی دے دیا۔
chapter||If somebody repays less than what he owes
hadith|2395|ہم سے عبدان نے بیان کیا، کہا کہ ہم کو عبداللہ بن مبارک نے خبر دی، انہیں یونس نے خبر دی، انہیں زہری نے بیان کیا، ان سے کعب بن مالک نے بیان کیا، اور انہیں جابر بن عبداللہ رضی اللہ عنہما نے خبر دی کہ ان کے والد ( عبداللہ رضی اللہ عنہ ) احد کے دن شہید کر دیئے گئے تھے۔ ان پر قرض چلا آ رہا تھا۔ قرض خواہوں نے اپنے حق کے مطالبے میں سختی اختیار کی تو میں نبی کریم صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوا۔ آپ صلی اللہ علیہ وسلم نے ان سے دریافت فرما لیا کہ وہ میرے باغ کی کھجور لے لیں۔ اور میرے والد کو معاف کر دیں۔ لیکن قرض خواہوں نے اس سے انکار کیا تو نبی کریم صلی اللہ علیہ وسلم نے انہیں میرے باغ کا میوہ نہیں دیا۔ اور فرمایا کہ ہم صبح کو تمہارے باغ میں آئیں گے۔ چنانچہ جب صبح ہوئی تو آپ صلی اللہ علیہ وسلم ہمارے باغ میں تشریف لائے۔ آپ صلی اللہ علیہ وسلم درختوں میں پھرتے رہے۔ اور اس کے میوے میں برکت کی دعا فرماتے رہے۔ پھر میں نے کھجور توڑی اور ان کا تمام قرض ادا کرنے کے بعد بھی کھجور باقی بچ گئی۔
chapter||To settle one's accounts by repaying
hadith|2396|ہم سے ابراہیم بن المنذر نے کہا کہ ہم سے انس نے بیان کیا، ان سے ہشام نے، ان سے وہب بن کیسان نے اور انہیں جابر بن عبداللہ رضی اللہ عنہما نے خبر دی کہ جب ان کے والد شہید ہوئے تو ایک یہودی کا تیس وسق قرض اپنے اوپر چھوڑ گئے۔ جابر رضی اللہ عنہ نے اس سے مہلت مانگی، لیکن وہ نہیں مانا۔ پھر جابر رضی اللہ عنہ آپ صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوئے تاکہ آپ صلی اللہ علیہ وسلم اس یہودی ( ابوشحم ) سے ( مہلت دینے کی ) سفارش کریں۔ رسول اللہ صلی اللہ علیہ وسلم تشریف لائے اور یہودی سے یہ فرمایا کہ جابر رضی اللہ عنہ کے باغ کے پھل ( جو بھی ہوں ) اس قرض کے بدلے میں لے لے۔ جو ان کے والد کے اوپر اس کا ہے، اس نے اس سے بھی انکار کیا۔ اب رسول اللہ صلی اللہ علیہ وسلم باغ میں داخل ہوئے اور اس میں چلتے رہے پھر جابر رضی اللہ عنہ سے آپ صلی اللہ علیہ وسلم نے فرمایا کہ باغ کا پھل توڑ کے اس کا قرض ادا کرو۔ جب رسول اللہ صلی اللہ علیہ وسلم واپس تشریف لائے تو انہوں نے باغ کی کھجوریں توڑیں اور یہودی کا تیس وسق ادا کر دیا۔ سترہ وسق اس میں سے بچ بھی رہا۔ جابر رضی اللہ عنہ آپ صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوئے تاکہ آپ کو بھی یہ اطلاع دیں۔ آپ صلی اللہ علیہ وسلم اس وقت عصر کی نماز پڑھ رہے تھے۔ جب آپ صلی اللہ علیہ وسلم فارغ ہوئے تو انہوں نے آپ صلی اللہ علیہ وسلم کو اطلاع دی۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ اس کی خبر ابن خطاب کو بھی کر دو۔ چنانچہ جابر رضی اللہ عنہ عمر رضی اللہ عنہ کے یہاں گئے۔ عمر رضی اللہ عنہ نے فرمایا، میں تو اسی وقت سمجھ گیا تھا جب رسول اللہ صلی اللہ علیہ وسلم باغ میں چل رہے تھے کہ اس میں ضرور برکت ہو گئی۔
chapter||To seek refuge with Allah from being in debt
hadith|2397|ہم سے ابوالیمان نے بیان کیا، انہوں نے کہا کہ ہمیں شعیب نے خبر دی، وہ زہری سے روایت کرتے ہیں (دوسری سند) ہم سے اسماعیل نے بیان کیا، کہا کہ مجھ سے میرے بھائی عبدالحمید نے بیان کیا، ان سے سلیمان نے، ان سے محمد بن ابی عتیق نے بیان کیا، ان سے ابن شہاب نے بیان کیا، ان سے عروہ نے بیان کیا، اور انہیں عائشہ رضی اللہ عنہا نے خبر دی کہ رسول اللہ صلی اللہ علیہ وسلم نماز میں دعا کرتے تو یہ بھی کہتے ”اے اللہ! میں گناہ اور قرض سے تیری پناہ مانگتا ہوں۔“ کسی نے عرض کیا یا رسول اللہ! آپ قرض سے اتنی پناہ مانگتے ہیں؟ آپ صلی اللہ علیہ وسلم نے جواب دیا کہ جب آدمی مقروض ہوتا ہے تو جھوٹ بولتا ہے اور وعدہ کر کے اس کی خلاف ورزی کرتا ہے۔
chapter||The funeral Salat (prayer) for a dead person in debt
hadith|2398|ہم سے ابوالولید نے بیان کیا، ان سے شعبہ نے بیان کیا، ان سے عدی بن ثابت نے، ان سے ابوحازم نے اور ان سے ابوہریرہ رضی اللہ عنہ نے کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا جو شخص ( اپنے انتقال کے وقت ) مال چھوڑے تو وہ اس کے وارثوں کا ہے اور جو قرض چھوڑے تو وہ ہمارے ذمہ ہے۔
hadith|2399|ہم سے عبداللہ بن محمد نے بیان کیا، انہوں نے کہا کہ ہم سے ابوعامر نے بیان کیا، ان سے فلیح نے بیان کیا، ان سے ہلال بن علی نے، ان سے عبدالرحمٰن بن ابی عمرہ نے اور ان سے ابوہریرہ رضی اللہ عنہ نے بیان کیا کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا، ہر مومن کا میں دنیا و آخرت میں سب سے زیادہ قریب ہوں۔ اگر تم چاہو تو یہ آیت پڑھ لو «النبي أولى بالمؤمنين من أنفسهم‏» ”نبی ( صلی اللہ علیہ وسلم ) مومنوں سے ان کی جان سے بھی زیادہ قریب ہیں۔“ اس لیے جو مومن بھی انتقال کر جائے اور مال چھوڑ جائے تو چاہئے کہ ورثاء اس کے مالک ہوں۔ وہ جو بھی ہوں اور جو شخص قرض چھوڑ جائے یا اولاد چھوڑ جائے تو وہ میرے پاس آ جائیں کہ ان کا ولی میں ہوں۔
chapter||Procrastination (delay) in repaying debts by a wealthy person is injustice
hadith|2400|ہم سے مسدد نے بیان کیا، کہا کہ ہم سے عبدالاعلیٰ نے بیان کیا، ان سے معمر نے، ان سے ہمام بن منبہ، وہب بن منبہ کے بھائی نے، انہوں نے ابوہریرہ رضی اللہ عنہ سے سنا کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا، مالدار کی طرف سے ( قرض کی ادائیگی میں ) ٹال مٹول کرنا ظلم ہے۔
chapter||The owner of the right has the permission to demand his right
chapter_intro||وَيُذْكَرُ عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «لَيُّ الْوَاجِدِ يُحِلُّ عُقُوبَتَهُ وَعِرْضَهُ». قَالَ سُفْيَانُ عِرْضُهُ يَقُولُ مَطَلْتَنِي. وَعُقُوبَتُهُ الْحَبْسُ.
hadith|2401|ہم سے مسدد نے بیان کیا، ان سے یحییٰ نے بیان کیا، ان سے شعبہ نے، ان سے سلمہ نے، ان سے ابوسلمہ نے اور ان سے ابوہریرہ رضی اللہ عنہ نے کہ نبی کریم صلی اللہ علیہ وسلم کی خدمت میں ایک شخص قرض مانگنے اور سخت تقاضا کرنے لگا۔ صحابہ رضی اللہ عنہم نے اس کی گوشمالی کرنی چاہی تو نبی کریم صلی اللہ علیہ وسلم نے فرمایا کہ اسے چھوڑ دو، حقدار ایسی باتیں کہہ سکتا ہے۔
chapter||If somebody lends something and the possessor gets bankrupt
chapter_intro||وَقَالَ الْحَسَنُ إِذَا أَفْلَسَ وَتَبَيَّنَ لَمْ يَجُزْ عِتْقُهُ، وَلاَ بَيْعُهُ وَلاَ شِرَاؤُهُ. وَقَالَ سَعِيدُ بْنُ الْمُسَيَّبِ قَضَى عُثْمَانُ مَنِ اقْتَضَى مِنْ حَقِّهِ قَبْلَ أَنْ يُفْلِسَ فَهْوَ لَهُ، وَمَنْ عَرَفَ مَتَاعَهُ بِعَيْنِهِ فَهْوَ أَحَقُّ بِهِ.
hadith|2402|ہم سے احمد بن یونس نے بیان کیا، ان سے زہیر نے بیان کیا، انہوں نے کہا ان سے یحییٰ بن سعید نے بیان کیا، کہا کہ مجھے ابوبکر بن محمد بن عمرو بن حزم نے خبر دی۔ انہیں عمر بن عبدالعزیز نے خبر دی، انہیں ابوبکر بن عبدالرحمٰن بن حارث بن ہشام نے خبر دی، انہوں نے ابوہریرہ رضی اللہ عنہ سے سنا، آپ بیان کرتے تھے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا یا یہ بیان کیا کہ میں نے رسول اللہ صلی اللہ علیہ وسلم کو یہ فرماتے ہوئے سنا، جو شخص ہو بہو اپنا مال کسی شخص کے پاس پا لے جب کہ وہ شخص دیوالیہ قرار دیا جا چکا ہو تو صاحب مال ہی اس کا دوسروں کے مقابلے میں زیادہ مستحق ہے۔
chapter||Delay in the repayment of debts for a day or so
chapter_intro||وَقَالَ جَابِرٌ اشْتَدَّ الْغُرَمَاءُ فِي حُقُوقِهِمْ فِي دَيْنِ أَبِي فَسَأَلَهُمُ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنْ يَقْبَلُوا ثَمَرَ حَائِطِي فَأَبَوْا، فَلَمْ يُعْطِهِمِ الْحَائِطَ وَلَمْ يَكْسِرْهُ لَهُمْ، قَالَ: «سَأَغْدُو عَلَيْكَ غَدًا». فَغَدَا عَلَيْنَا حِينَ أَصْبَحَ فَدَعَا فِي ثَمَرِهَا بِالْبَرَكَةِ فَقَضَيْتُهُمْ.
chapter||The property of a bankrupt
hadith|2403|ہم سے مسدد نے بیان کیا، کہا کہ ہم سے یزید بن زریع نے بیان کیا، ان سے حسین معلم نے بیان کیا، ان سے عطاء بن ابی رباح نے بیان کیا، اور ان سے جابر بن عبداللہ رضی اللہ عنہما نے بیان کیا کہ ایک شخص نے اپنا ایک غلام اپنی موت کے ساتھ آزاد کرنے کے لیے کہا۔ نبی کریم صلی اللہ علیہ وسلم نے فرمایا کہ اس غلام کو مجھ سے کون خریدتا ہے؟ نعیم بن عبداللہ نے اسے خرید لیا اور آپ صلی اللہ علیہ وسلم نے اس کی قیمت ( آٹھ سو درہم ) وصول کر کے اس کے مالک کو دے دی۔
chapter||To lend money or sell on credit for a fixed time
chapter_intro||قَالَ ابْنُ عُمَرَ فِي الْقَرْضِ إِلَى أَجَلٍ لاَ بَأْسَ بِهِ، وَإِنْ أُعْطِيَ أَفْضَلَ مِنْ دَرَاهِمِهِ، مَا لَمْ يَشْتَرِطْ. وَقَالَ عَطَاءٌ وَعَمْرُو بْنُ دِينَارٍ هُوَ إِلَى أَجَلِهِ فِي الْقَرْضِ.
hadith|2404|لیث نے بیان کیا کہ مجھ سے جعفر بن ربیعہ نے بیان کیا، ان سے عبدالرحمٰن بن ہرمز نے اور ان سے ابوہریرہ رضی اللہ عنہ نے رسول اللہ صلی اللہ علیہ وسلم سے کہ آپ صلی اللہ علیہ وسلم نے کسی اسرائیلی شخص کا تذکرہ فرمایا جس نے دوسرے اسرائیلی شخص سے قرض مانگا تھا اور اس نے ایک مقررہ مدت کے لیے اسے قرض دے دیا۔ ( جس کا ذکر پہلے گزر چکا ہے ) ۔
chapter||Intercession for the reduction of debts
hadith|2405,2406|
chapter||Wasting money
chapter_intro||وَقَوْلِ اللَّهِ تَعَالَى: {وَاللَّهُ لاَ يُحِبُّ الْفَسَادَ} وَ{لاَ يُصْلِحُ عَمَلَ الْمُفْسِدِينَ}. وَقَالَ فِي قَوْلِهِ: {أَصَلَوَاتُكَ تَأْمُرُكَ أَنْ نَتْرُكَ مَا يَعْبُدُ آبَاؤُنَا أَوْ أَنْ نَفْعَلَ فِي أَمْوَالِنَا مَا نَشَاءُ}. وَقَالَ: {وَلاَ تُؤْتُوا السُّفَهَاءَ أَمْوَالَكُمْ} وَالْحَجْرِ فِي ذَلِكَ، وَمَا يُنْهَى عَنِ الْخِدَاعِ.
hadith|2407|ہم سے ابونعیم نے بیان کیا، کہا کہ ہم سے سفیان بن عیینہ نے بیان کیا، ان سے عبداللہ بن دینار نے بیان کیا، انہوں نے عمر رضی اللہ عنہ سے سنا، انہوں نے بیان کیا کہ نبی کریم صلی اللہ علیہ وسلم سے ایک شخص نے عرض کیا کہ خرید و فروخت میں مجھے دھوکا دے دیا جاتا ہے۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ جب خرید و فروخت کیا کرو، تو کہہ دیا کر کہ کوئی دھوکا نہ ہو۔ چنانچہ پھر وہ شخص اسی طرح کہا کرتا تھا۔
hadith|2408|ہم سے عثمان بن ابی شبیہ نے بیان کیا، ان سے جریر نے بیان کیا، ان سے منصور نے، ان سے شعبی نے، ان سے مغیرہ بن شعبہ کے غلام وراد نے اور ان سے مغیرہ بن شعبہ رضی اللہ عنہ نے بیان کیا کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا، اللہ تعالیٰ نے تم پر ماں ( اور باپ ) کی نافرمانی لڑکیوں کو زندہ دفن کرنا، ( واجب حقوق کی ) ادائیگی نہ کرنا اور ( دوسروں کا مال ناجائز طریقہ پر ) دبا لینا حرام قرار دیا ہے۔ اور فضول بکواس کرنے اور کثرت سے سوال کرنے اور مال ضائع کرنے کو مکروہ قرار دیا ہے۔
chapter||A slave is a guardian of the property of his master
hadith|2409|ہم سے ابوالیمان حکم بن نافع نے بیان کیا، کہا کہ ہم کو شعیب نے خبر دی، ان سے زہری نے بیان کیا انہیں سالم بن عبداللہ نے خبر دی اور انہیں عبداللہ بن عمر رضی اللہ عنہما نے کہ انہوں نے رسول اللہ صلی اللہ علیہ وسلم کو یہ فرماتے سنا، تم میں سے ہر فرد ایک طرح کا حاکم ہے اور اس کی رعیت کے بارے میں اس سے سوال ہو گا۔ پس بادشاہ حاکم ہی ہے اور اس کی رعیت کے بارے میں اس سے سوال ہو گا۔ ہر انسان اپنے گھر کا حاکم ہے اور اس سے اس کی رعیت کے بارے میں سوال ہو گا۔ عورت اپنے شوہر کے گھر کی حاکم ہے اور اس سے اس کی رعیت کے بارے میں سوال ہو گا۔ خادم اپنے آقا کے مال کا حاکم ہے اور اس سے اس کی رعیت کے بارے میں سوال ہو گا۔ انہوں نے بیان کیا کہ یہ سب میں نے رسول اللہ صلی اللہ علیہ وسلم سے سنا تھا۔ اور میں سمجھتا ہوں کہ نبی کریم صلی اللہ علیہ وسلم نے یہ بھی فرمایا تھا کہ مرد اپنے والد کے مال کا حاکم ہے اور اس سے اس کی رعیت کے بارے میں سوال ہو گا۔ پس ہر شخص حاکم ہے اور ہر شخص سے اس کی رعیت کے بارے میں سوال ہو گا۔
book||Khusoomaat
chapter||About the people and quarrels
hadith|2410|ہم سے ابوالولید نے بیان کیا، کہا کہ ہم سے شعبہ نے بیان کیا کہ عبدالملک بن میسرہ نے مجھے خبر دی کہا کہ میں نے نزال بن سمرہ سے سنا، اور انہوں نے عبداللہ بن مسعود رضی اللہ عنہ سے سنا، انہوں نے کہا کہ میں نے ایک شخص کو قرآن کی آیت اس طرح پڑھتے سنا کہ رسول اللہ صلی اللہ علیہ وسلم سے میں نے اس کے خلاف سنا تھا۔ اس لیے میں ان کا ہاتھ تھامے آپ صلی اللہ علیہ وسلم کی خدمت میں لے گیا۔ آپ صلی اللہ علیہ وسلم نے ( میرا اعتراض سن کر ) فرمایا کہ تم دونوں درست ہو۔ شعبہ نے بیان کیا کہ میں سمجھتا ہوں کہ آپ صلی اللہ علیہ وسلم نے یہ بھی فرمایا کہ اختلاف نہ کرو، کیونکہ تم سے پہلے لوگ اختلاف ہی کی وجہ سے تباہ ہو گئے۔
hadith|2411|ہم سے یحییٰ بن قزعہ نے بیان کیا، کہا کہ ہم سے ابراہیم بن سعد نے بیان کیا، ان سے ابن شہاب نے، ان سے ابوسلمہ اور عبدالرحمٰن اعرج نے اور ان سے ابوہریرہ رضی اللہ عنہ نے بیان کیا کہ دو شخصوں نے جن میں ایک مسلمان تھا اور دوسرا یہودی، ایک دوسرے کو برا بھلا کہا۔ مسلمان نے کہا، اس ذات کی قسم! جس نے محمد ( صلی اللہ علیہ وسلم ) کو تمام دنیا والوں پر بزرگی دی۔ اور یہودی نے کہا، اس ذات کی قسم جس نے موسیٰ ( علیہ السلام ) کو تمام دنیا والوں پر بزرگی دی۔ اس پر مسلمان نے ہاتھ اٹھا کر یہودی کے طمانچہ مارا۔ وہ یہودی نبی کریم صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوا۔ اور مسلمان کے ساتھ اپنے واقعہ کو بیان کیا۔ پھر آپ صلی اللہ علیہ وسلم نے اس مسلمان کو بلایا اور اس سے واقعہ کے متعلق پوچھا۔ انہوں نے آپ صلی اللہ علیہ وسلم کو اس کی تفصیل بتا دی۔ آپ صلی اللہ علیہ وسلم نے اس کے بعد فرمایا، مجھے موسیٰ علیہ السلام پر ترجیح نہ دو۔ لوگ قیامت کے دن بیہوش کر دیئے جائیں گے۔ میں بھی بیہوش ہو جاؤں گا۔ بے ہوشی سے ہوش میں آنے والا سب سے پہلا شخص میں ہوں گا، لیکن موسیٰ علیہ السلام کو عرش الٰہی کا کنارہ پکڑے ہوئے پاؤں گا۔ اب مجھے معلوم نہیں کہ موسیٰ علیہ السلام بھی بیہوش ہونے والوں میں ہوں گے اور مجھ سے پہلے انہیں ہوش آ جائے گا۔ یا اللہ تعالیٰ نے ان کو ان لوگوں میں رکھا ہے جو بے ہوشی سے مستثنیٰ ہیں۔
hadith|2412|ہم سے موسیٰ بن اسماعیل نے بیان کیا، کہا کہ ہم سے وہیب نے بیان کیا، کہا کہ ہم سے عمرو بن یحییٰ نے بیان کیا، ان سے ان کے باپ یحییٰ بن عمارہ نے اور ان سے ابو سعید خدری رضی اللہ عنہ نے بیان کیا کہ رسول اللہ صلی اللہ علیہ وسلم تشریف فرما تھے کہ ایک یہودی آیا اور کہا کہ اے ابوالقاسم! آپ کے اصحاب میں سے ایک نے مجھے طمانچہ مارا ہے۔ آپ صلی اللہ علیہ وسلم نے دریافت فرمایا، کس نے؟ اس نے کہا کہ ایک انصاری نے۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ انہیں بلاؤ۔ وہ آئے تو آپ صلی اللہ علیہ وسلم نے پوچھا کیا تم نے اسے مارا ہے؟ انہوں نے کہا کہ میں نے اسے بازار میں یہ قسم کھاتے سنا۔ اس ذات کی قسم! جس نے موسیٰ علیہ السلام کو تمام انسانوں پر بزرگی دی۔ میں نے کہا، او خبیث! کیا محمد صلی اللہ علیہ وسلم پر بھی! مجھے غصہ آیا اور میں نے اس کے منہ پر تھپڑ دے مارا۔ اس پر نبی کریم صلی اللہ علیہ وسلم نے فرمایا دیکھو انبیاء میں باہم ایک دوسرے پر اس طرح بزرگی نہ دیا کرو۔ لوگ قیامت میں بیہوش ہو جائیں گے۔ اپنی قبر سے سب سے پہلے نکلنے والا میں ہی ہوں گا۔ لیکن میں دیکھوں گا کہ موسیٰ علیہ السلام عرش الٰہی کا پایہ پکڑے ہوئے ہیں۔ اب مجھے معلوم نہیں کہ موسیٰ علیہ السلام بھی بیہوش ہوں گے اور مجھ سے پہلے ہوش میں آ جائیں گے یا انہیں پہلی بے ہوشی جو طور پر ہو چکی ہے وہی کافی ہو گی۔
hadith|2413|ہم سے موسیٰ نے بیان کیا، کہا کہ ہم سے ہمام نے بیان کیا، ان سے قتادہ نے اور ان سے انس رضی اللہ عنہ نے بیان کیا کہ ایک یہودی نے ایک لڑکی کا سر دو پتھروں کے درمیان رکھ کر کچل دیا تھا۔ ( اس میں کچھ جان باقی تھی ) اس سے پوچھا گیا کہ تیرے ساتھ یہ کس نے کیا ہے؟ کیا فلاں نے، فلاں نے؟ جب اس یہودی کا نام آیا تو اس نے اپنے سر سے اشارہ کیا ( کہ ہاں ) یہودی پکڑا گیا اور اس نے بھی جرم کا اقرار کر لیا، نبی کریم صلی اللہ علیہ وسلم نے حکم دیا اور اس کا سر بھی دو پتھروں کے درمیان رکھ کر کچل دیا گیا۔
chapter||The deals done by a weak-minded or an extravagant person
chapter_intro||وَيُذْكَرُ عَنْ جَابِرٍ رَضِيَ اللَّهُ عَنْهُ عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ رَدَّ عَلَى الْمُتَصَدِّقِ قَبْلَ النَّهْيِ ثُمَّ نَهَاهُ. وَقَالَ مَالِكٌ إِذَا كَانَ لِرَجُلٍ عَلَى رَجُلٍ مَالٌ، وَلَهُ عَبْدٌ، لاَ شَيْءَ لَهُ غَيْرُهُ، فَأَعْتَقَهُ، لَمْ يَجُزْ عِتْقُهُ.
chapter||If somebody sells a thing for a weak-minded person
chapter_intro||فَدَفَعَ ثَمَنَهُ إِلَيْهِ، وَأَمَرَهُ بِالإِصْلاَحِ وَالْقِيَامِ بِشَأْنِهِ، فَإِنْ أَفْسَدَ بَعْدُ مَنَعَهُ، لأَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَهَى عَنْ إِضَاعَةِ الْمَالِ، وَقَالَ لِلَّذِي يُخْدَعُ فِي الْبَيْعِ: «إِذَا بَايَعْتَ فَقُلْ لاَ خِلاَبَةَ». وَلَمْ يَأْخُذِ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَالَهُ.
hadith|2414|ہم سے موسیٰ بن اسماعیل نے بیان کیا، کہا کہ ہم سے عبدالعزیز بن مسلم نے بیان کیا، ان سے عبداللہ بن دینار نے بیان کیا، انہوں نے کہا کہ میں نے عبداللہ بن عمر رضی اللہ عنہما سے سنا، آپ نے کہا کہ ایک صحابی کوئی چیز خریدتے وقت دھوکا کھا جایا کرتے تھے۔ نبی کریم صلی اللہ علیہ وسلم نے ان سے فرمایا کہ جب تو خریدا کرے تو یہ کہہ دے کہ کوئی دھوکا نہ ہو۔ پس وہ اسی طرح کہا کرتے تھے۔
