collection||Sharh Ma'āni Al-Āthār
hadith|14|حَدَّثَنَا صَالِحُ بْنُ عَبْدِ الرَّحْمَنِ بْنِ عَمْرِو بْنِ الْحَارِثِ الْأَنْصَارِيُّ، وَعَلِيُّ بْنُ شَيْبَةَ بْنِ الصَّلْتِ الْبَغْدَادِيُّ قَالَا: حَدَّثَنَا عَبْدُ اللهِ بْنُ يَزِيدَ الْمُقْرِئُ، قَالَ: سَمِعْتُ ابْنَ عَوْنٍ يُحَدِّثُ عَنْ مُحَمَّدِ بْنِ سِيرِينَ، عَنْ أَبِي هُرَيْرَةَ، أَنَّهُ قَالَ: «نُهِيَ , أَوْ نَهَى أَنْ يَبُولَ الرَّجُلُ فِي الْمَاءِ الدَّائِمِ أَوِ الرَّاكِدِ، ثُمَّ يَتَوَضَّأَ مِنْهُ، أَوْ يَغْتَسِلَ مِنْهُ»
hadith|15|وَحَدَّثَنَا عَلِيُّ بْنُ مَعْبَدِ بْنِ نُوحٍ الْبَغْدَادِيُّ , قَالَ: ثنا عَبْدُ اللهِ بْنُ بَكْرٍ السَّهْمِيُّ قَالَ: ثنا هِشَامُ بْنُ حَسَّانَ عَنْ مُحَمَّدِ بْنِ سِيرِينَ، عَنْ أَبِي هُرَيْرَةَ، عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الَّذِي لَا يَجْرِي , ثُمَّ يَغْتَسِلُ فِيهِ»
hadith|16|حَدَّثَنَا يُونُسُ بْنُ عَبْدِ الْأَعْلَى أَبُو مُوسَى الصَّدَفِيُّ، قَالَ: أَخْبَرَنِي أَنَسُ بْنُ عِيَاضٍ اللَّيْثِيُّ، عَنِ الْحَارِثِ بْنِ أَبِي ذُبَابٍ، وَهُوَ رَجُلٌ مِنَ الْأَزْدِ، عَنْ عَطَاءِ بْنِ مِينَاءَ، عَنْ أَبِي هُرَيْرَةَ، أَنَّ رَسُولَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ ثُمَّ يَتَوَضَّأُ مِنْهُ أَوْ يَشْرَبُ»
hadith|17|حَدَّثَنَا يُونُسُ، قَالَ: أنا عَبْدُ اللهِ بْنُ وَهْبٍ، قَالَ: أَخْبَرَنِي عَمْرُو بْنُ الْحَارِثِ، أَنَّ بُكَيْرَ بْنَ عَبْدِ اللهِ بْنِ الْأَشَجِّ حَدَّثَهُ أَنَّ أَبَا السَّائِبِ مَوْلَى هِشَامِ بْنِ زُهْرَةَ حَدَّثَهُ أَنَّهُ سَمِعَ أَبَا هُرَيْرَةَ يَقُولُ: قَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «لَا يَغْتَسِلْ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ وَهُوَ جُنُبٌ» . فَقَالَ: كَيْفَ يَفْعَلُ يَا أَبَا هُرَيْرَةَ؟ فَقَالَ: يَتَنَاوَلُهُ تَنَاوُلًا
hadith|18|حَدَّثَنَا ابْنُ أَبِي دَاوُدَ، قَالَ: ثنا سَعِيدُ بْنُ الْحَكَمِ بْنِ أَبِي مَرْيَمَ، قَالَ: أَخْبَرَنَا عَبْدُ الرَّحْمَنِ بْنُ أَبِي الزِّنَادِ، قَالَ: ثنا أَبِي، عَنْ مُوسَى بْنِ أَبِي عُثْمَانَ، عَنْ أَبِيهِ، عَنْ أَبِي هُرَيْرَةَ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الَّذِي لَا يَجْرِي , ثُمَّ يَغْتَسِلُ مِنْهُ»
hadith|19|وَكَمَا حَدَّثَنَا حُسَيْنُ بْنُ نَصْرِ بْنِ المقراك الْبَغْدَادِيُّ قَالَ: ثنا مُحَمَّدُ بْنُ يُوسُفَ الْفِرْيَابِيُّ قَالَ: ثنا سُفْيَانُ رَحِمَهُ اللهُ , وَحَدَّثَنَا فَهْدٌ قَالَ: ثنا أَبُو نُعَيْمٍ قَالَ: ثنا سُفْيَانُ عَنْ أَبِي الزِّنَادِ. فَذَكَرَ بِإِسْنَادِهِ مِثْلَهُ
hadith|20|حَدَّثَنَا الرَّبِيعُ بْنُ سُلَيْمَانَ الْمُؤَذِّنُ قَالَ: ثنا أَسَدُ بْنُ مُوسَى قَالَ: ثنا عَبْدُ اللهِ بْنُ لَهِيعَةَ قَالَ: ثنا عَبْدُ الرَّحْمَنِ الْأَعْرَجُ قَالَ: سَمِعْتُ أَبَا هُرَيْرَةَ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الَّذِي لَا يَجْرِي , ثُمَّ يَغْتَسِلُ مِنْهُ»
hadith|21|حَدَّثَنَا الرَّبِيعُ بْنُ سُلَيْمَانَ الْجِيزِيُّ، قَالَ: ثنا أَبُو زُرْعَةَ وَهْبُ اللهِ بْنُ رَاشِدٍ قَالَ: أنا حَيْوَةُ بْنُ شُرَيْحٍ، قَالَ: سَمِعْتُ ابْنَ عَجْلَانَ يُحَدِّثُ عَنْ أَبِي الزِّنَادِ، عَنِ الْأَعْرَجِ، عَنْ أَبِي هُرَيْرَةَ، عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الرَّاكِدِ وَلَا يَغْتَسِلْ فِيهِ»
hadith|22|حَدَّثَنَا إِبْرَاهِيمُ بْنُ مُنْقِذٍ الْعُصْفُرِيُّ، قَالَ: حَدَّثَنِي إِدْرِيسُ بْنُ يَحْيَى، قَالَ: ثنا عَبْدُ اللهِ بْنُ عَيَّاشٍ، عَنِ الْأَعْرَجِ، عَنْ أَبِي هُرَيْرَةَ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِثْلُهُ , غَيْرَ أَنَّهُ قَالَ: «وَلَا يَغْتَسِلُ فِيهِ جُنُبٌ»
hadith|23|وَحَدَّثَنَا مُحَمَّدُ بْنُ الْحَجَّاجِ بْنِ سُلَيْمَانَ الْحَضْرَمِيُّ , قَالَ: ثنا عَلِيُّ بْنُ مَعْبَدٍ قَالَ: ثنا أَبُو يُوسُفَ، عَنِ ابْنِ أَبِي لَيْلَى، عَنْ أَبِي الزُّبَيْرِ، عَنْ جَابِرٍ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ «أَنَّهُ نَهَى أَنْ يُبَالَ فِي الْمَاءِ الرَّاكِدِ ثُمَّ يُتَوَضَّأُ فِيهِ» . قَالَ أَبُو جَعْفَرٍ: فَلَمَّا خَصَّ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْمَاءَ الرَّاكِدَ الَّذِي لَا يَجْرِي دُونَ الْمَاءِ الْجَارِي , عَلِمْنَا بِذَلِكَ أَنَّهُ إِنَّمَا فَصَّلَ ذَلِكَ، لِأَنَّ النَّجَاسَةَ تُدَاخِلُ الْمَاءَ الَّذِي لَا يَجْرِي , وَلَا تُدَاخِلُ الْمَاءِ الْجَارِيَ. وَقَدْ رُوِيَ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَيْضًا فِي غُسْلِ الْإِنَاءِ مِنْ وُلُوغِ الْكَلْبِ مَا سَنَذْكُرُهُ فِي غَيْرِ هَذَا الْمَوْضِعِ مِنْ كِتَابِنَا هَذَا إِنْ شَاءَ اللهُ تَعَالَى، فَذَلِكَ دَلِيلٌ عَلَى نَجَاسَةِ الْإِنَاءِ وَنَجَاسَةِ مَائِهِ، وَلَيْسَ ذَلِكَ بِغَالِبٍ عَلَى رِيحِهِ، وَلَا عَلَى لَوْنِهِ , وَلَا عَلَى طَعْمِهِ. فَتَصْحِيحُ مَعَانِي هَذِهِ الْآثَارِ يُوجِبُ فِيمَا ذَكَرْنَا مِنْ هَذَا الْبَابِ مِنْ مَعَانِي حَدِيثِ بِئْرِ بُضَاعَةَ مَا وَصَفْنَا لِتَتَّفِقَ مَعَانِي ذَلِكَ , وَمَعَانِي هَذِهِ الْآثَارِ , وَلَا تَتَضَادَّ. فَهَذَا حُكْمُ الْمَاءِ الَّذِي لَا يَجْرِي إِذَا وَقَعَتْ فِيهِ النَّجَاسَةُ مِنْ طَرِيقِ تَصْحِيحِ مَعَانِي الْآثَارِ. غَيْرَ أَنَّ قَوْمًا وَقَّتُوا فِي ذَلِكَ شَيْئًا، فَقَالُوا: إِذَا كَانَ الْمَاءُ مِقْدَارَ قُلَّتَيْنِ لَمْ يَحْمِلْ خَبَثًا , وَاحْتَجُّوا فِي ذَلِكَ بِمَا
