collection||مصنف ابن أبي شيبة
hadith|21|حدثنا زيد بن الحباب قال حدثنا معاوية بن صالح عن ربيعة بن يزيد عن أبي ادريس الخولاني وأبي عثمان عن جبير بن نفير بن مالك الحضرمي عن عقبة بن عامر الجهني أن رسول الله صلى الله عليه وسلم قال ما من أحد يتوضأ فيحسن الوضوء ثم يصلي ركعتين قبل ( ( ( مقبل ) ) ) بقلبه ووجهه عليهما إلا وجبت له الجنة قال فقال عمر ما قبلها أكثر منها كأنك جئت آنفا قال رسول الله صلى الله عليه وسلم من توضأ فقال أشهد أن لا إله إلا الله وحده لا شريك له وأشهد أن محمدا عبده ورسوله فتحت له ثمانية أبواب الجنة يدخل من أيها شاء
hadith|22|حدثنا زيد بن الحباب قال حدثني عمرو بن عبد الله بن وهب النخعي عن زيد العمي عنأنس بن مالك عن النبي صلى الله عليه وسلم من توضأ فقال أشهد أن لا إله إلا الله وحده لا شريك له وأشهد أن محمدا عبده ورسوله ثلاث مرات فتحت له ثمانية أبواب الجنة يدخل من أيها شاء
hadith|23|حدثنا عباد بن العوام عن المنهال أن أبا العالية رأى رجلا يتوضأ فلما فرغ قال اللهم اجعلني من التوابين واجعلني من المتطهرين وقال إن الطهور بالماء حسن ولكنهم المتطهرون من الذنوب
hadith|24|حدثنا المقرئ عن سعيد بن أبي أيوب قال حدثني زهرة بن معبد أبو عقيل أن بن عم له أخبره أنه سمع عقبة بن عامر يقول قال رسول الله صلى الله عليه وسلم من توضأ فأتم وضوءه ثم رفع رأسه إلى السماء فقال أشهد أن لا إله إلا الله وحده لا شريك له وأن محمدا عبده ورسوله فتحت له ثمانية أبواب الجنة يدخل من أيها شاء
hadith|25|حدثنا عبدة بن سليمان عن جويبر عن الضحاك قال كان حذيفة إذا تطهر قال أشهد أن لا إله إلا الله وأشهد أن محمدا عبده ورسوله اللهم اجعلني من التوابين واجعلني من المتطهرين 0
chapter||5 ) من قال لا تقبل صلاة إلا بطهور
hadith|26|حدثنا حسين بن علي عن زائدة وحدثنا وكيع عن إسرائيل كلاهما عن سماك بن حرب عن مصعب بن سعد عن بن عمر قال قال رسول الله صلى الله عليه وسلم لا تقبل صلاة إلا بطهور ولا صدقة من غلول
hadith|27|حدثنا يونس بن محمد عن ليث بن سعد عن يزيد بن أبي حبيب عن بن سنان عن أنس عن النبي صلى الله عليه وسلم قال لا تقبل صدقة من غلول ولا صلاة بغير طهور
hadith|28|حدثنا عفان قال حدثنا وهيب قال نا عبد الرحمن بن حرملة أنه سمع أبا ثفال يحدث قال سمعت رباح بن عبد الرحمن بن أبي سفيان بن حويطب يقول حدثتني جدتي أنها سمعت أباها يقول سمعت رسول الله صلى الله عليه وسلم يقول لا صلاة لمن لا وضوء له
hadith|29|حدثنا شبابة بن سوار وعبيد بن سعيد عن شعبة عن قتادة عن أبي المليح عن أبيه عن النبي صلى الله عليه وسلم قال إن الله لا يقبل صلاة بغير طهور ولا صدقة من غلول
hadith|30|حدثنا أبو الأحوص عن آدم بن علي قال سمعت بن عمر يقول إن أناسا يدعون المنقوصون يوم القيامة فقال رجل من هم يا أبا عبد الرحمن قال كان أحدهم ينقص طهوره والتفاته في صلاته
hadith|31|حدثنا وكيع قال حدثنا الأعمش عن أبي إسحاق عن أبي عبيدة قال قال عبد الله لا تقبل صلاة إلا بطهور
hadith|32|حدثنا وكيع قال حدثنا مجمع بن يحيى عن خالد بن زيد عن بن عمر قال لا تقبل صلاة بغير طهور
hadith|33|حدثنا عبد الرحمن بن مهدي عن سفيان عن أبي حصين عن المستورد بن الأحنف قال قال عمر لا تقبل صلاة بغير طهور
hadith|34|حدثنا عبيدة بن حميد عن عبد الملك بن عمير عن أبي روح قال صلى رسول الله صلى الله عليه وسلم بأصحابه فقرأ بسورة الروم فتردد فيها فلما انصرف قال إنما يلبس علينا صلاتنا قوم يحضرون الصلاة بغير طهور من شهد الصلاة فليحسن الطهور
chapter||6 ) باب في المحافظة على الوضوء وفضله
hadith|35|حدثنا أبو الأحوص عن منصور عن سالم بن أبي الجعد عن ثوبان مولى رسول الله صلى الله عليه وسلم قال قال رسول الله صلى الله عليه وسلم لا يحافظ على الطهور إلا مؤمن
hadith|36|حدثنا حسين بن علي عن زائدة عن ليث عن مجاهد عن عبد الله بن عمر قال قال رسول الله صلى الله عليه وسلم لن يحافظ على الوضوء إلا مؤمن
hadith|37|حدثنا عفان قال حدثنا أبان العطار عن يحيى بن أبي كثير عن زيد [ بن سلام ] بن أبي سلام عن أبي مالك الأشعري أن رسول الله صلى الله عليه وسلم كان يقول الطهور شطر الإيمان
hadith|38|حدثنا عبد الرحمن بن مهدي عن سفيان عن أبي إسحاق عن أبي ليلى الكندي عن حجر بن عدي قال حدثنا على أن الطهور شطر الإيمان
hadith|39|حدثنا وكيع قال حدثنا الأعمش عن شمر عن شهر بن حوشب عن أبي أمامة قال قال رسول الله صلى الله عليه وسلم إذا توضأ الرجل المسلم خرجت ذنوبة من سمعه وبصره ويديه ورجليه فإن جلس جلس مغفورا له
hadith|40|حدثنا يزيد بن هارون عن حماد بن سلمة عن عاصم عن زر عن عبد الله قال قلت يا رسول الله صلى الله عليه وسلم كيف تعرف من لم تر من أمتك قال هم غر محجلون بلق من آثار الوضوء
hadith|41|حدثنا أبو أسامة عن هشام قال كان أبي يقول الوضوء شطر الصلاة
hadith|42|حدثنا يحيى بن زكريا بن أبي زائدة عن أبي مالك الأشجعي عن أبي حازم عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم تردون علي غرا محجلين من الوضوء سيما أمتي ليست لأحد غيرها
hadith|43|حدثنا غندر عن شعبة عن يعلى بن عطاء عن يزيد بن طلق عن عبد الرحمن بن البيلماني عن عمرو بن عبسة عن النبي صلى الله عليه وسلم قال إن العبد إذا توضأ فغسل يديه خرجت خطاياه من ذراعيه ( ( ( يديه ) ) ) وإذا مسح ( ( ( غسل ) ) ) رأسه ( ( ( وجهه ) ) ) خرجت خطاياه من رأسه ( ( ( وجهه ) ) ) وإذا غسل رجليه خرجت خطاياه من رجليه
hadith|44|حدثنا يحيى بن أبي بكير قال نا زهير بن محمد عن عبد الله بن محمد بن عقيل عن سعيد بن المسيب عن أبي سعيد أنه سمع رسول الله صلى الله عليه وسلم يقول ألا أدلكم على شيء يكفر الله به الخطايا ويزيد به في الحسنات قالوا بلى يا رسول الله قال اسباغ الوضوء عند المساجد وكثرة الخطا ( ( ( الخطى ) ) ) إلى هذه المساجد
hadith|45|حدثنا أبو خالد الأحمر عن أبي مالك الأشجعي عن كثير بن مدرك عن الأسود بن يزيد قال قال عبد الله الكفارات إسباغ الوضوء بالسبرات ونقل الأقدام إلى الجمعات وانتظار الصلاة بعد الصلاة
hadith|46|حدثنا وكيع عن مسعر عن أبي صخر ( ( ( صخرة ) ) ) قال سمعت حمران يقول كنت أضع لعثمان طهوره فقال حدثنا رسول الله صلى الله عليه وسلم ما من رجل يتوضأ فيحسن الوضوء إلا غفر له ما بينه وبين الصلاة الأخرى
hadith|47|حدثنا وكيع قال نا الأعمش عن سالم عن يزيد بن بشر قال أن الله أوحى إلى موسى أن توضأ فإن لم تفعل فأصابتك مصيبة فلا تلومن إلا نفسك
hadith|48|حدثنا إسحاق بن سليمان الرازي عن أبي سنان عن ثابت عن الضحاك في قوله وقوموا لله قانتين قال مطيعين لله في الوضوء
hadith|49|حدثنا عبدة بن سليمان عن عثمان بن حكيم عن محمد بن المنكدر عن حمران قال سمعت عثمان يقول من توضأ فأحسن الوضوء وأسبغه وأتمه خرجت خطاياه من جسده حتى تخرج من تحت أظفاره
hadith|50|حدثنا وكيع عن الأعمش عن شقيق عن سلمة بن سبرة عن سلمان قال إذا توضأ الرجل المسلم وضعت خطاياه على رأسه فتحاتت كما يتحات عذق النخلة
hadith|51|حدثنا جرير عن منصور عن شقيق عن سلمة بن سبرة عن سلمان مثله
hadith|52|حدثنا قبيصة بن عقبة عن حماد بن سلمة عن على بن زيد عن أبي عثمان قال كنت مع سلمان فأخذ غصنا من شجرة يابسة فحته ثم قال سمعت رسول الله صلى الله عليه وسلم يقول من توضأ فأحسن الوضوء تحاتت خطاياه كما يتحات الورق
hadith|53|حدثنا عبدة بن سليمان عن الأفريقي عن أبي غطيف عن بن عمر يقول من توضأ على طهر كتب له عشر حسنات
chapter||7 ) في الوضوء كم هو مرة
hadith|54|حدثنا أبو الأحوص عن أبي إسحاق عن أبي حية قال رأيت عليا توضأ فأنقى كفيه ثم غسل وجهه ثلاثا وذراعيه ثلاثا ومسح برأسه ثم غسل قدميه إلى الكعبين ثم قام فشرب فضل وضوئه ثم قال إنما أردت أن أريكم طهور رسول الله صلى الله عليه وسلم
hadith|55|حدثنا شريك عن خالد بن علقمة عن عبد خير عن علي قال توضأ فمضمض ثلاثا واستنشق ثلاثا من كف واحد وغسل وجهه ثلاثا ثم أدخل يده في الركوة فمسح رأسه وغسل رجليه ثم قال هذا وضوء ( ( ( وضوؤ ) ) ) نبيكم صلى الله عليه وسلم
hadith|56|حدثنا محمد بن بشر قال حدثنا سعيد بن أبي عروبة عن قتادة عن مسلم بن يسار عن حمران قال دعا عثمان بماء فتوضأ ثم ضحك فقال ألا تسألوني مما أضحك قالوا يا أمير المؤمنين ما اضحكك قال رأيت رسول الله صلى الله عليه وسلم توضأ كما توضأت فمضمض واستنشق وغسل وجهه ثلاثا ويديه ثلاثا ومسح برأسه وظهر قدميه
hadith|57|حدثنا بن عيينة عن عمرو بن يحيى عن أبيه عن عبد الله بن زيد أن النبي صلى الله عليه وسلم توضأ فغسل وجهه ثلاثا ويديه مرتين ومسح برأسه ورجليه مرتين
hadith|58|حدثنا أبو أسامة عن سفيان عن موسى بن أبي عائشة عن عمرو بن شعيب عن أبيه عن جده أن رجلا سأل النبي صلى الله عليه وسلم عن الوضوء فدعا بماء فتوضأ ثلاثا ثلاثا ثم قال هكذا الطهور فمن زاد أو نقص فقد تعدى وظلم
hadith|59|حدثنا وكيع عن سفيان عن عبد الله بن محمد بن عقيل عن الربيع بنت معوذ بن عفراء قالت أتانا رسول الله صلى الله عليه وسلم فوضعنا له الميضأة فتوضأ ثلاثا ثلاثا ومسح برأسه بدأ بمؤخره
hadith|60|حدثنا وكيع عن حسن بن عقبة المرادي أبي كيران ( ( ( بكران ) ) ) أنه قال سمعت عبد خير الهمداني يقول قال علي ألا أريكم وضوء رسول الله صلى الله عليه وسلم ثم توضأ ثلاثا ثلاثا
hadith|61|حدثنا يزيد بن هارون قال أخبرنا حماد بن سلمة عن عمرو بن زهير عن سميع عن أبي أمامة أن رسول الله صلى الله عليه وسلم توضأ فغسل يديه ثلاثا وتمضمض واستنشق ثلاثا ثلاثا وتوضأ ثلاثا ثلاثا
hadith|62|حدثنا وكيع عن سفيان عن أبي النضر عن بن أنس أن عثمان توضأ بالمقاعد فقال ألا أريكم وضوء رسول الله صلى الله عليه وسلم ثم توضأ ثلاثا ثلاثا
hadith|63|حدثنا وكيع عن إسرائيل عن عامر بن شقيق عن أبي وائل عن عثمان أن النبي صلى الله عليه وسلم توضأ ثلاثا ثلاثا
hadith|64|حدثنا بن إدريس عن محمد بن عجلان عن زيد بن أسلم عن عطاء بن يسار عن بن عباس أن رسول الله صلى الله عليه وسلم توضأ فغرف غرفة فمضمض منها واستنثر ثم غرف غرفة فغسل وجهه ثم غرف غرفة فغسل يده اليمنى ثم غرف غرفة فغسل يده اليسرى ثم غرف غرفة فمسح رأسه وأذنيه داخلهما السبابتين وخالف بإبهاميه إلى ظاهر أذنيه فمسح باطنهما وظاهرهما ثم غرف غرفة فغسل رجله اليمنى ثم غرف غرفة فغسل رجله اليسرى
hadith|65|حدثنا أبو معاوية عن حجاج عن عطاء أن عثمان توضأ ثلاثا ثلاثا ومسح برأسه مسحة وغسل رجليه غسلا ثم قال هكذا رأيت رسول الله صلى الله عليه وسلم توضأ
hadith|66|حدثنا شريك عن ثابت عن أبي جعفر قال قلت له حدثت عن جابر أن النبي صلى الله عليه وسلم توضأ مرة مرة قال نعم
hadith|67|حدثنا بن عيينة عن بيان عن الشعبي عن قرظة قال شيعنا عمر إلى صرار فتوضأ فغسل مرتين
hadith|68|حدثنا أبو خالد الأحمر عن أشعث عن الشعبي عن قرظة قال سمعت عمر يقول الوضوء ثلاث ثلاث وثنتان ( ( ( واثنتان ) ) ) تجزيان
hadith|69|حدثنا أبو خالد عن هشام عن الحسن عن عمر قال في المضمضة والاستنشاق وغسل الوجه وغسل اليدين والرجلين اثنتان تجزيان وثلاث أفضل
hadith|70|حدثنا بن فضيل عن الحسن بن عبيد الله عن مسلم بن صبيح قال رأيت بن عمر يتوضأ ثلاثا ثلاثا ثم مسح برأسه وأذنيه
hadith|71|حدثنا جرير عن يزيد قال رأيت عبد الرحمن بن أبي ليلى توضأ فمضمض واستنشق مرة أو مرتين وغسل وجهه ثلاثا وذراعيه ثلاثا ومسح برأسه وغسل رجليه ثلاثا ثلاثا ولم أره خلل لحيته ثم قال هكذا رأيت عليا توضأ
hadith|72|حدثنا عبد الرحمن بن مهدي عن سفيان عن مسلم قال رأيت عبد الرحمن بن أبي ليلى توضأ ثلاثا ثلاثا
hadith|73|حدثنا أبو معاوية عن يحيى بن سعيد عن إسماعيل بن إبراهيم قال رأيت بن عباس توضأ في دار الندوة مرة مرة
hadith|74|حدثنا أبو خالد الأحمر عن بن عجلان عن زيد بن أسلم عن عطاء بن يسار عن بن عباس أن النبي صلى الله عليه وسلم توضأ غرفة غرفة
hadith|75|حدثنا وكيع عن إسرائيل عن جابر عن الشعبي أن بن عمر توضأ مرتين قال عامر وفعله أبو بكر
hadith|76|حدثنا وكيع والفضل قالا حدثنا سفيان عن عاصم بن عبد الله قال رأيت سالم بن عبد الله توضأ مرة مرة
hadith|77|حدثنا أبو خالد الأحمر وبن فضيل عن الحسن بن عبيد الله عن إبراهيم قال يجزيك من الوضوء مرتين مرتين وإن ثلثت فقد اسبغت
hadith|78|حدثنا وكيع عن إسرائيل عن جابر عن أبي جعفر قال الوضوء وتر
hadith|79|حدثنا كثير بن هشام عن جعفر بن برقان قال سألت الزهري كم يكفي من الوضوء عن الوجه والذراعين قال ما أرى واحدة سابغة إلا كافية قال فقلت له أن ميمونا يقول ثلاث على الوجه وثلاث على الذراعين فقال ذلك أبلغ الوضوء
hadith|80|حدثنا يزيد بن هارون قال أخبرنا الجريري عن عروة بن قبيصة عن رجل من الأنصار عن أبيه أن عثمان قال ألا أريكم كيف كان وضوء ( ( ( وضوؤ ) ) ) رسول الله صلى الله عليه وسلم قالوا بلى فدعا بماء فمضمض ثلاثا واستنشق ثلاثا وغسل وجهه ثلاثا وذراعيه ثلاثا ومسح برأسه وغسل قدميه ثم قال واعلموا أن الأذنين من الرأس ثم قال تحريت أو توخيت لكم وضوء رسول الله صلى الله عليه وسلم
hadith|81|حدثنا زيد بن الحباب عن عبد الرحمن بن ثوبان عن عبد الله بن الفضل عن عبد الرحمن بن هرمز عن أبي هريرة أن رسول الله صلى الله عليه وسلم توضأ مرتين مرتين
hadith|82|حدثنا وكيع عن سفيان عن عبد الله بن جابر عن الحسن قال الوضوء مرة ومرتان وثلاث
hadith|83|حدثنا وكيع نا داود بن قيس عن عبيد الله بن مقسم عن القاسم قال أما من كان يحسن الوضوء فمرة مرة
chapter||8 ) في تخليل الأصابع في الوضوء
hadith|84|حدثنا يحيى بن سليم عن إسماعيل بن كثير عن عاصم بن لقيط بن صبرة عن أبيه قال قلت يا رسول الله أخبرني عن الوضوء قال إسبغ الوضوء وخلل بين الأصابع وبالغ في الاستنشاق إلا أن تكون صائما
hadith|85|حدثنا وكيع عن سفيان عن واقد عن مصعب بن سعد قال مر عمر على قوم يتوضؤون فقال خللوا
hadith|86|حدثنا أبو الأحوص عن بن مسكين عن هزيل قال قال عبد الله لينهكن الرجل ما بين أصابعه بالماء أو لتنهكنه النار
hadith|87|حدثنا أبو الأحوص عن أبي إسحاق قال حدثني من سمع حذيفة يقول خللوا بين الأصابع في الوضوء قبل أن تخللها النار
hadith|88|حدثنا هشيم عن عمران بن أبي عطاء قال رأيت بن عباس توضأ فغسل قدميه حتى تتبع بين أصابعه فغسلهن
hadith|89|حدثنا بن علية عن محمد بن إسحاق عن شيبة بن نصاح قال صحبت القاسم بن محمد إلى مكة فرأيته إذا توضأ للصلاة يدخل أصابع يديه بين أصابع رجليه قال وهو يصب الماء عليها فقلت له يا أبا محمد لم تصنع هذا قال رأيت عبد الله بن عمر يصنعه
hadith|90|حدثنا بن نمير عن يحيى بن سعيد عن القاسم عن بن عمر أنه رآه في سفر ينزع خفيه ثم يخلل أصابعه
hadith|91|حدثنا وكيع عن سفيان عن منصور عن طلحة عن عبد الله قال خللوا بين أصابعكم بالماء قبل أن تحشوها النار
hadith|92|حدثنا يحيى بن علي التيمي عن منصور عن طلحة عن عبد الله بمثل حديث بن نمير
hadith|93|حدثنا وكيع عن بن مسكين عن عكرمة قال إذا توضأت فابدأ بأصابعك فخللها فإنه كان يقال هو مقيل الشيطان
hadith|94|حدثنا وكيع عن إسرائيل عن عبد الأعلى قال رأيت بن الحنفية توضأ فخلل أصابعه
hadith|95|حدثنا عبد الرحيم بن سليمان عن أشعث عن الحسن قال خللوا أصابعكم بالماء لا تخللها نار قليل يعبأها ( ( ( يعبؤها ) ) )
hadith|96|حدثنا أبو داود الطيالسي عن هشام بن يحيى أن أبا بكر الصديق رضي الله عنه قال لتخللن أصابعكم بالماء أو ليخللنها الله بالنار
hadith|97|حدثنا عبد الرحيم بن سليمان عن واصل بن السائب عن أبي سورة عن عمه أبي أيوب قال قال رسول الله صلى الله عليه وسلم حبذا المتخللون أن تخلل بين أصابعك بالماء وأن تخلل من الطعام
chapter||9 ) في تخليل اللحية في الوضوء
hadith|98|حدثنا سفيان بن عيينة عن عبد الكريم عن حسان بن بلال قال رأيت عمار بن ياسر توضأ فخلل لحيته فقلت له فقال رأيت رسول الله صلى الله عليه وسلم فعله
hadith|99|حدثنا هشيم عن أبي حمزة قال رأيت بن عباس يخلل لحيته إذا توضأ
hadith|100|حدثنا عبد الله بن نمير عن عبيد الله عن نافع عن بن عمرانه كان يخلل لحيته
hadith|101|حدثنا معتمر بن سليمان عن أبي معين قال رأيت أنسا توضأ فخلل لحيته
hadith|102|حدثنا وكيع عن أمامة عن نافع عن بن عمر أنه كان يخلل لحيته إذا توضأ
hadith|103|حدثنا أبو الأحوص عن أبي إسحاق قال رأيت سعيد بن جبير توضأ وخلل لحيته
hadith|104|حدثنا وكيع عن المعلي ( ( ( العلاء ) ) ) بن برجان عن الأزرق بن قيس قال رأيت بن عمر يخلل لحيته
hadith|105|حدثنا زيد بن الحباب عن النضر بن معبد قال رأيت أبا قلابة إذا توضأ خلل لحيته
hadith|106|حدثنا يحيى بن آدم قال حدثنا الحسن بن صالح عن موسى بن أبي عائشة عن يزيد الرقاشي عن أنس أن النبي صلى الله عليه وسلم كان إذا توضأ يخلل لحيته
hadith|107|حدثنا وكيع عن شعبة عن الحكم عن مجاهد أنه كان يخلل لحيته إذا توضأ
hadith|108|حدثنا أبو أسامة عن خالد بن دينار قال قال رأيت بن سيرين توضأ فخلل لحيته
hadith|109|حدثنا بن إدريس عن هشام قال كان بن سيرين يخللها
hadith|110|حدثنا يحيى بن اليمان قال حدثنا سفيان عن الزبير بن عدي عن الضحاك قال رأيته يخلل لحيته
hadith|111|حدثنا وكيع عن أبي عاصم عن رجل لم يسمه أن عليا مر على رجل يتوضأ فقال خلل يعني لحيته
hadith|112|حدثنا زيد بن الحباب عن عمر [ بن ] سليم الباهلي قال حدثني أبو غالب قال قلت لأبي أمامة أخبرنا عن وضوء رسول الله صلى الله عليه وسلم فتوضأ ثلاثا وخلل لحيته وقال هكذا رأيت رسول الله صلى الله عليه وسلم يفعل
hadith|113|حدثنا عبد الله بن نمير قال حدثنا إسرائيل عن عامر بن شقيق عن أبي وائل قال رأيت عثمان يتوضأ فخلل لحيته ثلاثا وقال رأيت رسول الله صلى الله عليه وسلم فعله
hadith|114|حدثنا وكيع عن الهيثم حدثنا حماد عن يزيد بن أبان عن أنس أن النبي صلى الله عليه وسلم قال أتاني جبرائيل ( ( ( جبريل ) ) ) فقال إذا توضأت فخلل لحيتك
hadith|115|حدثنا بن فضيل عن ليث عن نافع عن بن عمر أنه كان إذا توضأ خلل لحيته
hadith|116|حدثنا يحيى بن آدم قال حدثنا حسن بن صالح عن أبي الهيثم عن إبراهيم أنه توضأ وخلل لحيته
chapter||10 ) من كان لا يخلل لحيته ويقول يكفيك ما سال عليها
hadith|117|حدثنا عبد الرحيم بن سليمان عن سعيد بن [ عبد ( ( ( الزبيري ) ) ) الرحمن ] [ الزبيدي ] قال سألت إبراهيم أخلل لحيتي بالماء أو يكفيها ما مر عليها قال يكفيها ما مر عليها
hadith|118|حدثنا بن إدريس عن هشام قال كان الحسن لا يفعل يعني لا يخلل لحيته
hadith|119|حدثنا وكيع عن إسرائيل عن عبد الأعلى عن بن الحنفية قال رأيته مسح جانبي لحيته وعارضيه ولم يخللها
hadith|120|حدثنا إسحاق بن سليمان الرازي عن أبي جعفر عن الربيع عن أبي العالية قال حسبك ما سال من وجهك على لحيتك
hadith|121|حدثنا وكيع عن إسرائيل عن ثوير قال رأيت أبا جعفر لا يخلل لحيته
hadith|122|حدثنا وكيع عن إسرائيل عن جابر عن عامر ومحمد بن علي ومجاهد والقاسم أنهم كانوا يمسحون لحاهم ولا يخللونها
hadith|123|حدثنا جرير بن عبد الحميد عن يزيد بن عبد الرحمن بن أبي ليلى قال رأيته توضأ ولم أره خلل لحيته ثم قال هكذا رأيت عليا توضأ
hadith|124|حدثنا معتمر بن سليمان عن أبيه عن الحسن قال يجزئك ما سال من وجهك على لحيتك ولا تخلل
hadith|125|حدثنا وكيع عن سفيان عن محمد بن عجلان قال سئل القاسم بن محمد عن تخليل اللحية فقال ما على كدها
hadith|126|حدثنا حسين بن علي عن زائدة عن منصور قال رأيت إبراهيم توضأ ولم يخلل لحيته
chapter||11 ) في غسل اللحية في الوضوء
hadith|127|حدثنا وكيع عن سفيان عن مسلم بن أبي فروة عن عبد الرحمن بن أبي ليلى قال إن استطعت أن تبلغ بالماء أصول اللحية فافعل
hadith|128|حدثنا أبو خالد الأحمر عن أشعث عن بن سيرين قال رأيته يغسل لحيته فقلت له من السنة غسل اللحية فقال لا
hadith|129|حدثنا غندر عن بن جريج عن عطاء أنه كان يرى بل أصولها من الماء يعني اللحية
hadith|130|حدثنا هشيم عن يونس عن الحسن وعبيدة عن إبراهيم أنهما كانا يستحبان أن يمسحا باطن اللحية في الوضوء
hadith|131|حدثنا وكيع عن محمد بن قيس ( ( ( يس ) ) ) عن محارب عن بن سابط قال إذا توضأت فلا تنس الفنيكين
