collection||Sahih Muslim
hadith|10|Сообщается, что Абу Хурайра, да будет доволен им Аллах, сказал: «(Однажды) Посланник Аллаха ﷺ сказал: «Спрашивайте меня!» И когда они приблизились к нему чтобы задавать вопросы, к нем вдруг подошел какой-то человек, который сел у его коленей и сказал: «О Посланник Аллаха, что такое ислам?» Он ответил: «(Ислам это когда) ты не поклоняешься никому помимо Аллаха, выстаиваешь молитву, выплачиваешь закят и постишься в рамадане». (Этот человек) сказал: «Ты сказал правду». (Затем) он сказал: «О Посланник Аллаха, что такое иман?» (Пророк ﷺ) сказал: «(Суть имана в том), чтобы ты верил в Аллаха, в Его ангелов, в Его Книгу, во встречу с Ним и в Его посланников, и чтобы ты верил в Воскресение, и чтобы ты верил в предопределение всего». (Этот человек) сказал: «Ты сказал правду». (Затем) он сказал: «О Посланник Аллаха, а что такое ихсан?» Он ответил: «(Суть ихсана в том), чтобы ты боялся Аллах так, будто видишь Его, а если ты Его не видишь, то, (помня о том, что) Он, поистине, видит тебя». Он сказал: «Ты сказал правду». (Тот человек снова) спросил: «О Посланник Аллаха, когда настанет Час этот?» Он сказал: «Тот, кого спрашивают о нем, знает не больше задающего вопрос, однако я расскажу тебе о его признаках. Когда ты увидишь, что женщина породит свою госпожу, это один из его признаков, и когда ты увидишь, что босые и нагие, глухие и слепые люди станут править на земле, то это будет одним из его признаков, и когда ты увидишь, что пастухи, (которые когда-то пасли) овец и коз, будут похваляться друг перед другом (размерами и количеством своих) домов, то это будет одним из его признаков. (Что же касается знания о времени его наступления, то оно относится к числу) пяти скрытых (вещей), и которых известно только Аллаху», после чего он ﷺ прочитал (следующий) аят: «Поистине, (лишь) Аллаху ведомо, (когда наступит) Час этот, и (только) Он ниспосылает дождь, и (только) Он знает, что (скрыто) в утробах. Не знает человек, что приобретёт он завтра, и не знает человек, в какой земле умрёт. Поистине, Аллах Знающий, Всеведущий!» (сура «Лукман», аят 34). (Абу Хурайра) сказал: «Затем этот человек ушёл, а Посланник Аллаха ﷺ велел: “Верните ко мне этого человека”. Люди стали (искать) его, но никого не нашли, и тогда Посланник Аллаха ﷺ сказал: “Это был Джибриль, который хотел научить вас, раз вы не спрашиваете”»
chapter||
hadith|11a|
hadith|11b|Передают со слов Тальхи ибн ‘Убайдуллаха, да будет доволен им Аллах, сообщившего от Пророка ﷺ похожий хадис на хадис Малика, исключая то, что он сказал: «И Посланник Аллаха ﷺ то он сказал: “Клянусь его отцом, он преуспеет
chapter||
hadith|12a|
hadith|12b|Сообщается, что Сабит сказал: «Анас (ибн Малик) сказал: “Нам запрещалось в Коране спрашивать Посланника Аллаха ﷺ о чём бы то ни было”», и далее он передал хадис с похожим текстом
chapter||
hadith|13a|
hadith|13b|Передают со слов Абу Аййуба от Пророка ﷺ похожий на этот хадис
hadith|14a|
hadith|14b|Передают со слов Абу Хурайры, да будет доволен им Аллах, что однажды к Посланнику Аллаха ﷺ пришёл какой-то бедуин, и сказал: «О Посланник Аллаха, укажи мне на такое дело, совершив которое я войду в Рай». (В ответ Посланник Аллаха ﷺ) сказал: «Поклоняйся Аллаху, ничего не придавая Ему в сотоварищи, совершай предписанную молитву, выплачивай обязательный закят и постись в Рамадане». (Бедуин) воскликнул: «Клянусь Тем, в чьей длани душа моя, я ничего не добавлю к этому никогда и не убавлю из него!», а когда он повернулся (, чтобы уйти), Пророк ﷺ сказал: «Пусть тот, кому доставит радость взгляд на человека из числа обитателей Рая, посмотрит на этого (бедуина)»
hadith|15a|
hadith|15b|Сообщается, что Джабир сказал: «Ан-Ну‘ман ибн Къаукъаль сказал: “О Посланник Аллаха ....”, и (передаётся) нечто схожее, в котором он добавил: “И ничего не добавлю к этому”»
hadith|15c|Сообщается, что Джабир сказал: «(Однажды) некий человек, который задавал вопросы Посланнику Аллаха ﷺ сказал: “Как ты думаешь, если я совершаю предписанные молитвы, соблюдаю пост в Рамадане, считаю дозволенным дозволенное /халяль/, и считаю запретным запретное /харам/, и ничего не добавлю к этому, то войду ли я в Рай?” (И Пророк ﷺ) ответил: “Да”. (Тот человек) сказал: “Клянусь Аллахом, я ничего не добавлю к этому”»
chapter||
hadith|16a|
hadith|16b|Передают со слов Ибн ‘Умара, да будет доволен Аллах ими обоими, что Пророк ﷺ сказал: «Ислам основывается на пяти (столпах): в поклонении Аллаху и отвержении всего помимо Него, выстаивании молитвы, выплате закята, совершении хаджа к Дому и соблюдении поста в Рамадане»
hadith|16c|Сообщается, что ‘Асым (ибн Мухаммад ибн Зейд ибн ‘Абдуллах ибн ‘Умар) передал со слов своего отца о том, что тот сказал: ‘Абдуллах (Ибн ‘Умар, да будет доволен Аллах ими обоими,) сказал: «Посланник Аллаха ﷺ сказал: “Ислам основывается на пяти (столпах): свидетельстве о том, что нет божества достойного поклонения, кроме Аллаха и что Мухаммад Его раб и посланник, выстаивании молитвы, выплате закята, совершении хаджа к Дому и соблюдении поста в Рамадане”»
hadith|16d|Сообщается, что Ханзаля сказал: «Я слышал, как ‘Икрима ибн Халид рассказывал Тавусу о том, что один человек сказал ‘Абдулле ибн ‘Умар: «Почему ты не выходишь на военный поход?» (‘Абдуллах ибн ‘Умар) сказал: «Поистине, я слышал как Посланник Аллаха ﷺ говорил: “Поистине, Ислам основывается на пяти (столпах): свидетельстве о том, что нет божества достойного поклонения, кроме Аллаха, выстаивании молитвы, выплате закята, соблюдении поста в Рамадане и совершении хаджа к Дому”»
chapter||
hadith|17a|
hadith|17b|Передают со слов Абу Джамры, что (однажды, когда) он переводил
hadith|17c|(…) Сообщается со слов Ибн ‘Аббаса, что Пророк ﷺ сказал: «И я запрещаю вам пить набиз, изготовленный в дуббе, накыре, хантаме и музаффате».Ибн Му’аз добавил в хадисе, который передал от своего отца, что Посланник Аллаха ﷺ сказал Ашаджжу ‘Абдулькайсу: «Поистине, присущи тебе два качества, которые любит Аллах: кротость (благоразумие) и степенность»
hadith|18a|
hadith|18b|(…) Сообщается, что Абу Са’ид аль-Худри рассказал, что делегация из племени ‘абд аль-кайс прибыли к Посланнику Аллаха ﷺ, подобно предыдущему хадису, но в этом (варианте) говорится: «…вы смешиваете в этом сосуде мелкие финики и воду»
hadith|18c|(…) Сообщается, что Абу Са’ид аль-Худри рассказал, что, когда делегация из племени ‘абд аль-кайс прибыли к Пророку Аллаха ﷺ, они сказали: «О Пророк Аллаха, да сделает нас Аллах выкупом за тебя, что для нас подходить из напитков?» Он ответил: «Не пейте из накыра». Они сказали: «О Пророк Аллаха, да сделает нас Аллах выкупом за тебя, ты знаешь, что такое накыр!?» Он ответил: «Да, это ствол, середина которого выдалбливается. И не (пейте также) из дубба и хантама, а используйте бурдюки, горлышка которых завязываются (верёвкой) /мукя/»
chapter||
hadith|19a|
hadith|19b|Передают со слов Ибн ‘Аббаса о том, что отправляя Му‘аза в Йемен, Пророк ﷺ сказал: «Ты придёшь к народу ....»
hadith|19c|Передают со слов Ибн ‘Аббаса о том, что когда Посланник Аллаха ﷺ отправлял Му‘аза в Йемен, он сказал: «Ты отправляешься к народу, который является обладателем Писания. Пусть первым, к чему ты призовёшь их, будет поклонение Великому и Всевышнему Аллаху. Когда они узнают об Аллахе, то дай им знать, что Аллах обязал их совершать пять молитв в течение дня и ночи. Если они сделают это, то дай им знать, что Аллах обязал их выплачивать закят, который следует брать с их богатых в пользу их бедных. Если они покорятся тебе в этом, то бери его с них и не посягай на их отборное имущество»
chapter||
hadith|20|Сообщается, что Абу Хурайра, да будет доволен им Аллах, сказал: «Когда Посланник Аллаха ﷺ умер, Абу Бакр, да будет доволен им Аллах, стал халифом после него, а некоторые из арабов вернулись к неверию, ‘Умар ибн аль-Хаттаб, да будет доволен им Аллах, спросил Абу Бакра: “Как же ты можешь сражаться с этими людьми?
hadith|21a|
hadith|21b|Передают со слов Абу Хурайры о том, что Посланник Аллаха ﷺ сказал: «Мне было велено сражаться с этими людьми до тех пор, пока они не засвидетельствуют, что нет бога, достойного поклонения, кроме Аллаха и не уверуют в то, с чем я пришел. И если они сделают это, то защитят от меня свою кровь и своё имущество, если только (не совершат ничего такого, за что можно будет лишить их имущества или жизни) по праву, и тогда (лишь) Аллах (сможет потребовать) от них отчёта»
hadith|21c|Абу Суфьян и Абу Салих передали, что Джабир и Абу Хурайра сказали: «Посланник Аллаха ﷺ сказал: “Мне было велено сражаться с этими людьми”», и они передали хадис схожий с тем, что передал Ибн аль-Мусаййаб со слов Абу Хурайры
hadith|22|Сообщается, что ‘Абдуллах ибн ‘Умар сказал: «Посланник Аллаха ﷺ сказал: “Мне было велено сражаться с людьми до тех пор, пока они не засвидетельствуют, что нет бога, достойного поклонения, кроме Аллаха, и что Мухаммад Посланник Аллаха, и не станут совершать молитву и выплачивать закят, если же они будут делать это, то защитят от меня свою кровь и своё имущество, если только (не совершат ничего такого, за что можно будет лишить их имущества или жизни) по праву, и тогда (лишь) Аллах (сможет потребовать) от них отчёта”»
hadith|23a|
hadith|23b|Передают, что Абу Малик со слов своего отца рассказывал о том, что он слышал, как Пророк ﷺ говорил: «Кто признает Единство Аллаха», и затем он передал схожий хадис
chapter||
hadith|24a|
hadith|24b|(…) Этот хадис с тем же иснадом, что и прошлый, но хадис версии Салиха заканчивается словами: «И ниспослал Аллах по его поводу…». И не упоминаются два аята(, которые приводятся в предыдущей версии). Но он говорит в своей версии хадиса: «…и они двое повторяли ему свои слова». А в хадисе версии Ма’мара, вместо этих слов: «…а они продолжали (говорить ему)»
hadith|25a|
hadith|25b|(…) Сообщается со слов Абу Хурайры, что Посланник Аллаха ﷺ сказал своему дяде: «Произнеси слова: “Нет божества, достойного поклонения, кроме Аллаха”, посредством которых я (смогу) свидетельствовать за тебя в День воскресения». Однако он ответил: «Если бы курайшиты не стали бранить (упрекать) меня, говоря: “Страх (смерти) заставил его сказать эти слова”, то я усладил бы ими твои очи. Тогда Аллах ниспослал: “Поистине, ты не (сможешь) повести правильным путём тех, кого любишь, но Аллах поведёт им, кого пожелает”»
chapter||
hadith|26a|
hadith|26b|Сообщается со слов Хумрана, что ‘Усман сказал: «Я слышал, как Посланник Аллаха ﷺ говорил эти слова»
hadith|27a|
hadith|27b|Сообщается, что Абу Хурайра или же Абу Са‘ид аль-Худри, да будет доволен Аллах ими обоими, (передатчик этого хадиса аль-А‘маш сомневался, однако сомнение относительно имени того или иного сподвижника не причиняет никакого вреда, так как все они отличались справедливостью) сказал: «Во время похода на Табук люди, страдавшие от голода(, обратились к Пророку ﷺ с просьбой), сказав: «О Посланник Аллаха, если бы ты позволил нам заколоть наших верблюдов, то мы (могли бы) питаться бы их мясом и использовать их жир». Посланник Аллаха ﷺ сказал: «(Так и) сделайте». (Тогда к нему) подошёл ‘Умар, да будет доволен им Аллах, который сказал: «О Посланник Аллаха, если ты (позволишь им сделать это), у нас останется мало верховых животных! (Лучше) вели им принести те припасы, которые у них ещё есть, а потом обратись к Аллаху с мольбой, чтобы Он сделал их благословенными для (этих людей), может быть, Он сделает это!» Посланник Аллаха ﷺ сказал: «Да!», после чего велел принести себе кожаную подстилку и расстелил её, а потом он велел сносить на эту подстилку остатки их припасов, и люди стали подходить кто с горстью проса, кто с пригоршней фиников, а кто с куском хлеба. В конце концов на этой подстилке набралось немного еды, и тогда Посланник Аллаха ﷺ призвал на эту еду благословение, а потом сказал: «Кладите это в свои сосуды!», и люди стали складывать еду в свои сосуды(, что продолжалось до тех пор), пока все имевшиеся в лагере сосуды не были заполнены, а кроме того, все наелись досыта и после этого что-то ещё осталось, что же касается Посланника Аллаха ﷺ то он сказал: «Свидетельствую, что нет бога, достойного поклонения, кроме Аллаха, и что я Посланник Аллаха, и если кто-нибудь из рабов (Аллаха) встретит Его(, имея в запасе два этих свидетельства) и не сомневаясь (в их истинности), то не останется Рай недоступным для него!»
hadith|28a|
hadith|28b|Этот хадис подобен предыдущему, но в данной версии Пророк ﷺ сказал: «…Аллах введёт его в Рай, независимо от того, какими были его деяния». И не сказал: «…через любые из восьми ворот Рая, которые пожелает»
hadith|29|Сообщается, что ас-Сунабихи, передававший хадисы со слов ‘Убады ибн ас-Самита, сказал: «Зайдя к (‘Убаде), который был при смерти, я заплакал, а он сказал: “Погоди, почему ты плачешь? Клянусь Аллахом, если потребуют от меня свидетельства, я обязательно буду свидетельствовать за тебя, и если будет принято моё заступничество, я обязательно заступлюсь за тебя, и если я смогу, то обязательно сделаю то, что принесёт тебе пользу!” Потом он сказал: “Клянусь Аллахом, я передал вам всё, что слышал от Посланника Аллаха ﷺ и в чём для вас заключалось благо, за исключением одного. (Эти его слова) я расскажу вам сегодня, ибо чувствую приближение смерти. Я слышал, как Посланник Аллаха ﷺ сказал: “Аллах сделает запретным для Огня (любого человека), который засвидетельствует, нет божества, достойного поклонения, кроме Аллаха, и что Мухаммад посланник Аллаха”»
hadith|30a|
hadith|30b|(…) Сообщается, что Му‘аз ибн Джабаль сказал: «(Однажды, когда) я сидел верхом на осле по кличке ‘Уфайр позади Посланника Аллаха ﷺ, он спросил (меня): “О Му‘аз, известно ли тебе, какое право Аллаха должны соблюдать рабы Его и чего они вправе (ожидать) от Аллаха?” Я сказал: “Аллах и Его посланник знают об этом лучше”. (Тогда) он сказал: “Поистине, право Аллаха, которое обязаны соблюдать рабы Его, состоит в том, что им следует поклоняться Ему (одному), не придавая ничего Ему в сотоварищи, рабы же вправе ожидать, что Великий и Могучий Аллах не станет подвергать мучениям того, кто не придавал Ему ничего в сотоварищи”. Я спросил: “О Посланник Аллаха, так не порадовать ли мне (этой вестью) людей?” В ответ он сказал: “(Не делай этого), ибо тогда они станут полагаться только на это!”»
hadith|30c|(…) Сообщается, что Му‘аз ибн Джабаль сказал: «(Однажды, когда) Посланник Аллаха ﷺ сказал, и между мной и им не было ничего, кроме задней части седла, он сказал:“О Му’аз, известно ли тебе, какое право Аллаха должны соблюдать рабы Его?” Я сказал: “Аллах и Его посланник знают об этом лучше”. (Тогда) он сказал: “Им следует поклоняться Ему (одному), не придавая ничего Ему в сотоварищи”. Затем он сказал: “А известно ли тебе, что в праве ожидать рабы Аллаха, если они будут это совершать?” Я сказал: “Аллах и Его посланник знают об этом лучше”. И он сказал: “То, что Он не станет подвергать их мучениям”»
hadith|30d|(…) Сообщается, что Му’аз сказал: «Посланник Аллаха ﷺ позвал меня, а я ответил и тогда он сказал: «Известно ли тебе, какое право Аллаха должны соблюдать люди?» Подобно предыдущим хадисам
hadith|31|Сообщается, что Абу Хурайра, да будет доволен им Аллах, сказал: «(Однажды, когда) мы вместе с несколькими людьми, среди которых находились Абу Бакр и ‘Умар, да будет доволен Аллах ими обоими, сидели вокруг Посланника Аллаха ﷺ он встал, (покинул) нас и долго не возвращался. (Через некоторое время) мы стали опасаться, как бы с ним (что-нибудь не случилось), забеспокоились и поднялись (со своих мест). Почувствовав беспокойство первым, я отправился на поиски Посланника Аллаха ﷺ (и искал его), пока не подошёл к стене (сада), который принадлежал ансарам из рода бану ан-наджжар. Я обошёл вокруг (этой стены) в поисках ворот, но не нашёл их, однако обнаружил ручеёк, который вытекал из находящегося вне (сада) колодца и исчезал за его стенами. Тогда я сжался в комок, как лиса, проник внутрь (и увидел) Посланника Аллаха ﷺ который спросил: «Абу Хурайра?» Я отозвался: «Да, о Посланник Аллаха». Он спросил: «Что случилось?» Я сказал: «Ты был среди нас, а потом ушёл и долго не возвращался. Мы стали опасаться, как бы с тобой (не случилось что-нибудь), и нас охватило беспокойство, а я забеспокоился первым. Потом я пришёл к этому саду и сжался, как лиса, а (остальные следуют) за мной». Тогда (Пророк ﷺ) обратился (ко мне): «О Абу Хурайра!», дал мне свои сандалии и сказал: «Иди с этими моими сандалиями и радуй вестью о Рае (любого) кого ты встретишь за пределами этого сада и кто засвидетельствуют, что нет божества, достойного поклонения, кроме Аллаха, будучи убеждённым в этом сердцем». Первым, кого я встретил, был ‘Умар, который спросил: «Что это за сандалии, о Абу Хурайра?» Я ответил: «Это сандалии Посланника Аллаха ﷺ, который послал меня с ними, чтобы я радовал вестью О Рае (любого человека), которого я встречу и который засвидетельствует, что нет божества, достойного поклонения, кроме Аллаха, будучи убеждённым в этом сердцем». Тут ‘Умар хлопнул меня рукой по груди так, что я сел на землю, и сказал: «Возвращайся, о Абу Хурайра!» Чуть не плача, я вернулся к Посланнику Аллаха ﷺ, что же касается ‘Умара, то он пришёл следом за мной. Посланник Аллаха ﷺ спросил меня: «Что с тобой, о Абу Хурайра?» Я сказал: «Я встретил ‘Умара и рассказал ему, с чем ты меня послал, а он ударил меня в грудь так, что я сел на землю, и сказал: “Возвращайся!” Посланник Аллаха ﷺ сказал ему: “О ‘Умар, что побудило тебя поступить так?” (‘Умар) сказал: “Да станут отец мой и мать выкупом за тебя, о Посланник Аллаха! Ты (и в самом деле) послал Абу Хурайру со своими сандалиями, чтобы он радовал вестью о Рае (любого человека), которого он встретит и который засвидетельствует, что нет божества, достойного поклонения, кроме Аллаха, будучи убеждённым в этом сердцем?” (Пророк ﷺ) сказал: “Да”. (Тогда ‘Умар) воскликнул: “Не делай (этого), ибо, поистине, я боюсь, что люди (только) на это и будут полагаться, так пусть же они занимаются делами (поклонения)!” и Посланник Аллаха ﷺ сказал: “Пусть (занимаются)”»
hadith|32|Сообщается, что Катада сказал: «Анас ибн Малик рассказывал нам о том, что (однажды, когда) Пророк Аллаха ﷺ (ехал верхом), а позади него в седле сидел Му’аз ибн Джабаль, (Пророк ﷺ) сказал: “О Му’аз!” (Му‘аз) сказал: “Я перед тобой, о Посланник Аллаха, и счастлив служить тебе!” (Пророк ﷺ снова) сказал: “О Му’аз!”, (и Му‘аз снова) сказал: “Я перед тобой, о Посланник Аллаха, и счастлив служить тебе!”, (Пророк ﷺ снова) сказал: “О Му’аз!”, (и Му‘аз снова) сказал: “Я перед тобой, о Посланник Аллаха, и счастлив служить тебе!” (Тогда Пророк ﷺ) сказал: “Какой бы раб (Аллаха) ни засвидетельствовал, что нет божества, достойного поклонения, кроме Аллаха, и что Мухаммад Его раб и Его посланник, искренне (веруя в это) сердцем своим, Аллах обязательно сделает его запретным для огня”. (Му‘аз) спросил: “О Посланник Аллаха, так не сообщить ли мне об этом людям, чтобы они порадовались?” Он сказал: “Тогда они (только на это) и будут надеяться”, и Му‘аз сообщил (людям) об (этих словах Пророка ﷺ) лишь незадолго до своей смерти, считая (дальнейшее молчание) греховным»
hadith|33a|
hadith|33b|(…) Сообщается, что Анас сказал: «Когда ‘Итбан ибн Малик ослеп, он отправил к Посланнику Аллаха ﷺ (человека, чтобы тот передал ему от него следующее): “Приходи ко мне, и обозначь мне место, (которое я сделаю для себя) мечетью”. И пришёл Посланник Аллаха ﷺ, а с ним его люди, затем (присутствующие) описали (плохими качествами) человека из них, которого звали Малик ибн Духшум». Потом он упомянул хадис, подобный хадису Сулеймана ибн Мугыйры
chapter||
hadith|34|Сообщается со слов аль-‘Аббаса ибн ‘Абдульмутталиба о том, что он слышал, как Посланник Аллаха ﷺ говорил: «Вкус веры ощутит тот, кто будет доволен Аллахом, как Господом, исламом как религией и Мухаммадом как посланником»
chapter||
hadith|35a|
hadith|35b|(…) Сообщается от Абу Хурайры, что Посланник Аллаха ﷺ сказал: «Вера имеет более семидесяти (или: более шестидесяти) ответвлений. Наилучшее из них слова “Нет божества, достойного поклонения, кроме Аллаха”, а наименьшее устранение с дороги того, что мешает (людям), и стыдливость одно из ответвлений веры»
hadith|36a|
hadith|36b|(…) В данной версии этого хадиса он сказал: «Когда Пророк ﷺ проходил мимо одного из ансаров, который давал своему брату наставления…»
hadith|37a|
hadith|37b|Сообщается, что Абу Саввар слышал, как ‘Имран ибн Хусайн рассказывал, что Пророк ﷺ сказал: «Стыдливость не приносит ничего, кроме блага». (Услышав это), Бушайр ибн Ка‘б сказал: «В мудрых книгах написано, что (стыдливость способствует проявлению) достоинства и спокойствия». Тогда ‘Имран сказал: «Я рассказываю тебе (слова) Посланника Аллаха ﷺ, а ты мне рассказываешь из своих свитков?!»
hadith|37c|(…) Сообщается, что Абу Катада сказал: «Однажды, когда мы с несколькими людьми, среди которых был и Бушайр Ибн Ка’б, находились у ‘Имрана ибн Хусайна, ‘Имран передал нам, что Посланник Аллаха ﷺ сказал: “В стыдливости нет ничего, кроме блага”. (Услышав это), Бушайр ибн Ка’б сказал: “А мы видим, что в некоторых книгах (или: мудрых книгах) сказано, что (стыдливость) способствует проявлению спокойствия и достоинства пред Аллахом и что (иногда она является проявлением) слабости”. Тут ‘Имран разгневался так, что глаза его налились кровью, и воскликнул: “Я передаю тебе слова Посланника Аллаха ﷺ, а ты не соглашаешься с ними!” После этого ‘Имран передал тот же хадис ещё раз, и Бушайр опять сказал то, что сказал. ‘Имран снова разгневался, и мы ещё долго говорили (‘Имрану о Бушайре): “Поистине, он (один) из нас, о Абу Нуджайд, поистине, нет в нём ничего дурного”»
chapter||
hadith|38|Сообщается, что Суфйан бин ‘Абдуллах ас-Сакафи, да будет доволен им Аллах, сказал: (Однажды) я попросил: «О Посланник Аллаха, скажи мне об исламе такие слова (, чтобы после этого) я уже не спрашивал о нём никого другого». Он сказал: «Говори: „Я уверовал в Аллаха“, а потом придерживайся прямоты»
chapter||
hadith|39|Сообщается, что ‘Абдуллах ибн ‘Амр, да будет доволен Аллах ими обоими, сказал: Один человек спросил Посланника Аллаха ﷺ: «Какое (проявление) ислама является наилучшим?» Он ответил: «(Лучшее состоит в том, чтобы) ты кормил (людей) и приветствовал тех, кого знаешь и кого не знаешь»
hadith|40|Сообщается, что ’Абдуллах ибн ‘Амр ибн аль-‘Ас рассказывал, что один человек спросил Посланника Аллаха ﷺ: «Кто из мусульман является лучшим?» (Пророк ﷺ) ответил: «Тот (человек), от зла языка и рук которого мусульмане находятся в безопасности (то есть тот, кто не причиняет мусульманам вреда своим языком и руками)»
