collection||Sahih Muslim
chapter||
hadith|10|அபூஹுரைரா (ரலி) அவர்கள் கூறியதாவது: (ஒரு நாள்) அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள் (மக்களிடம்), என்னிடம் (விளக்கம்) கேளுங்கள்" என்று கூறினார்கள். மக்கள் அவர்களிடம் கேட்க அஞ்சினார்கள்.அப்போது (எங்கிருந்தோ) ஒரு மனிதர் வந்து நபி (ஸல்) அவர்களின் முழங்கால்களுடன் ஒட்டி அமர்ந்து,அல்லாஹ்வின் தூதரே! இஸ்லாம் (அடிபணிதல்) என்றால் என்ன?" என்று கேட்டார்.நபி (ஸல்) அவர்கள் (இஸ்லாம் என்பது), அல்லாஹ்வுக்கு நீங்கள் எதையும் இணைவைக்காமலிருப்பதும், தொழுகையைக் கடைப்பிடிப்பதும், ஸகாத்தை வழங்கி வருவதும், ரமளான் மாதத்தில் நோன்பு நோற்பதும் ஆகும்" என்று கூறினார்கள். (இதைக் கேட்ட) அம்மனிதர் உண்மைதான்" என்று கூறினார். அல்லாஹ்வின் தூதரே! ஈமான் (இறை நம்பிக்கை) என்றால் என்ன?" என்று அம்மனிதர் கேட்டார். அதற்கு நபி (ஸல்) அவர்கள்,அல்லாஹ்வையும் அவனுடைய வானவர்களையும், அவனுடைய வேதத்தையும், அவனது சந்திப்பையும், அவனுடைய தூதர்களையும் நீங்கள் நம்புவதும் (மரணத்திற்குப் பின் இறுதியாக அனைவரும்) உயிருடன் எழுப்பப்படுவதை நீங்கள் நம்புவதும்,விதியை முழுமையாக நம்புவதும் ஆகும்" என்று கூறினார்கள். அதற்கும் அம்மனிதர் உண்மை தான்" என்றார். அல்லாஹ்வின் தூதரே! இஹ்சான் (அழகிய முறையில் செயலாற்றல்) என்றால் என்ன?" என்று கேட்டார். நபி (ஸல்) அவர்கள்,அல்லாஹ்வை நீங்கள் பார்த்துக் கொண்டிருப்பதைப் போன்ற உணர்வுடன் அவனை நீங்கள் அஞ்சுவதாகும். ஏனெனில், நீங்கள் அவனைப் பார்த்துக்கொண்டிராவிட்டாலும் அவன் உங்களைப் பார்த்துக் கொண்டிருக்கின்றான்" என்று கூறினார்கள். அதற்கும் அம்மனிதர் உண்மைதான்" என்று கூறினார். அல்லாஹ்வின் தூதரே! மறுமை (நாள்) எப்போது நிகழும்?" என்று அம்மனிதர் கேட்க,நபி (ஸல்) அவர்கள், கேள்வி கேட்கப்படுபவர் (அதாவது நான்) கேள்வி கேட்பவரை விட (அதாவது உங்களைவிட) அதிகம் அறிந்தவர் அல்லர். ஆயினும், நான் உங்களுக்கு மறுமை நாளின் அடையாளங்கள் சிலவற்றை எடுத்துரைக்கிறேன் என்றார்கள்: ஒரு (அடிமைப்) பெண் தன் எசமானையே பெற்றெடுப்பதை நீங்கள் கண்டால் அது மறுமை நாளின் அடையாளங்களில் ஒன்றாகும். காலில் செருப்பணியாத, உடலில் உடையணியாத, செவிடர்களையும் குருடர்களையும் (போன்று வாழ்கின்ற கல்வி கலாசாரமற்ற மக்களை) நீங்கள் பூமியின் அரசர்களாய்க் கண்டால் அதுவும் மறுமை நாளின் அடையாளங்களில் ஒன்றாகும். மேலும்,ஆட்டுக்குட்டிகளை மேய்க்கும் இடையர்கள் போட்டி போட்டுக்கொண்டு உயரமான கட்டடங்களைக் கட்டுவதை நீங்கள் கண்டால் அதுவும் மறுமையின் அடையாளங்களில் அடங்கும். இவ்வாறு கூறிவிட்டு, நிச்சயமாக, மறுமை (நாள் எப்போது நிகழும் என்பது) பற்றிய அறிவு அல்லாஹ்விடமே உள்ளது. அவனே மழையை இறக்கி வைக்கின்றான். இன்னும் அவனே கர்ப்பங்களில் உள்ளவற்றையும் (தீர்க்கமாக) அறிகின்றான்.தாம் நாளை என்ன சம்பாதிப்போம் என்பதை (அவனைத் தவிர வேறு) யாரும் (உறுதியாக) அறிவதில்லை. எந்த இடத்தில் தாம் இறக்கப்போகிறோம் என்பதையும் எவரும் அறிவதில்லை. அல்லாஹ்தான் (இவற்றையெல்லாம்) நன்கறிந்தவன்; நுணுக்கமானவன்" எனும் (31:34ஆவது) இறைவசனத்தை ஓதிக் காட்டினார்கள். பிறகு (கேள்வி கேட்க வந்த) அம்மனிதர் எழுந்து (சென்று)விட்டார். அப்போது அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், அந்த மனிதரை என்னிடம் திரும்ப அழைத்துவாருங்கள்" என்று கூறினார்கள். உடனே அவர் தேடப்பட்டார். ஆனால், மக்களால் அவரைக் காண இயலவில்லை. அப்போது அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், இ(ப்போது வந்துபோன)வர் (வானவர்)ஜிப்ரீல் (அலை) அவர்கள்தாம். நீங்கள் என்னிடம் (விளக்கம்) கேட்க முற்படாதபோது, (தம் வாயிலாக) நீங்கள் விளக்கம் பெற வேண்டும் என அவர் விரும்பினார். (அதற்காகவே அவர் வந்தார்)" என்று கூறினார்கள். அத்தியாயம் :
chapter||
hadith|11a|
hadith|11b|மேற்கண்ட ஹதீஸ் மேலும் இரு அறிவிப்பாளர்தொடர்கள் வழியாகவும் வந்துள்ளது. ஆயினும், (அவற்றின் இறுதியில்) "அவருடைய தந்தை மீதாணையாக! அவர் (தாம் கூறியதில்) உண்மையாளராக இருந்தால் வெற்றியடைந்துவிட்டார்" அல்லது "அவருடைய தந்தை மீதாணையாக! அவர் (தாம் கூறியதில்) உண்மையாளராக இருந்தால் சொர்க்கத்தில் நுழைந்துவிட்டார்" என்று அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள் கூறியதாக இடம்பெற்றுள்ளது. அத்தியாயம் :
chapter||
hadith|12a|
hadith|12b|ஸாபித் அல்புனானீ (ரஹ்) அவர்கள் கூறியதாவது: அனஸ் (ரலி) அவர்கள்,அல்லாஹ்வின் தூதர் (ஸல்) அவர்களிடம் (அவசியமற்ற) சில விஷயங்கள் தொடர்பாகக் கேள்வி கேட்கக்கூடாதென நாங்கள் குர்ஆன் மூலம் தடை விதிக்கப்பெற்றிருந்தோம்" என்று கூறிவிட்டு, மேற்கண்ட ஹதீஸைப் போன்றே தொடர்ந்து அறிவித்தார்கள். அத்தியாயம் :
chapter||
hadith|13a|
hadith|13b|மேற்கண்ட ஹதீஸ் மேலும் நான்கு அறிவிப்பாளர்தொடர்கள் வழியாகவும் அறிவிக்கப்பட்டுள்ளது. அத்தியாயம் :
hadith|14a|
hadith|14b|அபூஹுரைரா (ரலி) அவர்கள் கூறியதாவது: கிராமவாசி ஒருவர் அல்லாஹ்வின் தூதர் (ஸல்) அவர்களிடம் வந்து, அல்லாஹ்வின் தூதரே! எனக்கு ஒரு (நற்)செயலை அறிவியுங்கள்! நான் அதைச் செயல்படுத்தினால் சொர்க்கத்திற்குச் செல்ல வேண்டும்" என்று கூறினார். நபி (ஸல்) அவர்கள், அல்லாஹ்வையே நீங்கள் வழிபட வேண்டும்; அவனுக்கு எதையும் நீங்கள் இணையாக்கக் கூடாது; கடமையாக்கப்பட்ட தொழுகையை நீங்கள் கடைப்பிடிக்க வேண்டும்; கடமையாக்கப் பட்ட ஸகாத்தை நிறைவேற்ற வேண்டும்; ரமளான் மாதத்தில் நோன்பு நோற்க வேண்டும்" என்று கூறினார்கள். அதற்கு அந்த மனிதர், என் உயிர் எவன் கையிலுள்ளதோ அவன்மீது சத்தியமாக! ஒரு போதும் இதைவிட அதிகமாக எதையும் நான் செய்யமாட்டேன்; இதிலிருந்து எதையும் நான் குறைக்கவும் மாட்டேன்" என்று கூறினார். அவர் திரும்பிச் சென்றதும் நபி (ஸல்) அவர்கள், சொர்க்கவாசிகளில் ஒருவரைப் பார்ப்பது யாருக்கு மகிழ்ச்சி அளிக்குமோ அவர் (இதோ!) இவரைப் பார்த்துக்கொள்ளட்டும்" என்று கூறினார்கள். அத்தியாயம் :
hadith|15a|
hadith|15b|மேற்கண்ட ஹதீஸ் வேறு இரு அறிவிப்பாளர் தொடர்கள் வழியாகவும் வந்துள்ளது. அவற்றில் நுஅமான் பின் கவ்கல் (ரலி) அவர்கள் இதைவிட அதிகமாக வேறெதையும் நான் செய்யமாட்டேன்" என்று கூறியதாகக் கூடுதலாக இடம்பெற்றுள்ளது. அத்தியாயம் :
hadith|15c|ஜாபிர் (ரலி) அவர்கள் கூறியதாவது: ஒரு மனிதர் அல்லாஹ்வின் தூதர் (ஸல்) அவர்களிடம், கடமையான தொழுகைகளை நான் தொழுது, ரமளான் மாதத்தில் நோன்பு நோற்று, (மார்க்கத்தில்) அனுமதிக்கப்பட்டவற்றை அனுமதிக்கப்பட்டவை என்றும் விலக்கப்பட்ட வற்றை விலக்கப்பட்டவை என்றும் ஏற்று வாழ்ந்து, இவற்றைவிட வேறெதையும் அதிகமாகச் செய்யாவிட்டாலும் நான் சொர்க்கத்தில் நுழைந்துவிடுவேனா?" என்று கேட்டார். அதற்கு நபி (ஸல்) அவர்கள் ஆம்" என்றார்கள். அந்த மனிதர் அல்லாஹ்வின் மீதாணையாக! இவற்றைவிட வேறெதையும் நான் அதிகமாகச் செய்யமாட்டேன்" என்று கூறினார். அத்தியாயம் :
chapter||
hadith|16a|
hadith|16b|
hadith|16c|
hadith|16d|தாவூஸ் (ரஹ்) அவர்கள் கூறியதாவது: (காரிஜிய்யா கூட்டத்தைச் சேர்ந்த) ஒருவர் அப்துல்லாஹ் பின் உமர் (ரலி) அவர்களிடம், "நீங்கள் அறப்போரில் கலந்துகொள்வதில்லையே (ஏன்)?" என்று கேட்டார். அதற்கு அப்துல்லாஹ் பின் உமர் (ரலி) அவர்கள், "அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள் (பின்வருமாறு) கூறக்கேட்டுள்ளேன்: நிச்சயமாக இஸ்லாம் ஐந்து (தூண்கள்)மீது நிறுவப்பட்டுள்ளது. (அவை:) அல்லாஹ்வைத் தவிர வேறு இறைவன் இல்லை என்று உறுதிமொழி அளிப்பது; தொழுகையைக் கடைப்பிடிப்பது; ஸகாத் வழங்குவது; ரமளான் மாதத்தில் நோன்பு நோற்பது; இறையில்லம் கஅபாவில் ஹஜ் செய்வது. (போரில் கலந்துகொள்வது இஸ்லாத்தின் அடிப்படைக் கடமைகளில் ஒன்றல்ல. அதிலும் இப்போது நடைபெறும் போர்கள் வெறும் அரசியல் காரணங்களுக்காகவே நடைபெற்றுக் கொண்டிருக்கின்றன)" என்று கூறினார்கள். அத்தியாயம் :
chapter||
hadith|17a|
hadith|17b|
hadith|17c|
hadith|18a|
hadith|18b|
hadith|18c|
chapter||
hadith|19a|
hadith|19b|
hadith|19c|அபூமஅபத் (நாஃபித்-ரஹ்) அவர்கள் கூறியதாவது: "நபி (ஸல்) அவர்கள் முஆத் (ரலி) அவர்களை யமன் நாட்டுக்கு அனுப்பியபோது "நீங்கள் ஒரு சமுதாயத்தாரிடம் செல்கிறீர்கள்..." என்று சொன்னார்கள்" எனத் தொடங்கும் மேற்கண்ட ஹதீஸை இப்னு அப்பாஸ் (ரலி) அவர்கள் முழுமையாக அறிவித்தார்கள். இந்த ஹதீஸ் இரு அறிவிப்பாளர்தொடர்கள் வழியாக வந்துள்ளது. அத்தியாயம் :
chapter||
hadith|20|
hadith|21a|
hadith|21b|
hadith|21c|
hadith|22|
hadith|23a|
hadith|23b|மேற்கண்ட ஹதீஸ் தாரிக் பின் அஷ்யம் (ரலி) அவர்களிடமிருந்தே வேறு இரு அறிவிப்பாளர் தொடர்கள் வழியாகவும் வந்துள்ளது. அதில் "யார் ஓரிறைக் கொள்கையை ஏற்று..." என்று ஹதீஸ் ஆரம்பிக்கிறது. அத்தியாயம் :
chapter||
hadith|24a|
hadith|24b|மேற்கண்ட ஹதீஸ் மேலும் சில அறிவிப்பாளர்தொடர்கள் வழியாகவும் வந்துள்ளது. அவற்றில், ஸாலிஹ் பின் கைசான் (ரஹ்) அவர்களது அறிவிப்பில் "அப்போது அல்லாஹ் வசனத்தை அருளினான்" என்று ஹதீஸ் முடிகிறது. அவ்விரு வசனங்களும் அந்த அறிவிப்பில் இடம்பெறவில்லை. மேலும், "அபூ ஜஹ்லும் அப்துல்லாஹ் பின் அபீஉமய்யாவும் தாம் முன்பு சொன்னதையே (அபூதாலிபிடம்) திரும்பத் திரும்பச் சொல்லிக் கொண்டிருந்தார்கள்" என்றும் இடம்பெற்றுள்ளது. மஅமர் (ரஹ்) அவர்களது அறிவிப்பில் இந்த இடத்தில் "அவ்விருவரும் அவரிடம் அதைச் சொல்லிக்கொண்டேயிருந்தார்கள்" என்று இடம்பெற்றுள்ளது. அத்தியாயம் :
hadith|25a|
hadith|25b|அபூஹுரைரா (ரலி) அவர்கள் கூறியதாவது: அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், தம் பெரிய தந்தை (அபூதாலிபின் மரண தறுவாயில்) அவர்களிடம், "லா இலாஹ இல்லல்லாஹ் என்று சொல்லுங்கள். இதை வைத்து உங்களுக்காக நான் மறுமைநாளில் சாட்சியம் கூறுவேன்" என்று கூறினார்கள். அதற்கு அவர், "பயம்தான் அவரை இவ்வாறு செய்யவைத்தது என்று என்னைப் பற்றிக் குறைஷியர் குறை கூறிவிடுவார்கள் என்ற அச்சம் எனக்கு இல்லையாயின் (ஏகத்துவ உறுதிமொழியான) இதைக் கூறி உம்முடைய கண்களை நான் குளிர வைத்திருப்பேன்" என்று கூறினார். அப்போதுதான் அல்லாஹ் "(நபியே!) நீங்கள் விரும்பியவரை (யெல்லாம்) நேர்வழியில் செலுத்திவிட முடியாது. மாறாக, அல்லாஹ்தான் தான் நாடியவர்களை நேர்வழியில் செலுத்துகிறான்" எனும் (28:56 ஆவது) வசனத்தை அருளினான். அத்தியாயம் :
chapter||
hadith|26a|
hadith|26b|
hadith|27a|
hadith|27b|
hadith|28a|
hadith|28b|
hadith|29|
hadith|30a|
hadith|30b|முஆத் பின் ஜபல் (ரலி) அவர்கள் கூறியதாவது: நான் அல்லாஹ்வின் தூதர் (ஸல்) அவர்களுக்குப் பின்னால் "உஃபைர்" என்றழைக்கப்பட்ட கழுதையின் மீது அமர்ந்திருந்தேன். அப்போது அவர்கள், "முஆத்! அல்லாஹ்வுக்கு அடியார்கள் மீதுள்ள உரிமை என்ன? அடியார்களுக்கு அல்லாஹ்வின் மீதுள்ள உரிமை என்ன என்பதை நீர் அறிவீரா?" என்று (என்னிடம்) கேட்டார்கள். நான், "அல்லாஹ்வும் அவனுடைய தூதருமே நன்கறிந்தவர்கள்" என்று பதில் கூறினேன். அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள், "அடியார்கள்மீது அல்லாஹ்வுக்குள்ள உரிமை என்னவென்றால், அவர்கள் அவனையே வழிபட வேண்டும், அவனுக்கு எதையும் இணையாக்கக்கூடாது; அல்லாஹ்வின் மீது அடியார்களுக்குள்ள உரிமை யாதெனில், அவனுக்கு எதையும் இணைகற்பிக்காமலிருப்பவரை (மறுமையில்) அவன் வேதனை செய்யாமல் இருப்பதாகும்" என்று கூறினார்கள். நான், "அல்லாஹ்வின் தூதரே! நான் இந்த நற்செய்தியை மக்களுக்கு அறிவிக்கட்டுமா?" என்று கேட்டேன். அதற்கு அவர்கள், "மக்களுக்கு இந்த நற்செய்தியை அறிவிக்காதீர்கள். அவர்கள் இதையே நம்பி (நற்செயல்களில் ஈடுபடாமல்) இருந்துவிடுவார்கள்"என்று பதிலளித்தார்கள். இதை அம்ர் பின் மைமூன் (ரஹ்) அவர்கள் அறிவிக்கிறார்கள். அத்தியாயம் :
hadith|30c|
hadith|30d|அல்அஸ்வத் பின் ஹிலால் (ரஹ்) அவர்கள் கூறியதாவது: முஆத் (ரலி) அவர்கள், "என்னை அல்லாஹ்வின் தூதர் (ஸல்) அவர்கள் அழைத்தார்கள். நான் அவர்களுக்கு பதிலளித்தேன். அப்போது அவர்கள் "மனிதர்கள்மீது அல்லாஹ்வுக்குள்ள உரிமை என்ன என்பதை நீர் அறிவீரா?" என்று கேட்டார்கள்". (இவ்வாறு கூறிவிட்டு) மேற்கண்ட ஹதீஸிலுள்ளதைப் போன்றே அறிவித்தார்கள். அத்தியாயம் :
