collection||Sahih Muslim
hadith|10|Telah menceritakan kepada kami [Zuhair bin Harb] telah menceritakan kepada kami [Jarir] dari [Umarah] -yaitu Ibnu al-Qa'qa'- dari [Abu Zur'ah] dari [Abu Hurairah] dia berkata, "Rasulullah shallallahu 'alaihi wasallam bersabda: 'Kalian bertanyalah kepadaku'. Namun mereka takut dan segan untuk bertanya kepada beliau. Maka seorang laki-laki datang lalu duduk di hadapan kedua lutut beliau, laki-laki itu bertanya, 'Wahai Rasulullah, apakah Islam itu? ' Beliau menjawab, 'Islam adalah kamu tidak menyekutukan Allah dengan sesuatu apa pun, mendirikan shalat, membayar zakat, dan berpuasa Ramadlan.' Dia berkata, 'Kamu benar.' Lalu dia bertanya lagi, 'Wahai Rasulullah, apakah iman itu? ' Beliau menjawab, 'Kamu beriman kepada Allah, malaikat-Nya, kitab-Nya, beriman kepada kejadian pertemuan dengan-Nya, beriman kepada para Rasul-Nya, dan kamu beriman kepada hari kebangkitan serta beriman kepada takdir semuanya'. Dia berkata, 'Kamu benar'. Lalu dia bertanya lagi, 'Wahai Rasulullah, apakah ihsan itu? ' Beliau menjawab, 'Kamu takut (khasyyah) kepada Allah seakan-akan kamu melihat-Nya, maka jika kamu tidak melihat-Nya maka sesungguhnya Dia melihatmu.' Dia berkata, 'Kamu benar'. Lalu dia bertanya lagi, 'Wahai Rasulullah, kapankah hari kiamat itu? ' Beliau menjawab, 'Tidaklah orang yang ditanya tentangnya lebih mengetahui jawaban-Nya daripada orang yang bertanya, akan tetapi aku akan menceritakan kepadamu tentang tanda-tandanya; yaitu bila kamu melihat hamba wanita melahirkan tuan-Nya. Itulah salah satu tanda-tandanya. (Kedua) bila kamu melihat orang yang tanpa alas kaki telanjang, tuli, bisu menjadi pemimpin (manusia) di bumi. Itulah salah satu tanda-tandanya. (Ketiga) apabila kamu melihat penggembala kambing saling berlomba tinggi-tinggian dalam (mendirikan) bangunan. Itulah salah satu tanda-tandanya dalam lima tanda-tanda dari kegaiban, tidak ada yang mengetahuinya kecuali Allah, " kemudian beliau membaca: '(Sesungguhnya Allah, hanya pada sisi-Nya sajalah pengetahuan tentang Hari Kiamat; dan Dia-lah Yang menurunkan hujan, dan mengetahui apa yang ada dalam rahim.Dan tiada seorangpun yang dapat mengetahui (dengan pasti) apa yang akan diusahakan-Nya besok. Dan tiada seorangpun yang dapat mengetahui di bumi mana dia akan mati.Sesungguhnya Allah Maha Mengetahui lagi Maha Mengenal) " (Qs. Luqman: 34). Kemudian laki-laki tersebut bangun (mengundurkan diri), maka Rasulullah shallallahu 'alaihi wasallam bersabda: "Panggillah dia menghadapku! ' Maka dia dicari, namun mereka tidak mendapatkan-Nya. Maka Rasulullah shallallahu 'alaihi wasallam bersabda: "Laki-laki ini adalah Jibril yang berkeinginan agar kalian mempelajari (agama) karena kalian tidak bertanya
chapter||
hadith|11a|
hadith|11b|
chapter||
hadith|12a|
hadith|12b|
chapter||
hadith|13a|
hadith|13b|
hadith|14a|
hadith|14b|Dan telah menceritakan kepadaku [Abu Bakar bin Ishaq] telah menceritakan kepada kami [Affan] telah menceritakan kepada kami [Wuhaib] telah menceritakan kepada kami [Yahya bin Sa'id] dari [Abu Zur'ah] dari [Abu Hurairah] bahwa seorang Badui mendatangi Rasulullah shallallahu 'alaihi wasallam seraya berkata, 'Wahai Rasulullah shallallahu 'alaihi wasallam, tunjukkanlah kepadaku pada suatu amalan yang mana jika aku mengamalkannya niscaya aku masuk surga? ' Beliau menjawab: 'Kamu menyembah Allah, tidak mensyirikkan-Nya dengan sesuatu apa pun, mendirikan shalat yang wajib, menunaikan zakat yang fardlu, dan berpuasa Ramadlan.' Dia berkata, 'Demi Dzat yang jiwaku berada di Tangan-Nya, aku tidak akan menambah atas ini sedikit pun selamanya dan tidak pula mengurangi darinya.' Ketika dia pamit pergi, maka Rasulullah bersabda: "Barangsiapa ingin melihat seorang laki-laki dari penduduk surga maka hendaklah dia melihat kepadanya
hadith|15a|
hadith|15b|
hadith|15c|Telah menceritakan kepadaku [Salamah bin Syabib] telah menceritakan kepada kami [al-Hasan bin A'yan] telah menceritakan kepada kami [Ma'qil] -yaitu Ibnu Ubaidullah- dari [Abu az-Zubair] dari [Jabir] bahwa seorang laki-laki bertanya kepada Rasulullah shallallahu 'alaihi wasallam, "Apa pendapatmu bila saya melaksanakan shalat-shalat wajib, berpuasa Ramadlan, menghalalkan sesuatu yang halal, dan mengharamkan sesuatu yang haram, namun aku tidak menambahkan suatu amalan pun atas hal tersebut, apakah aku akan masuk surga?" Rasulullah menjawab: "Ya." Dia berkata, "Demi Allah, aku tidak akan menambahkan atas amalan tersebut sedikit pun
chapter||
hadith|16a|
hadith|16b|Telah menceritakan kepada kami [Sahl bin Utsman al-Askari] telah menceritakan kepada kami [Yahya bin Zakariya] telah menceritakan kepada kami [Sa'ad bin Thariq] dia berkata, telah menceritakan kepadaku [Sa'ad bin Ubaidah as-Sulami] dari [Ibnu Umar] dari Nabi shallallahu 'alaihi wasallam, beliau berkata: "Islam didirikan di atas lima dasar: Yaitu agar Allah disembah dan agar selainnya dikufurkan, mendirikan shalat, menunaikan zakat, haji di Baitullah, dan berpuasa Ramadlan
hadith|16c|Telah menceritakan kepada kami [Ubaidullah bin Mu'adz] telah menceritakan kepada kami [bapakku] telah menceritakan kepada kami [Ashim] -yaitu Ibnu Muhammad bin Zaid bin Abdullah bin Umar- dari [bapaknya] dia berkata; [Abdullah] berkata, "Rasulullah shallallahu 'alaihi wasallam bersabda: "Islam dibangun atas lima dasar: Yaitu persaksian bahwa tidak ada tuhan (yang berhak disembah) melainkan Allah, bahwa Muhammad adalah hamba dan Rasul-Nya, mendirikan shalat, menunaikan zakat, berhaji ke Baitullah, dan berpuasa Ramadlan
hadith|16d|Dan telah menceritakan kepadaku [Ibnu Numair] telah menceritakan kepada kami [bapakku] telah menceritakan kepada kami [Hanzhalah] dia berkata, "Saya mendengar [Ikrimah bin Khalid] menceritakan hadits kepada Thawus bahwa seorang laki-laki berkata kepada [Abdullah bin Umar], 'Mengapa kamu tidak berperang? ' Dia menjawab, 'Sesungguhnya aku mendengar Rasulullah shallallahu 'alaihi wasallam berkata: 'Sesungguhnya Islam didirikan di atas lima dasar: Persaksian bahwa tidak ada tuhan (yang berhak disembah selain Allah, mendirikan shalat, menunaikan zakat, berpuasa Ramadlan, dan berhaji ke Baitullah)
chapter||
hadith|17a|
hadith|17b|Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] dan [Muhammad bin al-Mutsanna] dan [Muhammad bin Basysyar] dan lafazh mereka saling berdekatan, [Abu Bakar] berkata, telah menceritakan kepada kami [Ghundar] dari [Syu'bah] sedangkan dua orang lainnya berkata, telah menceritakan kepada kami [Muhammad bin Ja'far] telah menceritakan kepada kami [Syu'bah] dari [Abu Jamrah] dia berkata, "Aku menjadi penerjemah antara [Ibnu Abbas] dan orang-orang, lalu seorang wanita datang bertanya tentang perasan nabidz (semacam arak) yang disimpan dalam bejana dari tembikar, maka dia menjawab, 'Sesungguhnya utusan Abd al-Qais mendatangi Rasulullah shallallahu 'alaihi wasallam, maka Rasulullah bersabda: "Siapakah utusan itu -atau siapakah kaum itu? - mereka menjawab, 'Rabi'ah'. Beliau bersabda: "Selamat datang kaum itu -atau utusan itu- tanpa perlu sungkan dan menyesal.' Perawi berkata, 'Meraka berkata, 'Wahai Rasulullah, sesungguhnya kami mendatangimu dari tempat yang jauh. Di antara kita dan Anda ada kaum kafir Mudlar sehingga kita tidak bisa mendatangimu kecuali pada bulan haram, maka perintahkanlah kepada kami suatu perkara pemutus agar kami beritahukan kepada kaum yang kami pimpin yang dengannya kita bisa masuk surga.' Perawi berkata, 'Maka Rasulullah memerintahkan mereka empat perkara dan melarang mereka empat perkara.' Perawi berkata lagi, 'Rasulullah memerintahkan mereka untuk beriman kepada Allah semata seraya berkata, 'Apakah kalian tahu apa itu iman kepada Allah? ' Mereka menjawab, 'Allah dan Rasul-Nya lebih tahu.' Beliau bersabda: "Persaksian bahwa tidak ada tuhan selain Allah, dan bahwa Muhammad utusan Allah, mendirikan shalat, membayarkan zakat, berpuasa Ramadlan, dan membayarkan seperlima ghanimah, dan melarang kalian dari ad-Duba`, al-Hantam dan al-Muzaffat." Syu'bah berkata, "boleh jadi beliau bersabda 'an-Naqir' dan boleh jadi 'al-Muqayyar', beliau bersabda: "Jagalah ia dan kabarkanlah kepada kaummu.' Abu Bakar menyebutkan dalam riwayatnya, 'Orang yang kamu pimpin di belakangmu' tanpa menyebutkan 'al-Muqayyar'." Dan telah menceritakan kepadaku [Ubaidullah bin Mu'adz] telah menceritakan kepada kami [bapakku]. (dalam riwayat lain disebutkan) Dan telah menceritakan kepada kami [Nashr bin Ali al-Jahdlami] dia berkata, telah mengabarkan kepadaku [bapakku] keduanya berkata, telah menceritakan kepada kami [Qurrah bin Khalid] dari [Abu Jamrah] dari [Ibnu Abbas] dari Nabi shallallahu 'alaihi wasallam dengan hadits ini semisal dengan hadits [Syu'bah], seraya bersabda: "Aku melarang kalian dari sesuatu yang diperas dalam ad-Duba`, an-Naqir, al-Hantam dan al-Muzaffat." Dan [Ibnu Mu'adz] menambahkan dalam haditsnya dari [bapaknya], dia berkata, 'Dan Rasulullah shallallahu 'alaihi wasallam bersabda kepada al-Asyyaj Asyajj Abd al-Qais: 'Sesungguhnya dalam dirimu ada dua karakter yang disukai oleh Allah, yaitu sabar dan berhati-hati
hadith|17c|
hadith|18a|
hadith|18b|
hadith|18c|Telah menceritakan kepadaku [Muhammad bin Bakkar al-Bashri] telah menceritakan kepada kami [Abu Ashim] dari [Ibnu Juraij]. (dalam riwayat lain disebutkan), Dan telah menceritakan kepadaku [Muhammad bin Rafi'] dan lafazh tersebut miliknya. Telah menceritakan kepada kami [Abdurrazzaq] telah mengabarkan kepada kami [Ibnu Juraij] dia berkata, telah mengabarkan kepada kami [Abu Qaza'ah] bahwa [Abu Nadlrah] mengabarkannya, dan al-Hasan mengabarkan kepada keduanya, bahwa [Abu Sa'id al-Khudri] mengabarkan kepadanya, bahwa utusan Abdul Qais ketika mendatangi Nabi Allah shallallahu 'alaihi wasallam berkata, "Wahai Nabi Allah, semoga Allah menjadikan kami sebagai tebusanmu, minuman apa yang baik bagi kami?" Beliau menjawab: "Janganlah kalian minum pada an-Naqir." Mereka bertanya, "Wahai Nabi Allah, semoga Allah menjadikan kami sebagai tebusanmu, apakah kamu tahu apakah an-Naqir itu?" Beliau menjawab: "Ya, batang pohon yang diukir bagian tengahnya, dan janganlah kamu minum dalam ad-Duba` atau dalam al-Hantam, dan hendaklah kalian (minum minuman yang disimpan pada) wadah yang kepalanya ditutup
chapter||
hadith|19a|
hadith|19b|
hadith|19c|Telah menceritakan kepada kami [Umayyah bin Bistham al-Aisyi] telah menceritakan kepada kami [Yazid bin Zura'i`] telah menceritakan kepada kami [Rauh] -yaitu Ibnu al-Qasim- dari [Ismail bin Umayyah] dari [Yahya bin Abdullah bin Shaifi] dari [Abu Ma'bad] dari [Ibnu Abbas] bahwa Rasulullah shallallahu 'alaihi wasallam ketika mengutus Mu'adz ke Yaman, beliau bersabda: "Sesungguhnya kamu menghadapi suatu kaum Ahli Kitab, maka hendakah pertama kali yang kalian dakwahkan kepada mereka adalah penyembahan kepada Allah azza wa jalla, apabila mereka mengenal Allah, maka beritahukanlah bahwa Allah mewajibkan kepada mereka shalat lima waktu pada siang dan malam mereka, apabila mereka melakukannya maka beritahukanlah kepada mereka bahwa Allah telah mewajibkan zakat atas mereka yang diambil dari orang kaya mereka lalu dibagikan kepada orang fakir mereka. Jika mereka menaatimu dengan hal tersebut, maka ambillah zakat dari mereka dan takutlah dari harta mulia mereka
chapter||
hadith|20|Telah menceritakan kepada kami [Qutaibah bin Sa'id] telah menceritakan kepada kami [Laits bin Sa'ad] dari [Uqail] dari [az-Zuhri] dia berkata, telah mengabarkan kepada kami [Ubaidullah bin Abdullah bin Utbah bin Mas'ud] dari [Abu Hurairah] dia berkata, "Ketika Rasulullah shallallahu 'alaihi wasallam meninggal dunia, dan Abu Bakar diangkat sebagai khalifah setelahnya, serta orang-orang kafir dari kalangan Arab melakukan kekufuran, maka [Umar bin al-Khaththab] berkata kepada Abu Bakar, 'Bagaimana mungkin kamu akan memerangi manusia, sementara Rasulullah shallallahu 'alaihi wasallam telah bersabda: "Aku diperintahkan untuk memerangi manusia hingga mereka mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka barangsiapa yang mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka sungguh dia telah menjaga harta dan jiwanya dari (seranganku) kecuali dengan hak Islam, dan hisabnya diserahkan kepada Allah.' Maka [Abu Bakar] berkata, 'Demi Allah, sungguh aku akan memerangi orang yang membedakan antara shalat dan zakat, karena zakat adalah (tuntuan) hak terhadap harta. Demi Allah, kalau mereka menghalangiku karena keengganan mereka sedangkan mereka pernah membayarnya kepada Rasulullah shallallahu 'alaihi wasallam, aku tetap akan memerangi mereka karena keengganan mereka.' Maka [Umar bin al-Khaththab] berkata, 'Demi Allah tidaklah dia melainkan bahwa aku melihat Allah telah melapangkan dada Abu Bakar untuk memerangi (mereka) lalu aku mengetahui bahwa ia adalah kebenaran
hadith|21a|
hadith|21b|Telah menceritakan kepada kami [Ahmad bin Abdah adl-Dlabbi] telah mengabarkan kepada kami [Abdul Aziz] -yaitu ad-Darawardi- dari [al-Ala']. (dalam riwayat lain disebutkan) Dan telah menceritakan kepada kami [Umayyah bin Bistham] dan lafazh tersebut miliknya, telah menceritakan kepada kami [Yazid bin Zura'i] telah menceritakan kepada kami [Rauh] dari [al-Ala' bin Abdurrahman bin Ya'qub] dari [bapaknya] dari [Abu Hurairah] dari Rasulullah shallallahu 'alaihi wasallam, beliau bersabda: "Aku diperintahkan untuk memerangi manusia hingga mereka bersaksi bahwa tidak ada tuhan (yang berhak disembah) melainkan Allah dan beriman kepadaku serta dengan al-Qur'an yang aku bawa, maka apabila mereka mengucapkan hal tersebut maka sungguh dia telah menjaga harta dan jiwanya dari (seranganku) kecuali disebabkan hak Islam. Dan hisab mereka diserahkan kepada Allah
hadith|21c|Telah menceritakan kepada kami [Abu Ghassan al-Misma'i Malik bin Abdul Wahid] telah menceritakan kepada kami [Abdul Malik bin ash-Shabbah] dari [Syu'bah] dari [Waqid bin Muhammad bin Zaid bin Abdullah bin Umar] dari [bapaknya] dari [Abdullah bin Umar] beliau bersabda: "Aku diperintahkan untuk memerangi manusia hingga mereka bersaksi bahwa tidak ada tuhan (yang berhak disembah) melainkan Allah dan bahwa Muhammad utusan Allah, mereka mendirikan shalat, dan menunaikan zakat. Maka apabila mereka melakukan hal tersebut, maka sungguh mereka telah menjaga harta dan jiwanya dari (seranganku), kecuali disebabkan hak Islam. Dan hisab mereka diserahkan kepada Allah
hadith|22|
hadith|23a|
hadith|23b|
chapter||
hadith|24a|
hadith|24b|
hadith|25a|
hadith|25b|Telah menceritakan kepada kami [Muhammad bin Hatim bin Maimun] telah menceritakan kepada kami [Yahya bin Sa'id] telah menceritakan kepada kami [Yazid bin Kaisan] dari [Abu Hazim al-Asyja'i] dari [Abu Hurairah] dia berkata, "Rasulullah shallallahu 'alaihi wasallam bersabda kepada pamannya ketika dia menjelang wafat: 'Katakanlah, 'Tidak ada tuhan (yang berhak disembah selian Allah' niscaya aku akan bersaksi untukmu dengan kalimat tersebut pada hari kiamat.' Dia menjawab, 'Kalau seandainya bukan karena kaum Quraisy mencelaku dengan perkataan mereka, 'Dia melakukan hal tersebut karena cemas', niscaya aku menyetujui kalimat tersebut dengan matamu.' Lalu Allah menurunkan: '(Sesungguhnya kamu tidak akan dapat memberi petunjuk kepada orang yang kamu kasihi akan tetapi aku memberi petunjuk kepada orang yang Dia kehendaki) ' (Qs. Al Qashash:)
chapter||
hadith|26a|
hadith|26b|Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] dan [Zuhair bin Harb] keduanya dari [Ismail bin Ibrahim], [Abu Bakar] berkata, telah menceritakan kepada kami [Ibnu Ulayyah] dari [Khalid] dia berkata, telah menceritakan kepada kami [al-Walid bin Muslim] dari [Humran] dari [Utsman] dia berkata, "Rasulullah shallallahu 'alaihi wasallam bersabda: "Barangsiapa meningggal sedangkan dia mengetahui bahwa tidak ada tuhan (yang berhak disembah) selain Allah, niscaya dia masuk surga." Telah menceritakan kepada kami [Muhammad bin Abu Bakar al-Muqaddami] telah menceritakan kepada kami [Bisyr bin al-Mufadldlal] telah menceritakan kepada kami [Khalid al-Hadzdza'] dari [al-Walid Abu Bisyr] dia berkata, aku mendengar [Humran] berkata, aku mendengar [Utsman] berkata, aku mendengar Rasulullah shallallahu 'alaihi wasallam bersabda sama seperti itu
hadith|27a|
hadith|27b|Telah menceritakan kepada kami [Sahl bin Utsman] dan [Abu Kuraib Muhammad bin al-Ala'] semuanya dari [Abu Muawiyah] berkata [Abu kuraib] telah menceritakan kepada kami [Abu Muawiyah] dari [al-A'masy] dari [Abu Shalih] dari [Abu Hurairah] atau -dari [Abu Sa'id], al-A'masy ragu-ragu- Abu Hurairah berkata, "Saat perang Tabuk, pasukan (kaum muslimin) mengalami rasa lapar yang sangat, mereka pun berkata, 'Wahai Rasulullah, sekiranya tuan izinkan kami untuk menyembelih unta kami, sehingga kami bisa memakan dagingnya dan menggunakan lemaknya sebagai minyak (melapisi kulit, untuk menjaga dari terik panas)? ' Rasulullah shallallahu 'alaihi wasallam menjawab: 'Lakukanlah.' Abu Hurairah berkata, "Lalu datanglah Umar seraya berkata, 'Wahai Rasulullah, jika itu engkau lakukan, maka punggung unta akan habis (kendaraan)! Tapi sebaiknya, tuan minta sisa makanan mereka yang masih ada kemudian tuan doakan, semoga Allah memberikan keberkahan padanya.' Rasulullah shallallahu 'alaihi wasallam lalu bersabda: "Baiklah." Kemudian beliau minta hamparan (terbuat dari kulit), setelah menggelarnya, beliau meminta sisa-sisa makanan mereka yang masih tersisa." Abu Hurairah melanjutkan, "Lalu ada seorang laki-laki yang datang dengan membawa segenggam jagung, ada juga yang datang dengan membawa segenggam kurma, dan sebagian lain datang dengan remukan-remukan (makanan, semisal roti), sehingga terkumpullah di atas hamparan kulit tersebut sedikit makanan. Abu Hurairah berkata, "Kemudian Rasulullah shallallahu 'alaihi wasallam mendoakan makanan tersebut dengan keberkahan, setelah itu beliau bersabda: 'Ambil dan isilah tempat makanan kalian'. Abu Hurairah melanjutkan, "Mereka kemudian memenuhi tempat perbekalan mereka, sehingga tidak seorang tentara pun kecuali tempat makanan mereka telah penuh terisi." Abu Hurairah melanjutkan, "Mereka kemudian memakannya hingga kenyang, dan makanan itu pun masih ada tersisa." Rasulullah shallallahu 'alaihi wasallam kemudian bersabda: "Aku bersaksi bahwa tidak ada tuhan yang berhak untuk disembah selain Allah dan aku ada utusan Allah, tidaklah seorang hamba berjumpa dengan Allah, ia tidak ragu dengan kalimat tersebut kemudian terhalang untuk masuk surga
hadith|28a|
hadith|28b|
hadith|29|Telah menceritakan kepada kami [Qutaibah bin Sa'id] telah menceritakan kepada kami [Laits] dari [Ibnu Ajlan] dari [Muhammad bin Yahya bin Habban] dari [Ibnu Muhairiz] dari [ash-Shunabihi] dari [Ubadah bin ash-Shamit] bahwa dia berkata, "Saay saya mengunjunginya dia dalam keadaan sakit, hingga aku pun menangis. Maka dia berkata, 'Tahan, kenapa kamu menangis? Demi Allah, jika aku mati syahid, maka aku bersaksi untukmu, dan jika aku diberi syafa'at maka aku memberikan syafa'at untukmu, serta jika aku mampu, maka aku memberikan manfaat untukmu.' Kemudian dia berkata, 'Demi Allah, tidaklah ada suatu hadits yang aku dengar dari Rasulullah shallallahu 'alaihi wasallam untuk kalian yang di dalamnya terdapat kebaikan melainkan pasti aku menceritakannya kepada kalian, kecuali satu hadits, dan saya akan menceritakan kepadamu pada hari ini. Dan sungguh aku meresapi hal tersebut pada diriku. Aku mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: "Barangsiapa bersaksi bahwa tidak ada tuhan (yang berhak disembah) selain Allah, dan bahwa Muhammad utusan Allah, niscaya Allah mengharamkan neraka atasnya
hadith|30a|
hadith|30b|Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] telah menceritakan kepada kami [Abu al-Ahwash Sallam bin Sulaim] dari [Abu Ishaq] dari [Amru bin Maimun] dari [Mu'adz bin Jabal] dia berkata, "Saya berada di boncengan Rasulullah di atas keledai yang dinamakan Ufair." Beliau lalu bersabda: "Wahai Mu'adz apakah kamu mengetahui apa hak Allah atas hamba dan hak hamba atas Allah.' Mu'adz berkata, 'Aku lalu menjawab, 'Allah dan Rasul-Nya lebih mengetahui.' Beliau bersabda: "Sesungguhnya hak Allah atas hamba adalah kalian menyembah Allah dan tidak mensyirikkan-Nya dengan sesuatu apa pun, dan hak hamba atas Allah adalah agar tidak disiksa orang yang tidak mensyirikkan-Nya dengan sesuatu apa pun.' Mu'adz berkata, 'Saya lalu berkata, 'Wahai Rasulullah, tidakkah boleh aku memberitakannya kepada manusia? ' Beliau menjawab: 'Jangan kamu memberitahukannya kepada mereka sehingga mereka bersandar kepadanya
hadith|30c|Telah menceritakan kepada kami [Muhammad bin al-Mutsanna] dan [Ibnu Basysyar], [Ibnu al-Mutsanna] berkata, telah menceritakan kepada kami [Muhammad bin Ja'far] telah menceritakan kepada kami [Syu'bah] dari [Abu Hushain] dan [al-Asy'ats bin Sulaim] bahwa keduanya mendengar [al-Aswad bin Hilal] menceritakan dari [Mu'adz bin Jabal] dia berkata, "Rasulullah shallallahu 'alaihi wasallam bersabda: "Wahai Mu'adz, apakah kamu mengetahui apa hak Allah atas hamba?" Mu'adz menjawab, 'Allah dan Rasul-Nya lebih mengetahui.' Beliau bersabda: "Yaitu Allah disembah tanpa dengan tidak menyekutukan-Nya dengan sesuatu pun." Beliau lalu bersabda lagi: "Lalu apa hak manusia atas Allah jika mereka melakukan itu?" Mu'adz menjawab, "Allah dan Rasul-Nya lebih tahu." Beliau lalu bersabda: "Allah tidak akan menyiksanya." Telah menceritakan kepada kami [al Qasim bin Zakariya] telah menceritakan kepada kami [Husain] dari [Zaidah] dari [Abu Hushain] dari [al Aswad bin Hilal] ia berkata; aku mendengar [Mua'dz] berkata, "Rasulullah shallallahu 'alaihi wasallam memanggilku, lalu aku menjawabnya. Beliau bertanya: "Apa hak Allah atas manusia…seperti hadits mereka
hadith|30d|
