collection||Sahih Muslim
hadith|10|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Interrogez-moi (sur les questions religieuses). » Mais les Compagnons n’osaient pas lui poser de questions. Un homme est alors venu, s’est assis près de ses genoux et a dit : « Ô Messager d’Allah, qu’est-ce que l’islam ? » Il a répondu : « C’est de n’associer rien à Allah, d’accomplir la prière, de donner la zakat et de jeûner le Ramadan. » L’homme a dit : « Tu as dit vrai. » Il a demandé : « Ô Messager d’Allah, qu’est-ce que la foi (iman) ? » Il a répondu : « C’est de croire en Allah, en Ses anges, en Ses Livres, en Sa rencontre, en Ses messagers, de croire à la Résurrection et au destin (qadr) dans son ensemble. » L’homme a dit : « Tu as dit vrai. » Il a demandé : « Ô Messager d’Allah, qu’est-ce que l’excellence (ihsan) ? » Il a répondu : « C’est d’adorer Allah comme si tu Le voyais, car même si tu ne Le vois pas, Lui te voit. » L’homme a dit : « Tu as dit vrai. » Il a demandé : « Quand viendra l’Heure (du Jugement) ? » Il a répondu : « Celui qui est interrogé n’en sait pas plus que celui qui interroge. Je vais cependant te raconter quelques-uns de ses signes : lorsque tu verras une esclave donner naissance à sa maîtresse, c’est un de ses signes. Lorsque tu verras les pieds nus, nus, sourds et muets (ignorants et pauvres) devenir les chefs de la terre, c’est un de ses signes. Lorsque tu verras les bergers de chameaux noirs rivaliser dans la construction de bâtiments, c’est un de ses signes. L’Heure fait partie des cinq choses de l’inconnaissable, que seul Allah connaît. » Puis il a récité : « En vérité, la connaissance de l’Heure est auprès d’Allah seul. C’est Lui qui fait descendre la pluie et qui sait ce qu’il y a dans les matrices. Nul ne sait ce qu’il acquerra demain, et nul ne sait dans quelle terre il mourra. Allah est Omniscient, Parfaitement Connaisseur. » (Coran 31:34) Abu Huraira a dit : L’homme s’est alors levé et est parti. Le Messager d’Allah ﷺ a dit : « Ramenez-le-moi. » On l’a cherché, mais on ne l’a pas trouvé. Le Messager d’Allah ﷺ a alors dit : « C’était Gabriel, il est venu vous enseigner votre religion, car vous n’osiez pas poser de questions. »
chapter||
hadith|11a|
hadith|11b|Un autre hadith, similaire à celui rapporté par Mālik bin Anas, est aussi rapporté par Talha b. ‘Ubaidullah رضي الله عنه, avec seulement cette différence : le Prophète ﷺ a dit : « Par son père, il réussira s’il est sincère dans ce qu’il affirme », ou : « Par son père, il entrera au Paradis s’il est sincère dans ce qu’il affirme. »
chapter||
hadith|12a|
hadith|12b|Rapporté par Thabit d’après Anas رضي الله عنه : Nous avions reçu dans le Coran l’interdiction de poser des questions au Messager d’Allah ﷺ, puis Anas rapporta le hadith avec des mots similaires
chapter||
hadith|13a|
hadith|13b|Rapporté par Muhammad ibn Hatim d’après Abu Ayyub al-Ansari رضي الله عنه : (Hadith identique au précédent)
hadith|14a|
hadith|14b|Rapporté par Abu Huraira رضي الله عنه : Un bédouin est venu voir le Messager d’Allah ﷺ et a dit : « Ô Messager d’Allah, indique-moi une action qui me permettra d’entrer au Paradis. » Le Prophète ﷺ répondit : « Adore Allah sans rien Lui associer, accomplis la prière obligatoire, donne la Zakat qui t’est due et jeûne le mois de Ramadan. » Le bédouin dit : « Par Celui qui détient ma vie, je n’ajouterai rien à cela et je n’en retirerai rien. » Quand il partit, le Prophète ﷺ dit : « Celui qui veut voir un homme du Paradis, qu’il le regarde. »
hadith|15a|
hadith|15b|Rapporté par Jabir رضي الله عنه : Un hadith similaire est rapporté, avec en plus ces paroles : « Je ne ferai rien de plus. »
hadith|15c|Rapporté par Jabir رضي الله عنه : Un homme a dit un jour au Messager d’Allah ﷺ : « Est-ce que j’entrerai au Paradis si j’accomplis les prières obligatoires, si je jeûne le Ramadan, si je considère comme licite ce qu’Allah a permis et si je m’abstiens de ce qui est interdit, sans rien y ajouter ? » Le Prophète ﷺ répondit : « Oui. » L’homme dit : « Par Allah, je n’y ajouterai rien. »
chapter||
hadith|16a|
hadith|16b|Rapporté par ‘Abdullah ibn ‘Umar رضي الله عنهما : Le Prophète ﷺ a dit : « L’islam est bâti sur cinq piliers : adorer Allah seul et rejeter tout autre dieu, accomplir la prière, donner la Zakat, faire le pèlerinage à la Maison et jeûner le Ramadan. »
hadith|16c|Rapporté par ‘Abdullah ibn ‘Umar رضي الله عنهما : Le Messager d’Allah ﷺ a dit : « L’islam est bâti sur cinq piliers : attester qu’il n’y a pas d’autre dieu qu’Allah et que Muhammad est Son serviteur et messager, accomplir la prière, donner la Zakat, faire le pèlerinage à la Maison (Ka’bah) et jeûner le Ramadan. »
hadith|16d|Rapporté par Ta’us : Un homme a dit à ‘Abdullah ibn ‘Umar رضي الله عنه : « Pourquoi ne participes-tu pas à une expédition militaire ? » Il répondit : « J’ai entendu le Messager d’Allah ﷺ dire : “L’islam est fondé sur cinq piliers : attester qu’il n’y a pas d’autre dieu qu’Allah, accomplir la prière, donner la Zakat, jeûner le Ramadan et faire le pèlerinage à la Maison.” »
chapter||
hadith|17a|
hadith|17b|Rapporté par Abu Jamra : J’étais l’interprète entre Ibn ‘Abbas et les gens, lorsqu’une femme est venue demander au sujet du nabidh ou de la cruche de vin. Il répondit : Une délégation du peuple d’Abdul Qais est venue voir le Messager d’Allah ﷺ. Le Prophète ﷺ leur demanda qui ils étaient, et ils répondirent qu’ils étaient de la tribu de Rabi’a. Il les accueillit chaleureusement, sans les humilier ni les rabaisser. Ils dirent : « Ô Messager d’Allah, nous venons de loin, et il y a entre toi et nous une tribu de mécréants de Mudar, donc nous ne pouvons venir te voir que pendant les mois sacrés. Indique-nous un commandement clair que nous pourrons transmettre à ceux qui ne sont pas venus et qui nous fera entrer au Paradis. » Le Prophète ﷺ répondit : « Je vous ordonne quatre choses et vous en interdis quatre autres. Je vous ordonne de croire en Allah seul. Savez-vous ce que cela signifie ? » Ils dirent : « Allah et Son Messager savent mieux. » Le Prophète ﷺ dit : « C’est attester qu’il n’y a pas d’autre dieu qu’Allah et que Muhammad est le messager d’Allah, accomplir la prière, donner la Zakat, jeûner le Ramadan, donner le cinquième du butin qui vous revient. Je vous interdis d’utiliser la gourde, la jarre à vin ou tout récipient pour le vin. » Parfois, Shu’ba rapportait le mot naqir (pot en bois), parfois muqayyar. Le Prophète ﷺ ajouta : « Retenez cela et transmettez-le à ceux qui sont absents. »
hadith|17c|Rapporté par Ibn ‘Abbas رضي الله عنهما : Un autre hadith similaire est rapporté par Shu’ba, où le Prophète ﷺ dit : « Je vous interdis de préparer du nabidh dans une gourde, un bloc de bois creusé, une jarre vernie ou un récipient. » Ibn Mu’adh ajoute que le Messager d’Allah ﷺ a dit à Ashajj, de la tribu d’Abdul Qais : « Tu possèdes deux qualités qu’Allah aime : la clairvoyance et la réflexion. »
hadith|18a|
hadith|18b|Le hadith précédent est rapporté avec une chaîne différente et des mots légèrement différents
hadith|18c|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Lorsque la délégation de la tribu d’Abdul Qais est venue voir le Prophète d’Allah ﷺ, ses membres ont dit : « Ô Messager d’Allah, qu’Allah nous donne la force de donner nos vies pour toi, quelle boisson nous est permise ? » Le Prophète ﷺ répondit : « (Avant même de parler des boissons), je vous recommande de ne pas boire dans les jarres à vin. » Ils dirent : « Ô Messager d’Allah, qu’Allah nous donne la force de donner nos vies pour toi, sais-tu ce qu’est al-naqir ? » Le Prophète ﷺ répondit : « Oui, c’est un tronc que vous creusez au milieu. » Il ajouta : « N’utilisez ni gourde ni récipient (pour boire). Utilisez une outre dont l’ouverture est attachée avec une lanière. »
chapter||
hadith|19a|
hadith|19b|Le hadith précédent est rapporté avec une chaîne différente et un début légèrement différent, puis la suite est la même
hadith|19c|Rapporté par Ibn ‘Abbas رضي الله عنهما : Lorsque le Messager d’Allah ﷺ a envoyé Mu’adh au Yémen comme gouverneur, il lui a dit : « Tu vas rencontrer un peuple des gens du Livre. La première chose à laquelle tu dois les appeler, c’est l’adoration d’Allah, qu’Il soit glorifié. Lorsqu’ils reconnaissent Allah, informe-les qu’Il leur a prescrit cinq prières chaque jour et chaque nuit. Quand ils les accomplissent, informe-les qu’Allah a rendu la Zakat obligatoire pour eux, à prélever sur les riches et à distribuer aux pauvres. Quand ils acceptent cela, prélève-la et évite de choisir le meilleur de leurs biens. »
chapter||
hadith|20|Rapporté par Abu Huraira رضي الله عنه : Lorsque le Messager d’Allah ﷺ est décédé et qu’Abu Bakr est devenu calife, certains Arabes voulurent quitter l’islam. ‘Umar ibn al-Khattab dit à Abu Bakr : « Pourquoi veux-tu combattre ces gens alors que le Messager d’Allah a dit : “J’ai reçu l’ordre de combattre les gens jusqu’à ce qu’ils disent : Il n’y a pas d’autre dieu qu’Allah, et celui qui le dit a la protection de ses biens et de sa vie de ma part, sauf pour un droit. Le reste de ses affaires dépend d’Allah.” » Abu Bakr répondit : « Par Allah, je combattrai quiconque sépare la prière de la Zakat, car la Zakat est une obligation pour les riches. Par Allah, je les combattrai même pour récupérer la corde qu’ils donnaient au Messager d’Allah comme Zakat, mais qu’ils refusent maintenant de donner. » ‘Umar ibn al-Khattab déclara : « Par Allah, j’ai compris qu’Allah avait ouvert le cœur d’Abu Bakr pour comprendre la nécessité de combattre (ceux qui refusent de payer la Zakat), et j’ai reconnu que sa position était juste. »
hadith|21a|
hadith|21b|Rapporté par Abu Huraira رضي الله عنه : Il a entendu le Messager d’Allah ﷺ dire : « J’ai reçu l’ordre de combattre les gens jusqu’à ce qu’ils attestent qu’il n’y a pas d’autre dieu qu’Allah, qu’ils croient en moi comme messager et en tout ce que j’ai apporté. Lorsqu’ils le font, leur sang et leurs biens sont protégés de ma part, sauf si la loi l’exige, et le reste de leurs affaires dépend d’Allah. »
hadith|21c|Rapporté par Jabir رضي الله عنه : Le Messager d’Allah ﷺ a dit : « J’ai reçu l’ordre de combattre les gens jusqu’à ce qu’ils déclarent qu’il n’y a de dieu qu’Allah. Lorsqu’ils l’affirment, leur vie et leurs biens sont protégés de ma part, sauf si la loi l’exige autrement, et leur sort dépend d’Allah. » Puis il a récité ce verset du Coran : « Tu n’es pas leur gardien » (Coran 88:)
hadith|22|Rapporté par Abdullah ibn Umar رضي الله عنه : Le Messager d’Allah ﷺ a dit : « J’ai reçu l’ordre de combattre les gens jusqu’à ce qu’ils témoignent qu’il n’y a de dieu qu’Allah, que Muhammad est le messager d’Allah, qu’ils accomplissent la prière et qu’ils versent la Zakat. S’ils le font, leur vie et leurs biens sont protégés de ma part, sauf si la loi l’exige autrement, et leur sort dépend d’Allah. »
hadith|23a|
hadith|23b|Rapporté par Abu Malik رضي الله عنه, d’après son père : Il a entendu le Prophète ﷺ dire : « Celui qui croit en l’unicité d’Allah… » puis il a rapporté ce qui a été mentionné précédemment
chapter||
hadith|24a|
hadith|24b|Rapporté par Sa’id ibn Musayyib, d’après une autre chaîne : Le même hadith est rapporté par une autre chaîne, mais il s’arrête là où il est mentionné qu’Allah a révélé les versets, sans citer ces versets. Il y a aussi une légère différence dans les mots
hadith|25a|
hadith|25b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit à son oncle au moment de sa mort : « Dis qu’il n’y a de dieu qu’Allah et je témoignerai en ta faveur au Jour du Jugement. » Abu Talib répondit : « Si je n’avais pas peur que les Quraysh me reprochent d’avoir accepté par crainte de la mort, j’aurais fait ce qui t’aurait réjoui. » C’est alors qu’Allah révéla : « Tu ne guides pas celui que tu aimes, mais c’est Allah qui guide qui Il veut, et Il connaît mieux ceux qui sont bien guidés » (Coran 28:)
chapter||
hadith|26a|
hadith|26b|Rapporté par Humran رضي الله عنه : Il a entendu Uthman dire : « J’ai entendu le Messager d’Allah ﷺ prononcer ces paroles (comme mentionné ci-dessus). »
hadith|27a|
hadith|27b|Rapporté par Abu Huraira رضي الله عنه ou Abu Sa’id al-Khudri رضي الله عنه : Lors de l’expédition de Tabuk, les provisions vinrent à manquer et les hommes souffraient de la faim. Ils dirent : « Ô Messager d’Allah, permets-nous d’abattre nos chameaux pour nous nourrir et utiliser leur graisse. » Le Prophète ﷺ répondit : « Faites comme vous voulez. » Umar intervint : « Si tu acceptes, il ne restera plus d’animaux pour monter. Je te propose de rassembler les provisions restantes et d’invoquer la bénédiction d’Allah dessus. » Le Prophète ﷺ accepta, fit étendre une natte, et chacun apporta ce qu’il avait : un peu de blé, de dattes, de pain… On rassembla tout cela, puis le Prophète ﷺ invoqua la bénédiction d’Allah et dit : « Remplissez vos récipients. » Ils les remplirent tous, et il n’y eut personne dans l’armée (environ 30 000 hommes) qui resta sans provisions. Ils mangèrent à satiété, et il en resta encore. Le Prophète ﷺ dit alors : « J’atteste qu’il n’y a de dieu qu’Allah et que je suis le messager d’Allah. Celui qui rencontre son Seigneur sans douter de ces deux vérités n’entrera jamais en enfer. »
hadith|28a|
hadith|28b|Rapporté par Umar ibn Hani رضي الله عنه : Avec la même chaîne de transmission, il est rapporté que : « Allah lui permettra d’entrer au Paradis par l’une des huit portes qu’il voudra. »
hadith|29|Rapporté par Sunabihi رضي الله عنه : Il est allé voir Ubadah ibn Samit alors qu’il était sur le point de mourir. J’ai fondu en larmes. Il m’a dit : « Laisse-moi un moment. Pourquoi pleures-tu ? Par Allah, si l’on me demandait de témoigner pour toi, je le ferais. Si l’on me demandait d’intercéder pour toi, je le ferais. Si je le pouvais, je te ferais du bien. Par Allah, je n’ai jamais entendu du Messager d’Allah ﷺ quelque chose qui pourrait t’être utile sans te le transmettre, sauf ce hadith que je vais te raconter aujourd’hui, car je sens que je vais mourir. J’ai entendu le Messager d’Allah ﷺ dire : “Celui qui atteste qu’il n’y a de dieu qu’Allah et que Muhammad est le messager d’Allah, Allah lui interdira le feu de l’Enfer.” »
hadith|30a|
hadith|30b|Rapporté par Mu’adh ibn Jabal رضي الله عنه : J’étais assis derrière le Messager d’Allah ﷺ sur un âne appelé ‘Ufair. Il m’a dit : « Mu’adh, sais-tu quel est le droit d’Allah sur Ses serviteurs et le droit des serviteurs sur Allah ? » Je répondis : « Allah et Son Messager savent mieux. » Il dit : « Le droit d’Allah sur Ses serviteurs est qu’ils L’adorent sans rien Lui associer, et le droit des serviteurs sur Allah, le Glorieux et Sublime, est qu’Il ne châtie pas celui qui ne Lui associe rien. » Je dis : « Ô Messager d’Allah, puis-je annoncer cette bonne nouvelle aux gens ? » Il répondit : « Ne le leur dis pas, ils pourraient s’y fier uniquement. »
hadith|30c|Rapporté par Mu’adh ibn Jabal رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Mu’adh, sais-tu quel est le droit d’Allah sur Ses serviteurs ? » Il répondit : « Allah et Son Messager savent mieux. » Il dit : « Qu’Allah seul soit adoré, sans rien Lui associer. » Il demanda : « Et quel droit ont-ils sur Lui s’ils font cela ? » Mu’adh répondit : « Allah et Son Messager savent mieux. » Il dit : « C’est qu’Il ne les châtiera pas. »
hadith|30d|Rapporté par Aswad ibn Hilal رضي الله عنه : Il a entendu Mu’adh dire : « Le Messager d’Allah ﷺ m’a appelé, et j’ai répondu. Il m’a demandé : “Sais-tu quel est le droit d’Allah sur les gens ?” » puis il a rapporté le hadith mentionné plus haut
hadith|31|Rapporté par Abu Huraira رضي الله عنه : Nous étions assis autour du Messager d’Allah ﷺ, avec Abu Bakr et Umar. Le Prophète ﷺ se leva et s’absenta un moment, ce qui nous inquiéta : nous avons eu peur qu’il lui arrive quelque chose. J’ai été le premier à m’inquiéter et je suis sorti à sa recherche. Je suis arrivé à un jardin appartenant aux Banu an-Najjar. Je n’ai pas trouvé de porte, alors je me suis faufilé à l’intérieur par un ruisseau, comme un renard. Le Prophète ﷺ m’a vu et a dit : « Est-ce toi, Abu Huraira ? » J’ai répondu : « Oui, ô Messager d’Allah. » Il m’a demandé ce qui se passait. J’ai expliqué notre inquiétude. Il m’a alors donné ses sandales et dit : « Prends ces sandales et annonce à toute personne que tu rencontreras dehors, qui atteste qu’il n’y a de dieu qu’Allah avec conviction dans son cœur, la bonne nouvelle qu’il entrera au Paradis. » Le premier que j’ai rencontré fut Umar, qui m’a demandé : « Quelles sont ces sandales, Abu Huraira ? » Je lui ai expliqué la mission que m’avait confiée le Prophète ﷺ. Umar m’a frappé sur la poitrine et m’a dit de retourner voir le Prophète ﷺ. J’allais pleurer, Umar m’a suivi. Le Prophète ﷺ m’a demandé ce qui s’était passé. J’ai expliqué, et Umar a dit : « Ô Messager d’Allah, as-tu vraiment envoyé Abu Huraira avec tes sandales pour annoncer à quiconque atteste qu’il n’y a de dieu qu’Allah avec conviction dans son cœur qu’il ira au Paradis ? » Il répondit : « Oui. » Umar dit : « Ne le fais pas, car les gens pourraient s’y fier uniquement ; qu’ils continuent à faire de bonnes actions. » Le Prophète ﷺ dit : « Qu’il en soit ainsi. »
hadith|32|Rapporté par Anas ibn Malik رضي الله عنه : Le Prophète d’Allah ﷺ s’adressa à Mu’adh ibn Jabal alors qu’il était assis derrière lui sur sa monture. Mu’adh répondit à chaque appel : « Me voici, ô Messager d’Allah. » Le Prophète ﷺ dit : « Si quelqu’un atteste sincèrement de son cœur qu’il n’y a de dieu qu’Allah et que Muhammad est Son serviteur et Son messager, Allah le préservera de l’Enfer. » Mu’adh demanda : « Ô Messager d’Allah, ne devrais-je pas l’annoncer aux gens pour les réjouir ? » Il répondit : « Ils pourraient s’y fier uniquement. » Mu’adh a rapporté cela à l’approche de sa mort, pour éviter de commettre un péché
hadith|33a|
hadith|33b|Rapporté par Anas رضي الله عنه : ‘Itban ibn Malik lui a raconté qu’il était devenu aveugle. Il a envoyé un message au Messager d’Allah ﷺ pour qu’il vienne marquer un endroit dans sa maison pour la prière. Le Prophète ﷺ est venu avec ses compagnons, puis ils ont discuté d’un homme nommé Malik ibn Dukhshum, et le narrateur a rapporté le hadith de Sulaiman ibn Mughira comme mentionné précédemment
chapter||
hadith|34|Rapporté par ‘Abbas ibn ‘Abdul-Muttalib رضي الله عنه : Il a entendu le Messager d’Allah ﷺ dire : « Celui qui est satisfait d’Allah comme Seigneur, de l’Islam comme religion et de Muhammad ﷺ comme Prophète a trouvé la douceur de la foi. »
chapter||
hadith|35a|
hadith|35b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La foi comporte plus de soixante-dix branches, ou plus de soixante branches. La meilleure est de proclamer qu’il n’y a pas d’autre dieu qu’Allah, et la plus simple est d’enlever ce qui peut nuire du chemin. La pudeur est aussi une branche de la foi. »
hadith|36a|
hadith|36b|Rapporté par Zuhri رضي الله عنه : Ce hadith ajoute que le Prophète ﷺ est passé près d’un groupe d’Ansar qui donnait des conseils à son frère au sujet de la pudeur
hadith|37a|
hadith|37b|Rapporté par Qatada رضي الله عنه : Nous étions assis avec ‘Imran b. Husain et Bushair ibn Ka’b était parmi nous. ‘Imran nous raconta qu’un jour, le Messager d’Allah ﷺ a dit : « La pudeur est une vertu du début à la fin », ou : « La pudeur est un bien complet. » Bushair ibn Ka’b dit alors : « Nous lisons dans certains livres de sagesse que la pudeur est une paix intérieure inspirée par Allah, ou une retenue pour Allah, mais qu’il y a aussi une faiblesse en elle. » ‘Imran se mit en colère, ses yeux devinrent rouges, et il dit : « Je te rapporte un hadith du Messager d’Allah ﷺ et tu le contredis. » (Le narrateur dit qu’‘Imran rapporta le hadith, et que Bushair répéta la même chose, ce qui mit ‘Imran en colère.) Nous avons alors dit : « Bushair fait partie des nôtres, Abu Nujaid ! Il n’y a rien à lui reprocher. »
hadith|37c|Rapporté par Ishaq b. Ibrahim d’après ‘Imran b. Husain رضي الله عنه : Il rapporte ce hadith du Prophète ﷺ de la même manière que celui transmis par Hammad b. Zaid
chapter||
hadith|38|Rapporté par Sufyan b. ‘Abdulla al-Thaqafi رضي الله عنه : Il a dit : « J’ai demandé au Messager d’Allah ﷺ de me parler de l’islam en une chose qui me suffirait pour ne plus avoir à interroger personne après lui. » (Dans la version d’Abu Usama, il est dit : « autre que toi. ») Le Prophète ﷺ répondit : « Dis : “Je crois en Allah”, puis reste ferme dans ta foi. »
chapter||
hadith|39|Rapporté par ‘Abdullah b. ‘Amr رضي الله عنه : Un homme a demandé au Messager d’Allah ﷺ quelle était la meilleure qualité de l’islam. Le Prophète ﷺ a répondu : « C’est de donner à manger et de saluer aussi bien ceux que tu connais que ceux que tu ne connais pas. »
hadith|40|Rapporté par ‘Abdullah b. Amr b. al-As رضي الله عنه : Un homme demanda au Messager d’Allah ﷺ qui était le meilleur parmi les musulmans. Le Prophète ﷺ répondit : « Celui dont les musulmans sont à l’abri de la main et de la langue. »
hadith|41|Rapporté par Jabir رضي الله عنه : Il a entendu le Prophète ﷺ dire : « Le musulman est celui dont les autres musulmans sont à l’abri de la main et de la langue. »
hadith|42a|
hadith|42b|Rapporté par Ibrahim b. Sa’id al-Jauhari رضي الله عنه : Il a rapporté ce hadith avec les mêmes mots, en ajoutant que le Messager d’Allah ﷺ a été interrogé sur qui était le meilleur parmi les musulmans, et le reste du hadith est similaire
chapter||
hadith|43a|
hadith|43b|Rapporté par Anas رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Il y a trois qualités qui font goûter la saveur de la foi à celui qui les possède : aimer quelqu’un uniquement pour Allah, aimer Allah et Son Messager plus que tout, et préférer être jeté dans le feu plutôt que de retourner à l’incroyance après qu’Allah l’en a sauvé. »
hadith|43c|Rapporté par Anas رضي الله عنه : Un hadith similaire a été rapporté avec une autre chaîne de transmetteurs, sauf pour ces mots : « qu’il redevienne juif ou chrétien. »
chapter||
hadith|44a|
hadith|44b|Rapporté par Anas b. Malik رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Aucun de vous n’est croyant tant que je ne lui suis pas plus cher que son enfant, son père et toute l’humanité. »
chapter||
hadith|45a|
hadith|45b|Rapporté par Anas رضي الله عنه : Le Prophète ﷺ a dit : « Par Celui qui tient ma vie dans Sa main, aucun serviteur ne croit vraiment tant qu’il n’aime pas pour son voisin – ou il a dit : pour son frère – ce qu’il aime pour lui-même. »
chapter||
hadith|46|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « N’entrera pas au Paradis celui dont le voisin n’est pas à l’abri de ses mauvais comportements. »
chapter||
hadith|47a|
hadith|47b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui croit en Allah et au Jour dernier ne fait pas de tort à son voisin ; celui qui croit en Allah et au Jour dernier est hospitalier envers son invité ; et celui qui croit en Allah et au Jour dernier dit du bien ou se tait. »
hadith|47c|Rapporté par Abu Huraira رضي الله عنه : Un autre hadith similaire à celui rapporté plus haut par Abu Husain est aussi rapporté par Abu Huraira, sauf pour ces mots : Le Prophète ﷺ a dit : « Il doit faire du bien à son voisin. »
hadith|48|Rapporté par Abu Shuraih al-Khuzai’ رضي الله عنه : Le Prophète ﷺ a dit : « Celui qui croit en Allah et au Jour dernier doit faire du bien à son voisin ; celui qui croit en Allah et au Jour dernier doit être hospitalier envers son invité ; et celui qui croit en Allah et au Jour dernier doit dire du bien ou se taire. »
chapter||
hadith|49a|
hadith|49b|Rapporté par Abu Sa'id al-Khudri : Le même hadith du Prophète ﷺ a été rapporté par Abu Sa'id al-Khudri en lien avec l’histoire de Marwan
hadith|50a|
hadith|50b|Rapporté par Abdullah b. Mas'ud : Jamais un Prophète n’a existé sans avoir des disciples qui suivaient ses instructions et son chemin. Le reste du hadith est similaire à celui rapporté par Salih, mais il n’est pas fait mention de l’arrivée d’Ibn Mas'ud ni de la rencontre avec Ibn Umar
chapter||
hadith|51|Rapporté par Ibn Mas'ud : Le Messager d’Allah ﷺ a montré la direction du Yémen avec sa main et a dit : « La foi se trouve de ce côté, et la dureté et la rudesse du cœur se trouvent chez les propriétaires de chameaux qui les conduisent derrière leur queue, là où apparaissent les deux cornes du diable. Ce sont les tribus de Rabi’a et de Mudar. »
hadith|52a|
hadith|52b|Rapporté par Abu Huraira : Le même hadith nous a été transmis par une autre chaîne de rapporteurs, notamment Muhammad b. al-Muthanna, Ishaq b. Yusuf Azraq, Ibn 'Aun, etc
hadith|52c|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Les gens du Yémen sont venus à vous ; ils ont le cœur tendre et sont doux de caractère. La compréhension est yéménite, la sagesse est yéménite. »
hadith|52d|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Le sommet de l’incroyance se trouve à l’Est, et l’orgueil ainsi que la vanité se trouvent chez les propriétaires de chevaux et de chameaux qui sont rudes et incivils, les gens des tentes, tandis que la tranquillité se trouve chez ceux qui élèvent des chèvres et des moutons. »
hadith|52e|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « La foi est chez les Yéménites, et l’incroyance est à l’Est. La tranquillité est chez ceux qui élèvent des chèvres et des moutons, et l’orgueil ainsi que la prétention sont chez les propriétaires de chevaux et de chameaux qui sont rudes et incivils. »
